X,Y,Value
5,75,10.66855
4,75,15.599799999999998
4,76,3.87
3,75,15.704999999999998
3,76,15.276309999999999
2,75,15.84439
2,76,21.33583
2,77,3.87
1,75,15.891729999999999
1,76,21.52256
1,77,14.976489999999998
0,75,21.93547
0,76,21.630390000000002
0,77,21.28849
-1,76,15.836500000000001
-1,77,21.45944
-1,78,3.87526
-2,75,22.00385
-2,76,15.86543
-2,77,21.36739
-2,78,3.87526
-3,75,22.07749
-3,76,9.86903
-3,77,21.54623
-3,78,3.87526
-4,75,22.18006
-4,76,16.01797
-4,77,15.710259999999998
-4,78,3.87526
-5,75,22.34312
-5,76,16.136319999999998
-5,77,22.04067
-6,75,22.29841
-6,76,9.982119999999998
-6,77,3.87
-11,75,3.87
-15,71,21.18855
-14,71,21.814490000000003
-14,72,15.589280000000002
-13,71,15.98904
-13,72,15.86806
-13,73,15.74971
-12,71,22.18269
-12,72,22.09327
-12,73,15.910140000000002
-12,74,9.77961
-11,71,22.23529
-11,72,22.172169999999998
-11,73,22.07486
-11,74,9.84536
-10,71,22.26685
-10,72,22.017
-10,73,22.01174
-10,74,9.88481
-9,71,16.17051
-9,72,22.30367
-9,73,22.240550000000002
-8,71,22.32997
-8,72,22.30893
-8,73,22.258960000000002
-7,71,22.33523
-7,72,22.32208
-7,73,22.29052
-7,74,16.136319999999998
-6,71,16.17051
-6,72,22.32471
-6,73,22.3326
-6,74,22.31945
-5,71,22.32471
-5,72,22.3326
-5,73,22.351010000000002
-5,74,22.32997
-4,71,22.28
-4,72,22.24581
-4,73,22.27211
-4,74,16.11265
-3,71,22.19847
-3,72,22.20636
-3,73,22.17743
-3,74,22.153760000000002
-2,71,22.18795
-2,72,22.156390000000002
-2,73,22.12746
-2,74,22.08801
-1,71,22.172169999999998
-1,72,22.11431
-1,73,22.10116
-1,74,22.08538
0,71,22.15113
0,72,22.13272
0,73,22.09853
0,74,22.02489
1,71,22.143240000000002
1,72,22.12483
1,73,22.09327
1,74,22.038040000000002
2,71,22.12746
2,72,22.09853
2,73,22.08275
2,74,22.02752
3,71,22.122200000000003
3,72,22.09853
3,73,22.043300000000002
3,74,21.919690000000003
4,71,22.13009
4,72,22.07749
4,73,16.40458
4,74,21.81975
5,71,21.72507
5,72,22.0696
5,73,16.01271
5,74,21.60672
6,71,16.039009999999998
6,72,21.99859
6,73,21.75137
6,74,21.29112
7,71,22.017
7,72,21.80923
7,73,21.37002
8,71,21.87498
8,72,21.48574
8,73,3.87
9,71,21.512040000000002
9,72,3.87
10,71,3.90682
13,67,9.69545
12,67,21.71718
12,68,15.599799999999998
11,67,21.99333
11,68,21.80923
11,69,15.54457
10,67,22.07223
10,68,22.00385
10,69,21.77504
10,70,15.923290000000001
9,67,22.13272
9,68,16.015340000000002
9,69,22.01963
9,70,21.84605
8,67,22.11694
8,68,22.10379
8,69,22.08275
8,70,22.02226
7,67,22.16691
7,68,22.13798
7,69,22.0959
7,70,22.07486
6,67,22.16954
6,68,22.14587
6,69,22.13272
6,70,22.11431
5,67,22.19847
5,68,22.16165
5,69,22.16691
5,70,16.03638
4,67,22.19847
4,68,22.18006
4,69,22.148500000000002
4,70,22.14061
3,67,22.21162
3,68,22.18795
3,69,19.69997
3,70,22.16954
2,67,22.2011
2,68,22.18795
2,69,22.17743
2,70,22.159019999999998
1,67,22.23529
1,68,22.22477
1,69,22.19321
1,70,16.09424
0,67,22.22477
0,68,22.18006
0,69,22.18006
0,70,22.18006
-1,67,22.21688
-1,68,22.18795
-1,69,22.20373
-1,70,22.20636
-2,67,16.10739
-2,68,21.956509999999998
-2,69,22.22477
-2,70,22.2011
-3,67,22.20899
-3,68,22.22477
-3,69,22.22214
-3,70,22.24581
-4,67,22.28
-4,68,16.14158
-4,69,22.28
-4,70,22.27474
-5,67,22.277369999999998
-5,68,10.01368
-5,69,22.277369999999998
-5,70,22.3063
-6,67,22.32734
-6,68,22.31156
-6,69,22.33523
-6,70,22.30893
-7,67,22.34312
-7,68,22.34312
-7,69,22.351010000000002
-7,70,22.34838
-8,67,22.3063
-8,68,22.31682
-8,69,22.32997
-8,70,22.33786
-9,67,22.29578
-9,68,22.29315
-9,69,22.29841
-9,70,22.32471
-10,67,22.29052
-10,68,22.29052
-10,69,22.29841
-10,70,22.28526
-11,67,22.28526
-11,68,22.27211
-11,69,16.23889
-11,70,22.258960000000002
-12,67,22.24318
-12,68,22.20899
-12,69,22.227400000000003
-12,70,22.20899
-13,67,22.21688
-13,68,22.2011
-13,69,22.1748
-13,70,22.12483
-14,67,22.18532
-14,68,22.172169999999998
-14,69,19.97875
-14,70,22.02489
-15,67,22.18795
-15,68,22.11168
-15,69,22.03278
-15,70,21.79345
-16,67,22.12483
-16,68,22.00122
-16,69,21.77504
-16,70,15.53142
-17,67,21.99859
-17,68,21.71455
-17,69,15.36047
-18,67,20.89399
-21,63,15.697109999999999
-20,63,22.00911
-20,64,21.75663
-20,65,15.418330000000001
-19,63,15.939070000000001
-19,64,22.09327
-19,65,21.87498
-19,66,15.702369999999998
-18,63,22.23266
-18,64,22.16165
-18,65,22.12483
-18,66,21.99859
-17,63,22.22477
-17,64,22.053819999999998
-17,65,16.62024
-17,66,22.11168
-16,63,22.23792
-16,64,22.20899
-16,65,22.21162
-16,66,22.1748
-15,63,22.258960000000002
-15,64,21.527820000000002
-15,65,22.227400000000003
-15,66,22.20636
-14,63,22.28
-14,64,22.28526
-14,65,16.136319999999998
-14,66,16.11265
-13,63,22.253700000000002
-13,64,22.277369999999998
-13,65,22.26159
-13,66,16.09687
-12,63,22.27474
-12,64,16.13369
-12,65,22.26948
-12,66,16.13895
-11,63,22.28789
-11,64,22.26685
-11,65,22.27211
-11,66,22.29315
-10,63,22.29052
-10,64,22.29578
-10,65,22.30367
-10,66,16.13895
-9,63,22.29315
-9,64,22.29315
-9,65,16.16788
-9,66,22.31419
-8,63,22.29315
-8,64,22.30104
-8,65,16.17577
-8,66,22.31945
-7,63,22.31682
-7,64,22.27474
-7,65,22.31419
-7,66,22.32997
-6,63,16.55975
-6,64,10.01631
-6,65,22.30104
-6,66,22.32471
-5,63,22.28526
-5,64,16.136319999999998
-5,65,22.27211
-5,66,22.32208
-4,63,22.28263
-4,64,10.02946
-4,65,22.28789
-4,66,16.15473
-3,63,22.25633
-3,64,22.27474
-3,65,22.264219999999998
-3,66,22.26948
-2,63,16.11265
-2,64,22.23792
-2,65,22.23003
-2,66,22.248440000000002
-1,63,22.248440000000002
-1,64,16.0995
-1,65,16.120540000000002
-1,66,16.144209999999998
0,63,22.24318
0,64,22.240550000000002
0,65,16.30727
0,66,22.240550000000002
1,63,22.25633
1,64,16.11265
1,65,22.24581
1,66,22.22214
2,63,22.253700000000002
2,64,22.21951
2,65,16.11528
2,66,22.21162
3,63,22.23266
3,64,22.227400000000003
3,65,20.8598
3,66,22.20636
4,63,16.10476
4,64,22.20636
4,65,22.21688
4,66,22.21688
5,63,22.21162
5,64,22.19847
5,65,22.20899
5,66,21.61987
6,63,22.21688
6,64,22.21951
6,65,22.20636
6,66,22.2011
7,63,16.3888
7,64,22.21162
7,65,22.18269
