X,Y,Value
-7,75,10.071539999999999
-7,77,3.98835
-6,75,22.44043
-6,76,21.8066
-6,77,3.91471
-5,75,16.29412
-5,76,22.3852
-5,77,9.903220000000001
-4,75,22.51933
-4,76,22.464100000000002
-4,77,22.21951
-3,75,16.34409
-3,76,16.29675
-3,77,22.37994
-2,75,22.548260000000003
-2,76,16.30727
-2,77,22.38783
-1,75,22.561410000000002
-1,76,22.51933
-1,77,16.2047
0,75,16.39406
0,76,10.103100000000001
0,77,16.09424
1,75,22.57193
1,76,16.35724
1,77,3.91208
2,75,22.543
2,76,22.48777
2,77,3.91208
3,75,16.32042
3,76,10.03998
4,75,10.110990000000001
4,76,3.9041900000000003
5,75,6.728809999999999
10,71,3.9041900000000003
9,71,22.5956
9,72,43.31999999999999
8,71,16.41247
8,72,22.59034
8,73,3.90682
7,71,22.64557
7,72,16.428250000000002
7,73,16.31253
6,71,22.61927
6,72,16.39669
6,73,22.57193
6,74,16.29149
5,71,22.59823
5,72,22.6219
5,73,22.59823
5,74,22.54037
4,71,22.57982
4,72,22.61138
4,73,16.38617
4,74,18.80577
3,71,22.56667
3,72,16.36513
3,73,16.36776
3,74,22.60875
2,71,22.556150000000002
2,72,22.58245
2,73,22.57982
2,74,22.60875
1,71,22.54563
1,72,22.57719
1,73,22.569300000000002
1,74,22.60875
0,71,16.359869999999997
0,72,22.56404
0,73,22.55878
0,74,10.1294
-1,71,22.535110000000003
-1,72,22.55878
-1,73,22.55352
-1,74,16.39143
-2,71,22.52196
-2,72,22.548260000000003
-2,73,22.51144
-2,74,22.57193
-3,71,22.51407
-3,72,22.535110000000003
-3,73,22.52459
-3,74,22.54037
-4,71,22.51144
-4,72,16.36513
-4,73,22.51933
-4,74,22.548260000000003
-5,71,22.50092
-5,72,22.52196
-5,73,22.49829
-5,74,22.52985
-6,71,16.29149
-6,72,16.31253
-6,73,22.47725
-6,74,22.48777
-7,71,22.46936
-7,72,16.32042
-7,73,16.26519
-7,74,22.345750000000002
-8,71,16.31253
-8,72,22.44569
-8,73,16.05479
-8,74,3.91208
-9,71,22.48251
-9,72,22.39835
-9,73,15.84439
-10,71,22.50092
-10,72,22.47725
-10,73,10.184629999999999
-10,74,3.90945
-11,71,16.30727
-11,72,22.48514
-11,73,16.249409999999997
-11,74,10.03998
-12,71,16.37039
-12,72,16.28623
-12,73,10.04787
-12,74,9.84273
-13,71,16.39406
-13,72,22.41413
-13,73,15.910140000000002
-14,71,22.47199
-14,72,16.04953
-15,71,16.20996
-18,67,16.59657
-17,67,16.74385
-17,68,22.97958
-17,69,13.540510000000001
-16,67,22.855970000000003
-16,68,22.887529999999998
-16,69,22.81915
-16,70,16.38617
-15,67,22.682389999999998
-15,68,22.70869
-15,69,22.671870000000002
-15,70,16.36776
-14,67,16.35198
-14,68,22.60875
-14,69,10.13729
-14,70,22.585079999999998
-13,67,22.53774
-13,68,16.341459999999998
-13,69,22.54037
-13,70,22.56667
-12,67,22.49829
-12,68,22.5167
-12,69,22.50618
-12,70,22.54037
-11,67,22.48251
-11,68,22.50881
-11,69,22.49829
-11,70,22.53248
-10,67,22.47462
-10,68,22.50092
-10,69,16.3362
-10,70,22.535110000000003
-9,67,22.47462
-9,68,22.51407
-9,69,22.50881
-9,70,16.32568
-8,67,16.27571
-8,68,22.4904
-8,69,22.48251
-8,70,16.3362
-7,67,16.29149
-7,68,16.330940000000002
-7,69,16.28623
-7,70,22.49829
-6,67,22.46936
-6,68,22.48777
-6,69,22.47462
-6,70,22.50881
-5,67,22.48251
-5,68,22.49303
-5,69,22.48251
-5,70,22.5167
-4,67,16.29938
-4,68,16.31516
-4,69,22.49303
-4,70,22.52459
-3,67,16.30201
-3,68,22.50881
-3,69,22.49303
-3,70,22.52985
-2,67,22.48514
-2,68,22.5167
-2,69,22.50355
-2,70,22.53774
-1,67,22.50618
-1,68,22.51933
-1,69,22.51144
-1,70,16.35724
0,67,22.51407
0,68,22.52459
0,69,22.51407
0,70,22.55352
1,67,22.50881
1,68,22.53248
1,69,22.51933
1,70,10.181999999999999
2,67,22.5167
2,68,16.34935
2,69,22.52459
2,70,22.56404
3,67,22.51933
3,68,22.54563
3,69,22.535110000000003
3,70,22.57719
4,67,16.330940000000002
4,68,22.548260000000003
4,69,22.54563
4,70,22.58245
5,67,22.54037
5,68,16.35461
5,69,22.55352
5,70,10.15307
6,67,22.55352
6,68,16.35461
6,69,22.57456
6,70,16.38617
7,67,22.57982
7,68,16.37565
7,69,22.60349
7,70,22.65609
8,67,22.60612
8,68,22.64031
8,69,22.63768
8,70,22.682389999999998
9,67,22.64294
9,68,22.67713
9,69,22.671870000000002
9,70,22.68765
10,67,22.690279999999998
10,68,22.71658
10,69,22.690279999999998
10,70,22.63505
11,67,22.76129
11,68,16.48085
11,69,16.373019999999997
11,70,43.31999999999999
12,67,22.84019
12,68,16.465069999999997
13,67,3.90682
15,63,23.11108
15,64,10.33454
14,63,23.18209
14,64,16.82801
14,65,23.200499999999998
14,66,43.31999999999999
13,63,22.97169
13,64,23.04533
13,65,23.05848
13,66,23.087410000000002
12,63,16.50715
12,64,16.538710000000002
12,65,22.84545
12,66,22.89016
11,63,22.68765
11,64,22.71921
11,65,16.4677
11,66,22.76918
10,63,16.38617
10,64,22.6482
10,65,22.64294
10,66,22.69817
9,63,22.57982
9,64,22.60086
9,65,22.59823
9,66,22.64557
8,63,16.333569999999998
8,64,19.18712
8,65,16.338829999999998
8,66,16.373019999999997
7,63,16.323050000000002
7,64,16.346719999999998
7,65,22.54037
7,66,22.585079999999998
6,63,16.338829999999998
6,64,22.535110000000003
6,65,16.323050000000002
6,66,22.56667
5,63,22.50618
5,64,16.32568
5,65,22.51144
5,66,16.330940000000002
4,63,22.50355
4,64,22.5167
4,65,22.50092
4,66,22.53774
3,63,22.49829
3,64,10.103100000000001
3,65,22.50092
3,66,22.52722
2,63,22.50355
2,64,22.51407
2,65,16.3625
2,66,16.35724
1,63,22.49566
1,64,16.34409
1,65,22.49566
1,66,16.32042
0,63,16.30727
0,64,22.50092
0,65,22.49303
0,66,22.52722
-1,63,22.4904
-1,64,22.50618
-1,65,22.4904
-1,66,16.32568
-2,63,22.4904
-2,64,22.50355
-2,65,22.48514
-2,66,22.51933
-3,63,22.48251
-3,64,16.29938
-3,65,16.30464
-3,66,22.50618
-4,63,22.47725
-4,64,22.49303
-4,65,16.29149
-4,66,22.50355
-5,63,16.29149
-5,64,22.48251
-5,65,22.464100000000002
-5,66,22.49829
-6,63,22.46673
-6,64,22.47462
-6,65,22.46147
-6,66,16.3099
-7,63,16.28623
-7,64,16.27834
-7,65,10.103100000000001
-7,66,22.48251
-8,63,16.27308
-8,64,16.28886
-8,65,16.27308
-8,66,22.47462
-9,63,16.27308
-9,64,22.456210000000002
-9,65,16.29412
-9,66,22.47725
-10,63,22.44832
-10,64,22.46147
-10,65,10.087319999999998
-10,66,22.47725
-11,63,22.46936
-11,64,22.479879999999998
-11,65,22.46147
-11,66,22.50092
-12,63,16.34935
-12,64,16.30727
-12,65,22.4904
-12,66,22.52196
-13,63,16.38091
-13,64,43.31999999999999
-13,65,22.52196
-13,66,16.44666
-14,63,22.561410000000002
-14,64,22.56667
-14,65,22.569300000000002
-14,66,22.60875
-15,63,22.61401
-15,64,22.64031
-15,65,16.44929
-15,66,22.69554
-16,63,22.674500000000002
-16,64,22.72973
-16,65,22.76129
-16,66,22.8323
-17,63,10.32665
-17,64,16.49137
-17,65,22.82967
-17,66,22.93224
-18,63,22.68765
-18,64,16.60183
-18,65,16.4677
-18,66,22.76129
-19,63,22.59823
-19,64,22.60086
-19,65,16.27834
-19,66,16.26256
-20,63,16.60709
-20,64,16.128429999999998
-21,63,16.10476
-23,59,10.110990000000001
-22,59,22.464100000000002
-22,60,22.39835
-22,61,20.33906
-21,59,16.30727
-21,60,16.31253
-21,61,22.45884
-21,62,22.40624
-20,59,16.32568
-20,60,22.55352
-20,61,22.53248
-20,62,22.556150000000002
-19,59,22.561410000000002
-19,60,22.52196
-19,61,22.57719
-19,62,16.46244
-18,59,12.809370000000001
-18,60,22.61401
-18,61,22.61927
-18,62,16.5203
-17,59,10.45289
-17,60,22.63242
-17,61,22.63768
-17,62,22.7008
-16,59,22.57982
-16,60,22.61401
-16,61,16.37565
-16,62,22.674500000000002
-15,59,22.561410000000002
-15,60,22.58771
-15,61,16.43351
-15,62,22.6219
-14,59,22.52459
-14,60,22.55089
-14,61,22.53774
-14,62,16.451919999999998
-13,59,22.49303
-13,60,16.373019999999997
-13,61,22.50618
-13,62,22.53774
-12,59,16.341459999999998
-12,60,22.49566
-12,61,22.47725
-12,62,10.11625
-11,59,22.47462
-11,60,22.48777
-11,61,22.464100000000002
-11,62,16.32042
-10,59,22.46673
-10,60,22.47199
-10,61,22.450950000000002
-10,62,22.47462
-9,59,22.46147
-9,60,22.46936
-9,61,22.44569
-9,62,22.46673
-8,59,22.45884
-8,60,16.27834
-8,61,22.44832
-8,62,22.46936
-7,59,22.46147
-7,60,22.47199
-7,61,16.27571
-7,62,16.2836
-6,59,22.46673
