X,Y,Value
-11,75,3.9936100000000003
-7,75,10.13203
-6,75,10.19778
-6,76,10.168849999999999
-6,77,4.6642600000000005
-5,75,22.6482
-5,76,16.36776
-5,77,15.43937
-4,75,22.64031
-4,76,22.561410000000002
-4,77,9.85062
-3,75,22.6482
-3,76,22.57193
-3,77,22.16428
-3,78,3.99098
-2,75,16.47033
-2,76,22.57719
-2,77,15.98641
-2,78,3.99098
-1,75,22.66398
-1,76,22.58245
0,75,16.48611
0,76,22.58771
0,77,15.95748
1,75,22.74814
1,76,22.59823
1,77,3.99887
2,75,10.32665
2,76,22.63768
2,77,4.0015
3,75,22.99273
3,76,10.20567
4,75,10.3398
4,76,3.98835
5,75,4.401260000000001
10,71,3.9936100000000003
9,71,22.37731
9,72,3.98835
8,71,22.54037
8,72,22.31945
8,73,3.99887
7,71,16.43351
7,72,22.54563
7,73,10.01631
7,74,3.99098
6,71,22.68502
6,72,16.436139999999998
6,73,22.561410000000002
6,74,22.17743
5,71,22.74814
5,72,22.74288
5,73,22.71658
5,74,22.62453
4,71,22.82441
4,72,16.562379999999997
4,73,16.59131
4,74,17.04893
3,71,16.57553
3,72,16.654429999999998
3,73,22.9638
3,74,16.70177
2,71,22.82441
2,72,10.34506
2,73,22.87964
2,74,16.60183
1,71,22.763920000000002
1,72,22.771810000000002
1,73,16.557119999999998
1,74,22.77444
0,71,16.51767
0,72,22.72184
0,73,22.72184
0,74,22.71395
-1,71,22.69554
-1,72,22.68765
-1,73,22.69291
-1,74,22.68502
-2,71,22.68502
-2,72,22.674500000000002
-2,73,22.67976
-2,74,22.671870000000002
-3,71,22.67713
-3,72,16.48874
-3,73,16.47033
-3,74,16.444029999999998
-4,71,22.66924
-4,72,22.666610000000002
-4,73,22.66135
-4,74,22.65872
-5,71,16.48611
-5,72,22.671870000000002
-5,73,22.671870000000002
-5,74,22.671870000000002
-6,71,22.666610000000002
-6,72,16.438769999999998
-6,73,16.48874
-6,74,22.65609
-7,71,16.438769999999998
-7,72,16.4414
-7,73,22.60875
-7,74,16.359869999999997
-8,71,22.65083
-8,72,16.359869999999997
-8,73,16.13895
-9,71,16.41247
-9,72,22.42991
-9,73,3.99887
-10,71,22.66135
-10,72,22.60875
-10,73,22.35364
-10,74,3.9936100000000003
-11,71,16.42562
-11,72,16.42562
-11,73,4.0015
-11,74,10.12414
-12,71,16.27834
-12,72,22.543
-12,73,22.50092
-12,74,9.84536
-13,71,22.54563
-13,72,22.48514
-13,73,15.726040000000001
-14,71,22.52722
-14,72,10.11625
-15,71,16.131059999999998
-18,67,10.168849999999999
-17,67,22.548260000000003
-17,68,22.464100000000002
-17,69,15.95485
-16,67,22.61664
-16,68,22.59297
-16,69,16.39143
-16,70,16.07846
-15,67,22.61138
-15,68,22.61138
-15,69,16.3888
-15,70,16.341459999999998
-14,67,16.4151
-14,68,22.60875
-14,69,16.39406
-14,70,16.39406
-13,67,22.60612
-13,68,16.43351
-13,69,22.5956
-13,70,22.57456
-12,67,22.60086
-12,68,22.59034
-12,69,22.556150000000002
-12,70,10.20567
-11,67,16.438769999999998
-11,68,22.62979
-11,69,22.64031
-11,70,16.465069999999997
-10,67,22.64557
-10,68,22.66398
-10,69,22.666610000000002
-10,70,22.66924
-9,67,22.66135
-9,68,22.674500000000002
-9,69,16.478219999999997
-9,70,22.66924
-8,67,16.43088
-8,68,16.436139999999998
-8,69,22.66135
-8,70,22.66924
-7,67,16.43088
-7,68,22.65609
-7,69,22.653460000000003
-7,70,16.428250000000002
-6,67,16.43088
-6,68,22.653460000000003
-6,69,22.65872
-6,70,22.666610000000002
-5,67,22.653460000000003
-5,68,22.65609
-5,69,22.65609
-5,70,22.65872
-4,67,16.57816
-4,68,22.666610000000002
-4,69,22.66398
-4,70,22.666610000000002
-3,67,16.48348
-3,68,22.674500000000002
-3,69,16.44666
-3,70,22.674500000000002
-2,67,16.44666
-2,68,22.67976
-2,69,22.67976
-2,70,22.68502
-1,67,16.45981
-1,68,16.45455
-1,69,22.69291
-1,70,16.45981
0,67,16.50715
0,68,22.71395
0,69,22.72184
0,70,22.72447
1,67,16.478219999999997
1,68,22.73762
1,69,22.74288
1,70,22.75603
2,67,22.758660000000003
2,68,22.76918
2,69,22.782329999999998
2,70,22.806
3,67,22.763920000000002
3,68,22.782329999999998
3,69,22.79811
3,70,22.8323
4,67,22.7534
4,68,22.763920000000002
4,69,16.52556
4,70,22.806
5,67,22.7271
5,68,22.73236
5,69,10.22934
5,70,22.74551
6,67,22.69291
6,68,22.69554
6,69,16.451919999999998
6,70,16.457179999999997
7,67,22.66924
7,68,16.4414
7,69,22.65083
7,70,16.45981
8,67,16.47033
8,68,22.63768
8,69,22.6219
8,70,22.60612
9,67,16.41247
9,68,22.61401
9,69,22.58771
9,70,22.52722
10,67,16.41773
10,68,16.3888
10,69,22.51407
10,70,22.264219999999998
11,67,16.37565
11,68,22.4904
11,69,16.10476
12,67,22.44832
12,68,16.14158
13,67,10.06102
15,63,21.35424
15,64,10.10573
14,63,22.52459
14,64,22.45358
14,65,22.172169999999998
14,66,43.31999999999999
13,63,22.57719
13,64,22.55352
13,65,22.50618
13,66,22.39309
12,63,22.60349
12,64,22.59034
12,65,22.57456
12,66,16.373019999999997
11,63,22.61927
11,64,22.61138
11,65,22.59823
11,66,22.585079999999998
10,63,16.4151
10,64,22.6219
10,65,22.61664
10,66,22.60612
9,63,10.276679999999999
