X,Y,Value
-19,85,3.87
-18,85,3.98046
-18,86,3.87
-17,85,16.23889
-17,86,3.90945
-16,85,22.13798
-16,86,10.22934
-16,87,3.87
-15,85,10.22934
-15,86,3.87
-15,87,3.87263
-14,85,3.87263
-14,86,3.87
-14,87,3.87
-14,88,3.87
-13,85,3.87
-13,86,3.87
-12,85,3.87
-11,85,3.87
-10,85,9.61918
-10,86,3.88841
-10,87,3.87
-10,88,3.87
-10,89,3.88052
-9,85,22.46147
-9,86,16.131059999999998
-9,87,9.97686
-9,88,3.87
-9,89,3.88315
-9,90,3.87263
-8,85,22.65083
-8,86,22.60875
-8,87,22.52985
-8,88,16.17314
-8,89,9.99264
-8,90,3.87526
-7,85,22.63768
-7,86,22.63242
-7,87,16.47033
-7,88,16.4414
-7,89,16.20996
-7,90,9.95056
-6,85,22.59823
-6,86,22.58771
-6,87,22.57982
-6,88,22.52722
-6,89,22.42202
-6,90,9.95319
-6,91,3.87526
-5,85,22.569300000000002
-5,86,22.561410000000002
-5,87,16.31516
-5,88,22.49829
-5,89,22.38783
-5,90,10.179369999999999
-5,91,3.87526
-4,85,22.56404
-4,86,22.556150000000002
-4,87,22.53248
-4,88,22.48514
-4,89,22.36679
-4,90,6.97866
-4,91,3.87526
-3,85,22.57456
-3,86,22.55352
-3,87,22.52196
-3,88,16.35461
-3,89,22.369419999999998
-3,90,10.16359
-3,91,3.88052
-2,85,16.47559
-2,86,16.30727
-2,87,22.51933
-2,88,16.32831
-2,89,22.35364
-2,90,21.99859
-2,91,3.87526
-1,85,22.543
-1,86,22.52985
-1,87,22.4904
-1,88,22.42202
-1,89,10.208300000000001
-1,90,9.900590000000001
0,85,10.13729
0,86,16.27571
0,87,22.45884
0,88,22.39835
0,89,22.27474
0,90,9.84799
1,85,22.50881
1,86,22.50355
1,87,22.43254
1,88,22.37205
1,89,16.10476
1,90,3.8778900000000003
2,85,16.29938
2,86,22.464100000000002
2,87,22.4115
2,88,22.29578
2,89,16.04164
2,90,3.87526
3,85,22.46936
3,86,22.456210000000002
3,87,22.36153
3,88,22.26685
3,89,9.92426
3,90,3.87263
4,85,22.45358
4,86,10.35032
4,87,22.33786
4,88,16.12317
4,89,3.88052
5,85,22.43254
5,86,22.36679
5,87,16.16788
5,88,16.11528
5,89,3.88052
6,85,22.43254
6,86,16.26519
6,87,16.08109
6,88,3.88841
7,85,22.40624
7,86,16.1521
7,87,16.02323
7,88,3.87263
8,85,22.31419
8,86,16.131059999999998
8,87,3.87
9,85,22.24318
9,86,9.93741
9,87,3.87
10,85,16.015340000000002
10,86,3.87
11,85,3.87
19,77,3.87
18,77,22.18795
18,78,3.89893
17,77,22.35364
17,78,22.22477
17,79,3.9489
16,77,22.40361
16,78,16.20207
16,79,22.21951
16,80,3.94627
15,77,22.41939
15,78,22.39309
15,79,22.32997
15,80,16.10213
15,81,9.93215
14,77,22.479879999999998
14,78,16.35724
14,79,22.3852
14,80,22.351010000000002
14,81,22.248440000000002
14,82,9.93478
13,77,22.47462
13,78,22.456210000000002
13,79,16.47559
13,80,22.39572
13,81,22.34838
13,82,22.21688
13,83,9.91637
12,77,22.479879999999998
12,78,16.27571
12,79,22.464100000000002
12,80,22.41676
12,81,22.38257
12,82,22.29578
12,83,16.27045
12,84,3.8778900000000003
11,77,10.24775
11,78,22.4904
11,79,22.46936
11,80,22.42728
11,81,16.341459999999998
11,82,22.38783
11,83,22.29052
11,84,16.06531
10,77,22.479879999999998
10,78,22.46673
10,79,22.450950000000002
10,80,22.45884
10,81,16.3362
10,82,22.42991
10,83,16.29675
10,84,22.30104
9,77,16.2573
9,78,22.50092
9,79,22.47462
9,80,22.45358
9,81,22.45884
9,82,22.450950000000002
9,83,16.249409999999997
9,84,22.37205
8,77,16.3625
8,78,22.46147
8,79,22.46673
8,80,22.49303
8,81,22.49303
8,82,22.450950000000002
8,83,22.44043
8,84,16.38091
7,77,22.48251
7,78,22.51144
7,79,16.29675
7,80,22.48251
7,81,22.50618
7,82,22.50618
7,83,22.48251
7,84,22.45884
6,77,22.4904
6,78,22.52196
6,79,16.28886
6,80,22.49829
6,81,22.50092
6,82,22.50355
6,83,22.49303
6,84,22.47725
5,77,22.535110000000003
5,78,22.48251
5,79,22.55089
5,80,22.48777
5,81,22.50881
5,82,22.49829
5,83,22.48777
5,84,22.47725
4,77,22.52722
4,78,22.51407
4,79,22.52459
4,80,22.52196
4,81,22.535110000000003
4,82,22.51144
4,83,22.50355
4,84,22.47199
3,77,22.50618
3,78,22.5167
3,79,22.5167
3,80,22.54037
3,81,22.52196
3,82,22.52722
3,83,22.52722
3,84,22.51933
2,77,22.5167
2,78,22.55089
2,79,22.52722
2,80,22.54037
2,81,22.52459
2,82,16.759629999999998
2,83,22.54563
2,84,22.53248
1,77,22.55352
1,78,22.52985
1,79,22.56404
1,80,22.535110000000003
1,81,22.535110000000003
1,82,16.338829999999998
1,83,22.50881
1,84,22.535110000000003
0,77,22.53774
0,78,16.29675
0,79,22.55352
0,80,22.54563
0,81,22.54563
0,82,22.51933
0,83,22.55089
0,84,22.556150000000002
-1,77,22.55352
-1,78,22.55352
-1,79,22.569300000000002
-1,80,22.556150000000002
-1,81,22.52722
-1,82,16.32831
-1,83,22.54037
-1,84,22.52985
-2,77,16.39669
-2,78,22.556150000000002
-2,79,22.55352
-2,80,16.39143
-2,81,22.56667
-2,82,22.561410000000002
-2,83,22.57193
-2,84,16.4677
-3,77,22.57193
-3,78,16.338829999999998
-3,79,16.333569999999998
-3,80,22.556150000000002
