X,Y,Value
-10,75,3.94627
-9,75,3.94627
-9,76,3.93838
-8,75,9.890070000000001
-8,76,3.93838
-7,75,10.01631
-7,76,9.961079999999999
-7,77,3.9489
-6,75,22.156390000000002
-6,76,9.97423
-6,77,3.9489
-5,75,22.10116
-5,76,15.97326
-5,77,9.8927
-4,75,22.03541
-4,76,21.94862
-4,77,9.87955
-4,78,3.95153
-3,75,21.98281
-3,76,21.76978
-3,77,9.8401
-3,78,3.95153
-2,75,21.98544
-2,76,16.10739
-2,77,9.87166
-2,78,3.95153
-1,75,22.06434
-1,76,21.93547
-1,77,9.92163
-1,78,3.95153
0,75,22.08012
0,76,15.95485
0,77,9.863769999999999
1,75,16.05742
1,76,21.87761
1,77,3.9489
2,75,22.04067
2,76,3.96731
2,77,3.9489
3,75,21.961769999999998
3,76,3.94101
4,75,15.85491
4,76,3.93838
5,75,4.0672500000000005
6,75,3.9436400000000003
10,71,3.94627
9,71,13.76932
9,72,3.94101
8,71,22.14587
8,72,16.00745
8,73,3.9489
7,71,16.09161
7,72,22.04067
7,73,9.93215
7,74,3.9489
6,71,22.18269
6,72,22.12746
6,73,21.98807
6,74,3.9489
5,71,22.19847
5,72,22.16428
5,73,22.10116
5,74,15.97063
4,71,22.18795
4,72,22.172169999999998
4,73,16.07057
4,74,22.04593
3,71,22.172169999999998
3,72,16.09687
3,73,22.153760000000002
3,74,22.10642
2,71,22.17743
2,72,22.17743
2,73,22.159019999999998
2,74,22.11431
1,71,22.18269
1,72,22.16691
1,73,16.08635
1,74,22.13272
0,71,22.16428
0,72,22.159019999999998
0,73,16.08635
0,74,22.11957
-1,71,22.16691
-1,72,22.14587
-1,73,16.465069999999997
-1,74,22.11431
-2,71,22.14061
-2,72,10.04261
-2,73,22.11957
-2,74,22.08012
-3,71,22.143240000000002
-3,72,22.11957
-3,73,22.10905
-3,74,22.053819999999998
-4,71,22.143240000000002
-4,72,22.122200000000003
-4,73,22.12483
-4,74,22.08801
-5,71,22.159019999999998
-5,72,22.16165
-5,73,22.19321
-5,74,16.10476
-6,71,22.22477
-6,72,22.23003
-6,73,22.23529
-6,74,22.21951
-7,71,22.23529
-7,72,22.21951
-7,73,22.21688
-7,74,22.19321
-8,71,16.1521
-8,72,22.19584
-8,73,16.07583
-8,74,16.025859999999998
