X,Y,Value
-10,75,3.92523
-9,75,3.92523
-9,76,3.93312
-8,75,10.076799999999999
-8,76,9.98738
-7,75,10.06891
-7,76,10.008420000000001
-7,77,3.9304900000000003
-6,75,22.33786
-6,76,10.071539999999999
-6,77,9.91374
-5,75,10.174109999999999
-5,76,22.27211
-5,77,9.94793
-4,75,22.38257
-4,76,22.28526
-4,77,9.95845
-3,75,22.38257
-3,76,22.29315
-3,77,9.995270000000001
-3,78,3.92523
-2,76,16.43088
-2,77,15.97326
-2,78,3.9226
-1,75,22.38257
-1,76,22.26948
-1,77,21.956509999999998
0,75,22.369419999999998
0,76,16.14158
0,77,9.890070000000001
1,75,16.2047
1,76,22.153760000000002
1,77,9.753309999999999
2,75,16.18892
2,76,11.007819999999999
2,77,3.93312
3,75,22.22214
3,76,4.18297
4,75,22.03541
4,76,3.93312
5,75,9.73753
10,71,3.92523
9,71,16.08109
9,72,3.93312
8,71,22.32208
8,72,22.06434
8,73,3.9304900000000003
7,71,22.39309
7,72,16.17051
7,73,16.77015
7,74,3.92523
6,71,22.42465
6,72,16.26782
6,73,16.14158
6,74,15.918030000000002
5,71,22.443060000000003
5,72,22.4115
5,73,22.36679
5,74,16.07846
4,71,16.60972
4,72,22.42728
4,73,22.40361
4,74,16.18892
3,71,22.44569
3,72,22.42991
3,73,22.42202
3,74,22.36153
2,71,16.27308
2,72,22.43254
2,73,22.43254
2,74,22.39835
1,71,22.443060000000003
1,72,22.42728
1,73,22.42991
1,74,22.40361
0,71,22.44832
0,72,22.43517
0,73,22.43254
0,74,22.40624
-1,71,22.44832
-1,72,22.4378
-1,73,16.26782
-1,74,16.24415
-2,71,22.443060000000003
-2,72,22.43254
-2,73,22.43254
-2,74,22.4115
-3,71,22.443060000000003
-3,72,16.27834
-3,73,22.4378
-3,74,22.41413
-4,71,22.44043
-4,72,22.42465
-4,73,22.43254
-4,74,22.4115
-5,71,16.26519
-5,72,22.42202
-5,73,22.41939
-5,74,22.40098
-6,71,22.41413
-6,72,22.39835
-6,73,22.40361
-6,74,16.228369999999998
-7,71,22.40624
-7,72,22.39309
-7,73,22.40361
-7,74,3.9436400000000003
-8,71,22.42728
-8,72,16.27571
-8,73,22.46673
-8,74,10.087319999999998
-9,71,22.60086
-9,72,22.782329999999998
-9,73,16.562379999999997
-9,74,10.21619
-10,71,22.95854
-10,72,4.45386
-10,73,3.9304900000000003
-10,74,3.92523
-11,71,22.98484
-11,72,3.9436400000000003
-11,73,3.93312
-11,74,3.92786
-12,71,22.569300000000002
-12,72,10.300349999999998
-12,73,3.9304900000000003
-13,71,16.2573
-13,72,10.09784
-13,73,10.063649999999999
-14,71,22.3326
-14,72,9.919
-15,71,10.01368
-18,67,22.16954
-17,67,22.51407
-17,68,16.2836
-16,67,22.56404
-16,68,22.59297
-16,69,22.54563
-16,70,10.06891
-15,67,16.31516
-15,68,22.50881
-15,69,10.12414
-15,70,22.39572
-14,67,22.479879999999998
-14,68,22.47462
-14,69,22.47462
-14,70,22.42991
-13,67,16.29149
-13,68,22.450950000000002
-13,69,22.45358
-13,70,22.43254
-12,67,16.26782
-12,68,22.443060000000003
-12,69,22.46147
-12,70,22.479879999999998
-11,67,22.4378
-11,68,22.44569
-11,69,22.50092
-11,70,22.64557
-10,67,22.42728
-10,68,10.100470000000001
-10,69,16.29412
-10,70,22.62979
-9,67,22.42465
-9,68,22.41413
-9,69,22.42728
-9,70,16.30727
-8,67,16.27045
-8,68,22.41939
-8,69,22.42202
-8,70,22.41413
-7,67,22.43517
-7,68,22.41939
-7,69,22.41939
-7,70,22.40624
-6,67,22.443060000000003
-6,68,22.42991
-6,69,22.43517
-6,70,22.41939
-5,67,22.443060000000003
-5,68,16.29412
-5,69,22.443060000000003
-5,70,10.113620000000001
-4,67,22.44832
-4,68,22.43517
-4,69,16.2836
-4,70,16.25993
-3,67,16.27308
-3,68,22.44043
-3,69,22.44569
-3,70,22.43517
-2,67,22.45358
-2,68,22.44569
-2,69,16.333569999999998
-2,70,10.11888
-1,67,22.45884
-1,68,16.27834
-1,69,16.28886
-1,70,22.443060000000003
0,67,22.456210000000002
0,68,22.44832
0,69,22.456210000000002
0,70,22.44569
1,67,22.45884
1,68,16.38091
1,69,22.456210000000002
1,70,22.44832
2,67,22.456210000000002
2,68,16.3099
2,69,22.45358
2,70,22.443060000000003
3,67,22.45884
3,68,22.44569
3,69,16.27308
3,70,22.443060000000003
4,67,10.68433
4,68,22.450950000000002
4,69,10.103100000000001
4,70,16.30201
5,67,16.28623
5,68,22.41413
5,69,22.45358
5,70,22.44569
6,67,22.46147
6,68,16.27571
6,69,22.450950000000002
6,70,22.42991
7,67,10.10573
7,68,22.44832
7,69,22.44832
7,70,22.42202
8,67,16.28097
8,68,22.44569
8,69,22.42991
8,70,22.40361
9,67,22.443060000000003
9,68,22.43517
9,69,22.41676
9,70,22.32471
10,67,22.44569
10,68,22.40887
10,69,22.33786
10,70,22.09064
11,67,22.42728
11,68,16.21259
11,69,16.03375
12,67,16.20996
12,68,10.00053
13,67,3.92523
15,63,22.41676
15,64,10.066279999999999
14,63,16.3888
14,64,22.55352
14,65,16.338829999999998
13,63,16.34935
13,64,22.52985
13,65,22.48777
13,66,22.3063
12,63,22.51933
12,64,22.50618
12,65,22.49829
12,66,22.443060000000003
11,63,22.50092
11,64,22.48514
11,65,22.48777
11,66,10.103100000000001
10,63,16.39406
10,64,22.46673
10,65,22.47462
10,66,22.45884
9,63,16.3099
9,64,22.47462
9,65,22.46673
9,66,22.456210000000002
8,63,22.48251
8,64,22.47199
8,65,22.41676
8,66,16.27834
7,63,22.479879999999998
7,64,22.46673
7,65,22.47199
7,66,22.46147
6,63,22.48514
6,64,22.46936
6,65,22.47725
6,66,22.456210000000002
5,63,16.29675
5,64,10.13203
5,65,16.39669
5,66,22.464100000000002
4,63,22.47725
4,64,22.47199
4,65,22.47725
4,66,22.464100000000002
3,63,16.30464
3,64,22.46936
3,65,22.47725
3,66,16.30727
2,63,16.3362
2,64,22.46673
2,65,22.46936
2,66,22.46147
