X,Y,Value
-11,75,3.94627
-7,75,10.08206
-7,76,10.01631
-6,75,22.29052
-6,76,16.131059999999998
-6,77,9.92952
-5,75,10.08206
-5,76,16.12317
-5,77,10.03209
-4,75,22.26159
-4,76,22.240550000000002
-4,77,3.95416
-4,78,3.95153
-3,75,22.3063
-3,76,22.23792
-3,77,22.16428
-3,78,3.9489
-2,75,16.19944
-2,76,22.23003
-2,77,22.143240000000002
-2,78,3.9489
-1,75,10.08995
-1,76,22.21162
-1,77,10.02946
-1,78,3.95153
0,75,16.18103
0,76,16.10213
0,77,10.005790000000001
1,75,16.1521
1,76,16.29675
1,77,9.88218
2,75,16.14158
2,76,22.13009
2,77,3.9489
3,75,22.23266
3,76,9.98475
4,75,22.23529
4,76,3.94101
5,75,10.02946
6,75,3.9489
10,71,3.94627
9,71,22.13272
9,72,3.9436400000000003
8,71,22.25633
8,72,22.16428
8,73,3.9489
7,71,22.369419999999998
7,72,16.27308
7,73,10.121509999999999
7,74,3.95153
6,71,22.464100000000002
6,72,22.45884
6,73,16.26256
6,74,16.26782
5,71,22.464100000000002
5,72,22.464100000000002
5,73,22.456210000000002
5,74,22.40361
4,71,22.41676
4,72,16.25993
4,73,22.37205
4,74,16.18892
3,71,22.37731
3,72,22.36679
3,73,16.53082
3,74,16.21522
2,71,22.35364
2,72,16.20207
2,73,16.144209999999998
2,74,22.22477
1,71,22.351010000000002
1,72,22.32997
1,73,22.31945
1,74,22.28263
0,71,22.34312
0,72,22.33786
0,73,22.32734
0,74,16.22048
-1,71,16.22048
-1,72,22.32208
-1,73,16.22048
-1,74,22.31945
-2,71,22.35627
-2,72,22.34838
-2,73,16.24415
-2,74,22.3326
-3,71,22.35627
-3,72,22.34838
-3,73,22.34838
-3,74,10.09521
-4,71,22.34838
-4,72,16.24415
-4,73,22.34838
-4,74,22.3326
-5,71,16.26256
-5,72,22.3326
-5,73,22.32997
-5,74,16.19944
-6,71,16.2047
-6,72,22.32208
-6,73,16.19944
-6,74,22.31419
-7,71,22.32997
-7,72,16.236259999999998
-7,73,22.36679
-7,74,16.26782
-8,71,16.236259999999998
-8,72,22.26685
-8,73,4.87729
