X,Y,Value
7,67,3.935487
6,67,3.918655
5,67,3.9173400000000003
4,67,3.91471
4,68,17.022104
3,67,3.908398
3,68,17.021314999999998
2,67,4.095391
2,68,17.020263
2,69,17.021052
1,67,3.892092
1,68,17.021578
1,69,17.021052
0,67,17.023156
0,68,17.022367
0,69,17.021578
-1,67,3.894985
-1,68,3.874734
-1,69,3.874734
-2,67,17.024997
-2,68,3.8731560000000003
-2,69,17.020789
-3,67,3.9233890000000002
-3,68,3.871315
-3,69,17.021052
-4,67,3.9423250000000003
-4,68,3.8707890000000003
-4,69,17.020526
-5,67,4.171398
-5,68,17.022104
-5,69,17.022104
-5,70,17.021052
-6,67,17.024207999999998
-6,68,17.021314999999998
-6,69,17.02
-7,67,4.026222
-7,68,4.113275
-7,69,17.021841
-8,67,3.917077
-8,68,3.871052
-8,69,17.022367
-9,67,17.023418999999997
-9,68,17.021578
-9,69,17.021052
-10,67,17.024471
-10,68,17.022893
-10,69,3.870263
-11,67,17.023682
-11,68,17.022367
-11,69,17.020526
-12,67,17.024471
-16,67,17.024471
-17,67,17.024471
-24,63,17.024997
-23,63,3.903401
-22,63,17.023418999999997
-22,64,4.550118
-21,63,3.8765750000000003
-21,64,3.872104
-21,65,17.021052
-20,63,3.892618
-20,64,17.022104
-20,65,17.021314999999998
-19,63,17.02263
-19,64,17.022104
-19,65,17.020263
-19,66,17.020263
-18,63,17.023418999999997
-18,64,3.8755230000000003
-18,65,3.8778900000000003
-18,66,3.8718410000000003
-17,63,3.887884
-17,64,3.8731560000000003
-17,65,17.020526
-17,66,3.8718410000000003
-16,63,17.024997
-16,64,3.8755230000000003
-16,65,3.873945
-16,66,17.023418999999997
-15,63,17.02526
-15,64,3.872367
-15,65,17.023945
-14,63,3.893144
-14,64,17.022367
-14,65,17.021841
-13,63,3.8707890000000003
-13,64,3.8718410000000003
-13,65,3.870526
-12,63,17.024734
-12,64,17.02263
-12,65,17.021052
-12,66,17.021314999999998
-11,63,3.9149730000000003
-11,64,3.871052
-11,65,17.02
-11,66,17.022104
-10,63,3.906031
-10,64,3.873419
-10,65,17.019474
-10,66,3.870263
-9,63,3.8981410000000003
-9,64,17.021841
-9,65,17.00685
-9,66,3.876049
-8,63,3.8899880000000002
-8,64,3.87263
-8,65,3.871578
-8,66,3.882361
-7,63,3.87
-7,64,17.023418999999997
-7,65,3.8707890000000003
-7,66,17.021314999999998
-6,63,3.916814
-6,64,17.021314999999998
-6,65,17.021578
-6,66,17.021578
-5,63,3.871052
-5,64,17.022893
-5,65,17.020263
-5,66,17.024997
-4,63,3.902086
-4,64,3.894196
-4,65,3.870263
-4,66,17.020263
-3,63,3.891303
-3,64,17.020526
-3,65,3.8742080000000003
-3,66,3.8765750000000003
-2,63,17.024997
-2,64,17.022104
-2,65,17.02
-2,66,17.02263
-1,63,4.591146
-1,64,3.87263
-1,65,3.8707890000000003
-1,66,17.020263
0,63,3.932331
0,64,3.872367
0,65,3.872104
0,66,3.872893
1,63,3.895511
1,64,17.021314999999998
1,65,3.872893
1,66,17.020789
2,63,3.878942
2,64,17.02263
2,65,3.95416
2,66,3.872893
3,63,3.9436400000000003
3,64,3.871315
3,65,3.955212
3,66,3.873945
4,63,17.023945
4,64,3.8707890000000003
4,65,3.8802570000000003
4,66,3.872104
5,63,3.873945
5,64,3.8718410000000003
5,65,17.021052
5,66,3.872367
6,63,3.871052
6,64,3.871315
6,65,3.870526
6,66,3.873419
7,63,3.88841
7,64,3.874471
7,65,3.878679
7,66,3.87526
8,63,3.88841
8,64,3.871315
8,65,3.871578
8,66,17.022104
9,63,3.9183920000000003
9,64,3.873419
9,65,17.021578
9,66,17.021052
10,63,3.896563
10,64,17.021578
10,65,17.021314999999998
11,63,3.943903
11,64,3.874471
11,65,17.020526
12,63,3.918129
12,64,17.022104
13,63,17.024207999999998
18,59,17.02526
17,59,17.023945
17,60,17.021841
16,59,3.918129
16,60,3.8742080000000003
16,61,17.021314999999998
15,59,3.9018230000000003
15,60,3.8742080000000003
15,61,3.877101
15,62,17.020789
14,59,3.90682
14,60,3.872893
14,61,3.872893
14,62,3.87263
13,59,17.024471
13,60,3.872367
13,61,3.87
13,62,3.8731560000000003
12,59,3.939695
12,60,3.873682
12,61,3.8742080000000003
12,62,3.870263
11,59,3.928386
11,60,3.8718410000000003
11,61,3.872104
11,62,3.872367
10,59,3.936802
10,60,3.871052
10,61,3.870526
10,62,3.873682
9,59,3.890251
9,60,3.872104
9,61,3.944955
9,62,3.8718410000000003
8,59,3.94101
8,60,3.870263
8,61,3.8742080000000003
8,62,17.021052
7,59,17.023682
7,60,3.871315
7,61,3.871578
7,62,3.874471
6,59,3.9028750000000003
6,60,3.87
6,61,3.877101
6,62,3.8742080000000003
5,59,17.024207999999998
5,60,3.871578
5,61,3.971781
5,62,3.872893
4,59,3.896826
4,60,3.873419
4,61,3.873419
4,62,3.8718410000000003
3,59,3.891566
3,60,3.873419
3,61,3.872893
3,62,3.871315
2,59,3.886569
2,60,3.874471
2,61,17.019737
2,62,17.021052
1,59,3.8863060000000003
1,60,3.873682
1,61,17.021314999999998
1,62,3.8718410000000003
0,59,3.909187
0,60,3.8707890000000003
0,61,3.872367
0,62,3.889462
-1,59,3.892618
-1,60,3.871052
-1,61,17.022104
-1,62,17.021314999999998
-2,59,17.023682
-2,60,17.021314999999998
-2,61,3.929701
-2,62,3.874734
-3,59,17.028416
-3,60,3.87
-3,61,3.874471
-3,62,17.021052
-4,59,3.928386
-4,60,17.022367
-4,61,3.8731560000000003
-4,62,17.021314999999998
-5,59,3.902086
-5,60,17.021578
-5,61,17.021314999999998
-5,62,3.87263
-6,59,17.024997
-6,60,3.87
-6,61,3.871578
-6,62,3.871052
-7,59,3.943903
-7,60,17.02263
-7,61,17.019737
-7,62,17.019737
-8,59,3.9149730000000003
-8,60,17.021841
-8,61,3.871052
-8,62,17.020789
-9,59,3.8849910000000003
-9,60,3.874471
-9,61,17.021052
-9,62,17.021314999999998
-10,59,3.885517
-10,60,17.021314999999998
-10,61,3.873419
-10,62,3.873419
-11,59,17.023418999999997
-11,60,17.022367
-11,61,17.021578
-11,62,3.879731
-12,59,3.942062
-12,60,3.872367
-12,61,17.022104
-12,62,17.02
-13,59,17.024207999999998
-13,60,17.02263
-13,61,3.8718410000000003
-13,62,17.020526
-14,59,17.024734
-14,60,17.02263
-14,61,17.021841
-14,62,3.872104
-15,59,17.027627
-15,60,3.8718410000000003
-15,61,17.021052
-15,62,3.872104
-16,59,17.023156
-16,60,17.021841
-16,61,17.021578
-16,62,17.020526
-17,59,17.024734
-17,60,17.021841
-17,61,17.020789
-17,62,17.020263
-18,59,3.879731
-18,60,3.8707890000000003
-18,61,3.872367
-18,62,17.021052
-19,59,3.873682
-19,60,3.8718410000000003
-19,61,17.021314999999998
-19,62,17.020789
-20,59,17.024734
-20,60,3.871052
