X,Y,Value
-18,101,17.02
-17,101,17.02
-16,101,17.02
-12,101,17.02
-12,102,17.02
-11,101,17.02
-11,102,17.02
-11,103,17.02
-10,101,17.02
-10,102,17.02
-10,103,17.02
-10,104,17.02
-9,101,17.02
-9,102,17.02
-9,103,17.02
-9,104,17.02
-8,101,17.02
-8,102,17.02
-8,103,17.02
-8,104,17.02
-7,101,17.02
-7,102,17.02
-7,103,17.02
-7,104,17.02
-6,101,17.02
-6,102,17.02
-6,103,17.02
-6,104,17.02
-5,101,17.02
-5,102,17.02
-5,103,17.02
-5,104,17.02
-4,101,17.02
-4,102,17.02
-4,103,17.02
-4,104,17.02
-3,101,17.02
-3,102,17.02
-3,103,17.02
-3,104,17.02
-2,101,17.02
-2,102,17.02
-2,103,17.02
-2,104,17.02
-1,101,17.02
-1,102,17.02
-1,103,17.02
-1,104,17.02
0,101,17.02
0,102,17.02
0,103,17.02
1,101,17.02
1,102,17.02
1,103,17.02
2,101,17.02
2,102,17.02
2,103,17.02
3,101,17.02
3,102,17.02
3,103,17.02
4,101,17.02
4,102,17.02
5,101,17.02
5,102,17.02
6,101,17.02
7,101,17.02
18,93,17.02
17,93,17.02
17,94,17.02
16,93,17.02
16,94,17.02
16,95,17.02
15,93,17.02
15,94,17.02
15,95,17.02
15,96,17.02
14,93,17.02
14,94,17.02
14,95,17.02
14,96,17.02
13,93,17.02
13,94,17.02
13,95,17.02
13,96,17.02
13,97,17.02
12,93,17.02
12,94,17.02
12,95,17.02
12,96,17.02
12,97,17.02
12,98,17.02
11,93,17.02
11,94,17.02
11,95,17.02
11,96,17.02
11,97,17.02
11,98,17.02
11,99,17.02
10,93,17.02
10,94,17.02
10,95,17.02
10,96,17.02
10,97,17.02
10,98,17.02
10,99,17.02
9,93,17.02
9,94,17.02
9,95,17.02
9,96,17.02
9,97,17.02
9,98,17.02
9,99,17.02
9,100,17.02
8,93,17.02
8,94,17.02
8,95,17.02
8,96,17.02
8,97,17.02
8,98,17.02
8,99,17.02
8,100,17.02
7,93,17.02
7,94,17.02
7,95,17.02
7,96,17.02
7,97,17.02
7,98,17.02
7,99,17.02
7,100,17.02
6,93,17.02
6,94,17.02
6,95,17.02
6,96,17.02
6,97,17.02
6,98,17.02
6,99,17.02
6,100,17.02
5,93,17.02
5,94,17.02
5,95,17.02
5,96,17.02
5,97,17.02
5,98,17.02
5,99,17.02
5,100,17.02
4,93,17.02
4,94,3.88052
4,95,17.02
4,96,17.02
4,97,17.02
4,98,17.02
4,99,17.02
4,100,17.02
3,93,17.02
3,94,17.02
3,95,17.02
3,96,17.02
3,97,17.02
3,98,17.02
3,99,17.02
3,100,17.02
2,93,17.02
2,94,17.02
2,95,17.02
2,96,17.02
2,97,17.02
2,98,17.02
2,99,17.02
2,100,17.02
1,93,17.02
1,94,17.02
1,95,17.02
1,96,17.02
1,97,17.02
1,98,17.02
1,99,17.02
1,100,17.02
0,93,17.02
0,94,17.02
0,95,17.02
0,96,17.02
0,97,17.02
0,98,17.02
0,99,17.02
0,100,17.02
-1,93,3.87526
-1,94,17.02
-1,95,17.02
-1,96,17.02
-1,97,17.02
-1,98,17.02
-1,99,17.02
-1,100,17.02
-2,93,17.02
-2,94,17.02
-2,95,17.02
-2,96,17.02
-2,97,3.8778900000000003
-2,98,17.02
-2,99,17.02
-2,100,17.02
-3,93,17.02
-3,94,17.02
-3,95,17.02
-3,96,17.02
-3,97,17.02
-3,98,17.02
-3,99,17.02
-3,100,17.02
-4,93,17.02
-4,94,17.02
-4,95,17.02
-4,96,17.02
-4,97,17.02
-4,98,17.02
-4,99,17.02
-4,100,17.02
-5,93,17.02
-5,94,17.02
-5,95,17.02
-5,96,17.02
-5,97,17.02
-5,98,17.02
-5,99,17.02
-5,100,17.02
-6,93,3.8778900000000003
-6,94,17.02
-6,95,17.02
-6,96,17.02
-6,97,17.02
-6,98,17.02
-6,99,17.02
-6,100,17.02
-7,93,17.02
-7,94,17.02
-7,95,17.02
-7,96,17.02
-7,97,17.02
-7,98,17.02
-7,99,17.02
-7,100,17.02
-8,93,3.88052
-8,94,3.88052
-8,95,17.02
-8,96,17.02
-8,97,17.02
-8,98,17.02
-8,99,17.02
-8,100,17.02
-9,93,17.02
-9,94,17.02
-9,95,17.02
-9,96,17.02
-9,97,17.02
-9,98,17.02
-9,99,17.02
-9,100,17.02
-10,93,3.8778900000000003
-10,94,17.02
-10,95,17.02
-10,96,17.02
-10,97,17.02
-10,98,17.02
-10,99,17.02
-10,100,17.02
-11,93,3.8778900000000003
-11,94,17.02
-11,95,17.02
-11,96,17.02
-11,97,17.02
-11,98,17.02
-11,99,17.02
-11,100,17.02
-12,93,17.02
-12,94,17.02
-12,95,17.02
-12,96,17.02
-12,97,17.02
-12,98,17.02
-12,99,17.02
-12,100,17.02
-13,93,17.02
-13,94,17.02
-13,95,17.02
-13,96,17.02
-13,97,17.02
-13,98,17.02
-13,99,17.02
-13,100,17.02
-14,93,3.8778900000000003
-14,94,3.87263
-14,95,17.02
-14,96,17.02
-14,97,17.02
-14,98,17.02
-14,99,17.02
-15,93,3.87263
-15,94,17.02
-15,95,17.02
-15,96,17.02
-15,97,17.02
-15,98,17.02
-15,99,17.02
-15,100,17.02
-16,93,3.88052
-16,94,17.02
-16,95,17.02
-16,96,3.8778900000000003
-16,97,17.02
-16,98,17.02
-16,99,17.02
-16,100,17.02
-17,93,3.88052
-17,94,17.02
-17,95,3.9936100000000003
-17,96,17.02
-17,97,17.02
-17,98,17.02
-17,99,17.02
-17,100,17.02
-18,93,17.02
-18,94,17.02
-18,95,3.87263
-18,96,17.02
-18,97,17.02
-18,98,17.02
-18,99,17.02
-18,100,17.02
-19,93,3.88315
-19,94,17.02
-19,95,17.02
-19,96,17.02
-19,97,17.02
-19,98,17.02
-19,99,17.02
-19,100,17.02
-20,93,3.87526
-20,94,3.8778900000000003
-20,95,17.02
-20,96,17.02
-20,97,17.02
-20,98,17.02
-20,99,17.02
-20,100,17.02
-21,93,17.02
-21,94,3.8778900000000003
-21,95,17.02
-21,96,17.02
-21,97,17.02
-21,98,17.02
-21,99,17.02
-22,93,3.8778900000000003
-22,94,3.88052
-22,95,17.02
-22,96,17.02
-22,97,17.02
-22,98,17.02
-23,93,17.02
-23,94,17.02
-23,95,17.02
-23,96,17.02
-23,97,17.02
-23,98,17.02
-24,93,3.87263
-24,94,17.02
-24,95,17.02
-24,96,17.02
-24,97,17.02
-25,93,3.87526
-25,94,17.02
-25,95,17.02
-25,96,17.02
-26,93,17.02
-26,94,17.02
-26,95,17.02
-27,93,17.02
-27,94,17.02
-28,93,17.02
-35,85,17.02
-35,86,17.02
-34,85,17.02
-34,86,17.02
-34,87,17.02
-33,85,17.02
-33,86,17.02
-33,87,17.02
-33,88,17.02
-32,85,3.88315
-32,86,3.87263
-32,87,17.02
-32,88,17.02
-32,89,17.02
-31,85,3.88052
-31,86,3.8778900000000003
-31,87,17.02
-31,88,17.02
-31,89,17.02
-31,90,17.02
-30,85,3.88315
-30,86,3.87263
-30,87,3.8778900000000003
-30,88,3.87526
-30,89,17.02
-30,90,17.02
-30,91,17.02
-29,85,3.88052
-29,86,3.8778900000000003
-29,87,3.88052
-29,88,3.87263
-29,89,3.87526
-29,90,17.02
-29,91,17.02
-29,92,17.02
-28,85,3.8778900000000003
-28,86,3.87526
-28,87,3.87263
-28,88,3.88052
-28,89,3.87526
-28,90,3.87263
-28,91,17.02
-28,92,17.02
-27,85,3.87526
-27,86,3.87263
-27,87,3.8778900000000003
-27,88,3.87263
-27,89,3.8778900000000003
-27,90,17.02
-27,91,17.02
-27,92,17.02
-26,85,17.02
-26,86,3.88052
-26,87,17.02
-26,88,3.87263
-26,89,3.88052
-26,90,3.88841
-26,91,3.87526
-26,92,3.87526
-25,85,3.88052
-25,86,3.88052
-25,87,3.8778900000000003
-25,88,3.8778900000000003
-25,89,3.87263
-25,90,3.87526
-25,91,3.88315
-25,92,17.02
-24,85,3.8778900000000003
-24,86,3.87526
-24,87,3.87526
-24,88,3.87526
-24,89,3.88052
-24,90,3.88052
-24,91,3.87526
-24,92,17.02
-23,85,17.02
-23,86,3.87526
-23,87,3.8778900000000003
-23,88,3.8778900000000003
-23,89,3.87263
-23,90,3.87263
-23,91,3.87263
-23,92,3.8778900000000003
-22,85,3.87263
-22,86,3.87526
-22,87,3.87263
-22,88,17.02
-22,89,3.87526
-22,90,3.88052
-22,91,17.02
-22,92,17.02
-21,85,3.88052
-21,86,3.87526
-21,87,3.8778900000000003
-21,88,3.87526
-21,89,3.8778900000000003
-21,90,3.87263
-21,91,17.02
-21,92,3.88315
-20,85,3.87526
-20,86,3.8778900000000003
-20,87,3.87263
-20,88,3.87263
-20,89,17.02
-20,90,3.8778900000000003
-20,91,3.88315
-20,92,3.88052
-19,85,3.87263
-19,86,3.87263
-19,87,17.02
-19,88,3.87263
-19,89,3.87263
-19,90,3.8778900000000003
-19,91,3.8778900000000003
-19,92,3.87526
-18,85,3.88052
-18,86,3.8778900000000003
-18,87,3.87526
-18,88,3.87526
-18,89,3.87526
-18,90,3.8778900000000003
-18,91,3.8778900000000003
-18,92,3.88052
-17,85,3.88315
-17,86,3.88052
-17,87,3.87526
-17,88,3.87526
-17,89,3.88052
-17,90,3.88315
-17,91,17.02
-17,92,3.8778900000000003
-16,85,3.88315
-16,86,3.8778900000000003
-16,87,3.87526
-16,88,3.8778900000000003
-16,89,3.87263
-16,90,3.8778900000000003
-16,91,3.8778900000000003
-16,92,17.02
-15,85,3.88052
-15,86,3.87526
-15,87,3.88315
-15,88,3.88052
-15,89,3.87526
-15,90,3.88052
-15,91,3.87526
-15,92,3.87526
-14,85,3.8778900000000003
-14,86,3.88315
-14,87,3.8778900000000003
-14,88,3.88052
-14,89,17.02
-14,90,3.87526
-14,91,17.02
-14,92,17.02
-13,85,3.88052
-13,86,17.02
-13,87,3.88315
-13,88,3.88052
-13,89,3.87263
-13,90,3.87263
-13,91,3.87526
-13,92,3.8778900000000003
-12,85,3.88052
-12,86,3.8778900000000003
-12,87,3.88052
-12,88,3.88052
-12,89,3.87263
-12,90,17.02
-12,91,3.8778900000000003
-12,92,3.88052
-11,85,3.88052
-11,86,17.02
-11,87,3.8778900000000003
-11,88,3.87263
-11,89,3.88052
-11,90,3.8778900000000003
-11,91,17.02
-11,92,17.02
-10,85,3.87526
-10,86,3.88315
-10,87,4.08303
-10,88,3.8778900000000003
-10,89,3.88052
-10,90,17.02
-10,91,17.02
-10,92,17.02
-9,85,3.88052
-9,86,3.8778900000000003
-9,87,3.88052
-9,88,3.87526
-9,89,17.02
-9,90,17.02
-9,91,17.02
-9,92,3.87263
-8,85,3.8963
-8,86,17.02
-8,87,3.87526
-8,88,17.02
-8,89,3.87263
-8,90,17.02
-8,91,17.02
-8,92,17.02
-7,85,3.87263
-7,86,3.87526
-7,87,3.87526
-7,88,17.02
-7,89,3.8778900000000003
-7,90,3.87526
-7,91,3.87263
-7,92,3.88052
-6,85,3.87263
-6,86,3.87526
-6,87,3.87526
-6,88,17.02
-6,89,17.02
-6,90,17.02
-6,91,17.02
-6,92,3.88052
-5,85,3.88315
-5,86,17.02
-5,87,17.02
-5,88,3.88052
-5,89,17.02
-5,90,17.02
-5,91,17.02
-5,92,17.02
-4,85,17.02
-4,86,3.88315
-4,87,3.8778900000000003
-4,88,3.87526
-4,89,3.87263
-4,90,17.02
-4,91,3.8778900000000003
-4,92,17.02
-3,85,3.88315
-3,86,3.87263
-3,87,17.02
-3,88,3.8778900000000003
-3,89,17.02
-3,90,17.02
-3,91,17.02
-3,92,17.02
-2,85,3.88052
-2,86,17.02
-2,87,3.8778900000000003
-2,88,3.87526
-2,89,17.02
-2,90,3.87526
-2,91,17.02
-2,92,17.02
-1,85,17.02
-1,86,3.87526
-1,87,17.02
-1,88,17.02
-1,89,3.8778900000000003
-1,90,17.02
-1,91,17.02
-1,92,17.02
0,85,17.02
0,86,17.02
0,87,3.8778900000000003
0,88,3.87526
0,89,17.02
0,90,3.87526
0,91,17.02
0,92,17.02
1,85,17.02
1,86,17.02
1,87,3.88052
1,88,17.02
1,89,3.87263
1,90,3.87526
1,91,17.02
1,92,17.02
2,85,3.88052
2,86,3.87263
2,87,17.02
2,88,17.02
