X,Y,Value
-1,91,3.88841
-2,91,9.67178
-3,91,82.81208
-4,91,3.88315
-5,91,3.88841
-6,91,3.88315
-7,91,3.88315
-16,87,9.57184
-15,87,15.904879999999999
-14,87,22.053819999999998
-14,88,3.87
-13,87,16.0732
-9,87,22.31419
-9,88,16.08109
-8,87,22.34838
-8,88,22.19321
-8,89,22.11168
-8,90,3.87
-7,87,22.374679999999998
-7,88,22.26685
-7,89,22.16165
-7,90,9.782240000000002
-6,87,22.39572
-6,88,22.264219999999998
-6,89,16.09687
-6,90,9.766459999999999
-5,87,22.42465
-5,88,22.35364
-5,89,22.248440000000002
-5,90,9.83484
-4,87,22.54037
-4,88,22.46673
-4,89,22.41939
-4,90,22.07749
-3,87,22.62453
-3,88,22.57982
-3,89,22.54037
-3,90,22.26159
-2,87,22.57456
-2,88,22.50618
-2,89,22.374679999999998
-2,90,16.08109
-1,87,22.49829
-1,88,22.38257
-1,89,22.32734
-1,90,9.81906
0,87,22.41413
0,88,22.28
0,89,22.11694
0,90,9.7612
1,87,22.35627
1,88,22.23529
1,89,22.01437
1,90,3.87
2,87,22.29315
2,88,22.066969999999998
2,89,21.835530000000002
2,90,3.87
3,87,22.23003
3,88,22.017
3,89,9.798020000000001
3,90,3.87
4,87,22.16428
4,88,21.89865
4,89,9.690190000000001
5,87,22.10379
5,88,15.76812
5,89,3.88052
6,87,21.940730000000002
6,88,9.650739999999999
7,87,10.05576
7,88,3.87
8,87,3.88841
9,87,3.87
13,83,11.74948
12,83,22.01437
12,84,8.63819
11,83,22.23529
11,84,21.96966
11,85,3.88578
10,83,22.277369999999998
10,84,22.04593
10,85,21.79608
10,86,3.87
9,83,22.29578
9,84,22.06434
9,85,21.87235
9,86,9.71912
8,83,22.16691
8,84,21.99596
8,85,21.90654
8,86,21.3069
7,83,22.28789
7,84,22.11168
7,85,21.93021
7,86,21.84868
6,83,22.42465
6,84,22.37731
6,85,22.31682
6,86,22.11694
5,83,22.450950000000002
5,84,22.35364
5,85,22.345750000000002
5,86,22.148500000000002
4,83,22.456210000000002
4,84,22.3852
4,85,22.369419999999998
4,86,22.21162
3,83,22.4378
3,84,22.40361
3,85,22.40624
3,86,22.26159
2,83,22.43517
2,84,22.43517
2,85,22.450950000000002
2,86,22.27211
1,83,22.50881
1,84,22.43517
1,85,22.464100000000002
1,86,22.31156
0,83,22.54037
0,84,22.50618
0,85,22.535110000000003
0,86,22.39046
-1,83,22.57719
-1,84,16.323050000000002
-1,85,22.52985
-1,86,22.42728
-2,83,22.57982
-2,84,22.535110000000003
-2,85,19.90511
-2,86,22.49303
-3,83,22.585079999999998
-3,84,22.54037
-3,85,22.59297
-3,86,22.51407
-4,83,22.54563
-4,84,22.51933
-4,85,22.56667
-4,86,22.47199
-5,83,22.535110000000003
-5,84,22.50618
-5,85,22.52196
-5,86,22.4115
-6,83,22.50355
-6,84,22.44832
-6,85,22.47199
-6,86,22.345750000000002
-7,83,22.4904
-7,84,22.44043
-7,85,22.4378
-7,86,22.31945
-8,83,22.456210000000002
-8,84,22.38783
-8,85,16.241519999999998
-8,86,22.29052
-9,83,22.443060000000003
-9,84,22.37994
-9,85,22.38783
-9,86,22.27211
-10,83,22.46673
-10,84,16.22311
-10,85,16.26782
-10,86,3.87
-11,83,22.450950000000002
-11,84,22.42202
-11,85,22.39835
-11,86,3.87
-12,83,22.49303
-12,84,22.41413
-12,85,16.241519999999998
-12,86,10.14781
-13,83,22.42991
-13,84,22.36679
-13,85,22.37205
-13,86,22.16428
-14,83,22.4115
-14,84,22.30893
-14,85,22.31156
-14,86,22.156390000000002
-15,83,22.4115
-15,84,22.30104
-15,85,22.28263
-15,86,22.03278
-16,83,22.39046
-16,84,22.28789
-16,85,22.21951
-16,86,21.88024
-17,83,16.38617
-17,84,16.18629
-17,85,22.06171
-17,86,9.77435
-18,83,22.29578
