X,Y,Value
-15,55,17.02
-14,55,3.9226
-13,55,4.19875
-13,56,17.02
-12,55,17.02
-12,56,3.87526
-11,55,3.8778900000000003
-11,56,3.90682
-10,55,3.87526
-10,56,17.02
-9,55,3.90945
-9,56,17.02
-8,55,3.8778900000000003
-8,56,3.87526
-7,55,3.87526
-7,56,3.9173400000000003
-7,57,4.01728
-7,58,17.02
-6,55,3.87526
-6,56,4.27765
-6,57,3.89893
-6,58,17.02
-5,55,3.87526
-5,56,3.87526
-5,57,17.02
-5,58,17.02
-4,55,3.87526
-4,56,3.97257
-4,57,17.02
-4,58,3.87526
-3,55,3.87526
-3,56,3.88315
-3,57,3.88052
-3,58,3.87263
-2,55,3.87526
-2,56,4.51961
-2,57,4.49594
-2,58,3.8778900000000003
-1,55,3.87526
-1,56,3.87526
-1,57,3.8778900000000003
-1,58,3.8778900000000003
0,55,3.87526
0,56,3.88841
0,57,3.88052
0,58,4.47753
1,55,17.02
1,56,17.02
1,57,4.3539200000000005
1,58,3.8778900000000003
2,55,3.87526
2,56,3.88052
2,57,3.97783
2,58,3.88578
3,55,3.8778900000000003
3,56,3.9489
3,57,17.02
3,58,17.02
4,55,3.87526
4,56,3.87526
4,57,3.9173400000000003
4,58,17.02
5,55,3.87263
5,56,4.1435200000000005
5,57,3.88315
6,55,3.9173400000000003
6,56,3.87526
6,57,3.87526
7,55,3.90156
7,56,3.88052
7,57,17.02
8,55,3.87526
8,56,3.8778900000000003
8,57,17.02
9,55,17.02
9,56,17.02
10,55,3.8778900000000003
10,56,17.02
11,55,3.87526
12,55,17.02
19,51,17.02
18,51,17.02
17,51,3.8778900000000003
17,52,17.02
16,51,3.87526
16,52,3.87526
16,53,17.02
15,51,3.87526
15,52,3.87526
15,53,3.88315
14,51,3.88841
14,52,3.87526
14,53,3.87526
14,54,17.02
13,51,3.8778900000000003
13,52,3.9304900000000003
13,53,3.8778900000000003
13,54,3.87263
12,51,3.87526
12,52,3.87526
12,53,3.8778900000000003
12,54,3.8963
11,51,3.87526
11,52,3.87526
11,53,3.87526
11,54,3.87263
10,51,3.8778900000000003
10,52,3.88052
10,53,3.8778900000000003
10,54,3.87263
9,51,3.87526
9,52,3.87526
9,53,3.89893
9,54,3.87263
8,51,3.87526
8,52,3.8778900000000003
8,53,3.8778900000000003
8,54,3.87263
7,51,3.87526
7,52,3.88052
7,53,3.8778900000000003
7,54,17.02
6,51,3.87526
6,52,3.87526
6,53,3.87526
6,54,3.88315
5,51,3.8778900000000003
5,52,3.8778900000000003
5,53,3.8778900000000003
5,54,3.87263
4,51,3.87526
4,52,3.88841
4,53,17.02
4,54,3.88315
3,51,3.87526
3,52,3.87526
3,53,3.8778900000000003
3,54,17.02
2,51,3.87526
2,52,3.87263
2,53,3.8778900000000003
2,54,3.8778900000000003
1,51,3.8778900000000003
1,52,3.88578
1,53,17.02
1,54,3.87263
0,51,3.87263
0,52,3.87526
0,53,3.87526
0,54,3.87263
-1,51,3.87526
-1,52,3.87526
-1,53,3.8778900000000003
-1,54,3.8778900000000003
-2,51,3.87526
-2,52,3.88052
-2,53,3.88052
-2,54,3.88052
-3,51,3.87526
-3,52,3.87526
-3,53,3.87526
-3,54,3.8778900000000003
-4,51,3.87526
-4,52,3.87526
-4,53,3.8778900000000003
-4,54,3.87526
-5,51,3.87526
-5,52,3.88315
-5,53,3.8778900000000003
-5,54,3.87263
-6,51,3.87526
-6,52,3.87526
-6,53,3.8778900000000003
-6,54,3.8778900000000003
-7,51,3.8778900000000003
-7,52,3.87526
-7,53,3.8778900000000003
-7,54,3.87526
-8,51,3.87526
-8,52,3.88315
-8,53,3.8778900000000003
-8,54,3.87263
-9,51,3.87526
-9,52,3.87526
-9,53,3.87526
-9,54,3.87263
-10,51,3.87526
-10,52,3.87526
-10,53,3.8778900000000003
-10,54,3.87263
-11,51,3.87526
-11,52,4.02517
-11,53,3.8778900000000003
-11,54,4.01728
-12,51,3.87526
-12,52,3.87526
-12,53,3.8778900000000003
-12,54,3.87263
-13,51,3.87526
-13,52,4.11196
-13,53,3.88315
-13,54,3.90945
-14,51,3.9436400000000003
-14,52,3.88052
-14,53,4.55117
-14,54,3.87526
-15,51,3.8778900000000003
-15,52,3.87526
-15,53,3.87526
-15,54,17.02
-16,51,3.8778900000000003
-16,52,3.87526
-16,53,3.88052
-16,54,3.8778900000000003
