X,Y,Value
-2,103,3.8742080000000003
-3,103,3.872367
-4,103,3.8742080000000003
-5,103,3.87
-6,103,3.871315
-7,103,16.159464
-8,103,17.023418999999997
-9,103,17.022104
-19,99,11.573007
-18,99,4.845204
-18,100,17.022367
-17,99,17.022367
-14,99,17.022893
-13,99,17.021841
-12,99,3.903664
-12,100,4.7991790000000005
-11,99,3.946796
-11,100,4.094602
-11,101,4.121954
-11,102,17.020789
-10,99,3.889199
-10,100,3.894459
-10,101,3.9507410000000003
-10,102,17.02
-9,99,3.882361
-9,100,4.21453
-9,101,3.996766
-9,102,4.061727
-8,99,3.8970890000000002
-8,100,3.894459
-8,101,3.9662580000000003
-8,102,4.081715
-7,99,4.29606
-7,100,4.035953
-7,101,12.334917999999998
-7,102,4.122743
-6,99,3.9520560000000002
-6,100,3.947585
-6,101,3.885517
-6,102,4.293167
-5,99,3.913395
-5,100,3.897615
-5,101,3.927597
-5,102,4.02254
-4,99,3.95416
-4,100,3.954949
-4,101,4.0551520000000005
-4,102,4.08303
-3,99,3.927334
-3,100,3.907609
-3,101,3.989928
-3,102,3.946533
-2,99,3.931016
-2,100,4.03832
-2,101,5.3725190000000005
-2,102,17.022893
-1,99,17.023418999999997
-1,100,17.023682
-1,101,17.022367
-1,102,17.021314999999998
0,99,17.023418999999997
0,100,17.023418999999997
0,101,17.022367
0,102,17.021052
1,99,17.023418999999997
1,100,17.022893
1,101,17.02263
1,102,17.021841
2,99,17.021841
2,100,17.022893
2,101,17.021841
3,99,17.023156
3,100,17.021841
4,99,17.022893
5,99,17.022893
7,99,17.022367
14,95,17.022104
13,95,17.022367
13,96,17.022104
12,95,17.023156
12,96,17.02263
11,95,17.022367
11,96,17.022893
11,97,17.023682
10,95,17.022104
10,96,17.022893
10,97,17.022893
10,98,17.021578
9,95,17.022367
9,96,17.02263
9,97,17.021578
9,98,17.021578
8,95,17.021578
8,96,17.02263
8,97,17.022367
8,98,17.021578
7,95,17.023682
7,96,17.022367
7,97,17.021052
7,98,17.021578
6,95,17.022893
6,96,17.022367
6,97,17.022367
6,98,17.021578
5,95,17.022893
5,96,17.022893
5,97,17.021841
5,98,17.021578
4,95,17.022367
4,96,17.021578
4,97,17.022367
4,98,17.021841
3,95,17.02263
3,96,17.023418999999997
3,97,17.022893
3,98,17.021314999999998
2,95,17.022893
2,96,17.023418999999997
2,97,17.022104
2,98,17.021578
1,95,17.022104
1,96,17.023156
1,97,17.02263
1,98,17.021578
0,95,17.023156
0,96,17.023418999999997
0,97,17.02263
0,98,17.021841
-1,95,6.6052
-1,96,14.128052
-1,97,17.018159
-1,98,17.021578
-2,95,6.803765
-2,96,3.9544230000000002
-2,97,3.99098
-2,98,3.9399580000000003
-3,95,3.910502
-3,96,3.8910400000000003
-3,97,4.038057
-3,98,4.029378
-4,95,3.967047
-4,96,3.896037
-4,97,3.872367
-4,98,4.605874
-5,95,3.965732
-5,96,3.891829
-5,97,3.8910400000000003
-5,98,4.197172
-6,95,4.008075
-6,96,3.923915
-6,97,4.077244
-6,98,3.914447
-7,95,3.8910400000000003
-7,96,3.890777
-7,97,3.913395
-7,98,3.910502
-8,95,4.505934
-8,96,3.931279
-8,97,4.5012
-8,98,3.882887
-9,95,3.9268080000000003
-9,96,3.894459
-9,97,3.891303
-9,98,3.8934070000000003
-10,95,5.023518
-10,96,4.381535
-10,97,4.037268
-10,98,3.887095
-11,95,3.8802570000000003
-11,96,3.872104
-11,97,3.90682
-11,98,4.528552
-12,95,3.890514
-12,96,3.8755230000000003
-12,97,3.871578
-12,98,3.942851
-13,95,3.885517
-13,96,3.885254
-13,97,4.024644
-13,98,4.063568
-14,95,3.870263
-14,96,3.897352
-14,97,3.9304900000000003
