X,Y,Value
9,99,17.02
8,99,4.091972
7,99,17.018159
7,100,17.02
6,99,17.020263
6,100,17.02
5,99,3.8802570000000003
5,100,17.02
4,99,3.872367
4,100,4.244249
4,101,17.02
3,99,3.9652060000000002
3,100,3.871578
3,101,17.02
2,99,3.872367
2,100,3.872893
1,99,3.911554
1,100,17.018947999999998
0,99,3.878153
0,100,3.9233890000000002
0,101,17.021052
-1,99,17.02
-1,100,3.882887
-1,101,17.02
-1,102,17.02
-2,99,3.8765750000000003
-2,100,17.02
-2,101,3.929701
-2,102,17.02
-3,99,3.884465
-3,100,17.019211
-3,101,17.019737
-3,102,17.02
-4,99,17.019737
-4,100,17.019737
-4,101,3.87263
-4,102,17.02
-5,99,17.02
-5,100,17.02
-5,101,17.02
-5,102,17.016844
-6,99,17.02
-6,100,17.02
-6,101,17.02
-6,102,17.020263
-7,99,17.02
-7,100,17.02
-7,101,17.02
-7,102,17.02
-8,99,17.02
-8,100,17.02
-8,101,17.02
-8,102,17.02
-9,99,17.02
-9,100,17.02
-9,101,17.02
-9,102,17.02
-10,99,17.02
-10,100,17.02
-10,101,17.02
-10,102,17.02
-11,99,17.02
-11,100,17.02
-11,101,17.02
-12,99,17.02
-12,100,17.02
-12,101,17.02
-13,99,17.02
-13,100,17.02
-13,101,17.02
-14,99,17.02
-15,99,17.02
-26,95,17.02
-25,95,17.02
-24,95,17.02
-24,96,17.02
-23,95,17.02
-23,96,17.02
-23,97,17.02
-22,95,17.02
-22,96,17.02
-22,97,17.02
-21,95,17.02
-21,96,17.02
-21,97,17.02
-21,98,17.02
-20,95,17.02
-20,96,17.024997
-20,97,17.024471
-20,98,17.02
-19,95,17.024997
-19,96,17.024734
-19,97,17.02
-19,98,17.02
-18,95,17.024734
-18,96,17.02
-18,97,17.02
-17,95,17.024471
-17,96,17.02
-17,97,17.02
-17,98,17.02
-16,95,17.02526
-16,96,17.024997
-16,97,17.02
-16,98,17.02
-15,95,17.02526
-15,96,17.02526
-15,97,17.02
-15,98,17.02
-14,95,17.024471
-14,96,17.024997
-14,97,17.02
-14,98,17.02
-13,95,17.023682
-13,96,17.024207999999998
-13,97,17.024471
-13,98,17.024471
-12,95,17.024734
-12,96,17.02526
-12,97,17.02
-12,98,17.02
-11,95,17.02
-11,96,17.02
-11,97,17.02
-11,98,17.02
-10,95,17.02
-10,96,17.02
-10,97,17.02
-10,98,17.02
-9,95,17.02
-9,96,17.02
-9,97,17.02
-9,98,17.02
-8,95,17.02
-8,96,17.02
-8,97,17.02
-8,98,17.02
-7,95,17.02
-7,96,17.02
-7,97,17.02
-7,98,17.02
-6,95,17.02
-6,96,17.02
-6,97,17.02
-6,98,17.02
-5,95,17.02
-5,96,17.019737
-5,97,17.02
-5,98,17.020263
-4,95,17.02
-4,96,17.02
-4,97,17.020263
-4,98,17.020263
-3,95,17.02
-3,96,17.021578
-3,97,17.020789
-3,98,3.872367
-2,95,3.909187
-2,96,17.019737
-2,97,3.891829
-2,98,3.876312
-1,95,3.8707890000000003
-1,96,3.89367
-1,97,3.872893
-1,98,3.984405
0,95,3.878942
0,96,3.871315
0,97,17.019737
0,98,3.8778900000000003
1,95,3.87
1,96,3.871315
1,97,3.871052
1,98,3.8765750000000003
2,95,3.875786
2,96,3.876049
2,97,3.8768380000000002
2,98,3.876312
3,95,3.876049
3,96,17.02
3,97,3.871052
3,98,3.908661
4,95,3.9268080000000003
4,96,3.871052
4,97,3.881046
4,98,17.02
5,95,3.8765750000000003
5,96,3.872893
5,97,3.901034
5,98,3.904453
6,95,3.872893
6,96,17.020263
6,97,3.879731
6,98,3.873682
7,95,3.872893
7,96,3.8755230000000003
7,97,3.879994
7,98,17.019737
8,95,3.8778900000000003
8,96,3.8765750000000003
8,97,3.877101
8,98,3.872367
9,95,3.878153
9,96,3.878679
9,97,3.879994
9,98,17.02
10,95,3.876312
10,96,17.02
10,97,3.881309
10,98,17.020789
11,95,3.8768380000000002
11,96,17.017107
11,97,17.02
11,98,17.02
12,95,3.872893
12,96,3.952582
13,95,3.879994
13,96,3.903927
14,95,3.87263
14,96,17.02
15,95,17.019474
16,95,17.02
21,91,17.02
20,91,17.021841
19,91,3.874471
19,92,3.8970890000000002
18,91,3.875786
18,92,17.021052
18,93,3.949163
17,91,17.019737
17,92,3.871578
17,93,17.019737
17,94,17.02
16,91,17.02
16,92,3.878153
16,93,17.029204999999997
16,94,17.019737
15,91,17.019211
15,92,3.876312
15,93,3.882098
15,94,3.87
14,91,17.02
14,92,3.8731560000000003
14,93,3.882098
14,94,3.877627
13,91,3.877627
13,92,3.876312
13,93,3.879994
13,94,3.874997
12,91,3.882887
12,92,3.895248
12,93,3.878153
12,94,17.02
11,91,3.875786
11,92,17.020263
11,93,3.879468
11,94,3.877364
10,91,3.873945
10,92,17.00422
10,93,3.8826240000000003
10,94,3.871052
