X,Y,Value
4,101,17.02
3,101,17.02
2,101,17.02
1,101,3.88052
0,101,3.91471
0,102,4.22505
-1,101,3.8963
-1,102,17.02
-2,101,17.02
-2,102,17.02
-3,101,17.02
-3,102,17.02
-4,101,17.02
-4,102,3.98572
-5,101,17.02
-5,102,17.02
-6,101,17.02
-6,102,17.02
-7,101,3.88052
-7,102,17.02
-8,101,3.88578
-8,102,17.02
-9,101,17.02
-9,102,17.02
-10,101,17.02
-10,102,17.02
-11,101,17.02
-12,101,17.02
-13,101,17.02
-29,93,17.02
-28,93,17.02
-28,94,17.02
-27,93,17.02
-27,94,3.8963
-26,93,3.88578
-26,94,17.02
-26,95,17.02
-25,93,3.88052
-25,94,3.88052
-25,95,17.02
-25,96,17.02
-24,93,3.88315
-24,94,17.02
-24,95,3.90945
-24,96,3.98046
-23,93,3.88578
-23,94,3.8778900000000003
-23,95,3.88315
-23,96,3.9041900000000003
-23,97,17.02
-22,93,3.87526
-22,94,4.0015
-22,95,17.02
-22,96,4.0804
-22,97,3.9173400000000003
-21,93,3.87526
-21,94,3.92786
-21,95,3.91471
-21,96,17.02
-21,97,17.02
-21,98,17.02
-20,93,3.87263
-20,94,3.9041900000000003
-20,95,3.88052
-20,96,3.8778900000000003
-20,97,3.90156
-20,98,17.02
-19,93,3.8778900000000003
-19,94,3.87526
-19,95,3.8778900000000003
-19,96,17.02
-19,97,17.02
-19,98,17.02
-19,99,17.02
-18,93,3.87526
-18,94,3.89367
-18,95,3.88315
-18,96,17.02
-18,97,3.88052
-18,98,17.02
-17,93,3.87263
-17,94,3.9752
-17,95,3.87526
-17,96,3.87526
-17,97,3.88052
-17,98,17.02
-16,93,3.88052
-16,94,17.02
-16,95,3.87526
-16,96,3.87526
-16,97,3.88052
-16,98,17.02
-15,93,3.88052
-15,94,3.8778900000000003
-15,95,3.88052
-15,96,3.8778900000000003
-15,97,3.90682
-15,98,17.02
-14,93,3.87263
-14,94,3.88052
-14,95,3.88315
-14,96,3.88052
-14,97,3.87526
-14,98,17.02
-14,99,17.02
-13,93,3.88052
-13,94,3.88052
-13,95,3.88052
-13,96,17.02
-13,97,17.02
-13,98,17.02
-13,99,17.02
-13,100,17.02
-12,93,3.87263
-12,94,3.8778900000000003
-12,95,3.88052
-12,96,3.88315
-12,97,3.87263
-12,98,3.88052
-12,99,3.88315
-12,100,17.02
-11,93,3.87526
-11,94,17.02
-11,95,3.88841
-11,96,3.87526
-11,97,4.09618
-11,98,17.02
-11,99,17.02
-11,100,4.03569
-10,93,3.87263
-10,94,3.88052
-10,95,3.87263
-10,96,3.87526
-10,97,3.88052
-10,98,3.89367
-10,99,17.02
-10,100,3.87263
-9,93,3.8778900000000003
-9,94,3.91208
-9,95,3.88315
-9,96,3.88315
-9,97,17.02
-9,98,17.02
-9,99,17.02
-9,100,17.02
-8,93,3.87263
-8,94,3.8778900000000003
-8,95,3.87526
-8,96,3.87526
-8,97,17.02
-8,98,3.89367
-8,99,3.8778900000000003
-8,100,3.87526
-7,93,3.87526
-7,94,3.8778900000000003
-7,95,3.88841
-7,96,3.88052
-7,97,3.87526
-7,98,3.88578
-7,99,3.87263
-7,100,3.8963
-6,93,3.8778900000000003
-6,94,3.94101
-6,95,3.87526
-6,96,3.8778900000000003
-6,97,17.02
-6,98,3.88578
-6,99,17.02
-6,100,17.02
-5,93,3.88578
-5,94,3.89893
-5,95,3.8778900000000003
-5,96,3.88315
-5,97,3.93838
-5,98,17.02
-5,99,17.02
-5,100,17.02
-4,93,17.02
-4,94,3.88052
-4,95,17.02
-4,96,3.8778900000000003
-4,97,3.88052
-4,98,3.8778900000000003
-4,99,3.96468
-4,100,17.02
-3,93,17.02
-3,94,3.8778900000000003
-3,95,3.92523
-3,96,3.87263
-3,97,3.8778900000000003
-3,98,3.92786
-3,99,3.9699400000000002
-3,100,17.02
-2,93,3.87526
-2,94,3.8778900000000003
-2,95,3.88052
-2,96,3.89893
-2,97,3.88578
-2,98,17.02
-2,99,3.87263
