X,Y,Value
8,99,3.8778900000000003
7,99,3.878942
7,100,3.8792050000000002
6,99,3.878416
6,100,3.878942
5,99,3.8778900000000003
5,100,3.8802570000000003
4,99,3.878942
4,100,3.88052
4,101,3.8826240000000003
3,99,3.878416
3,100,3.879731
3,101,3.881835
2,99,3.886569
2,100,3.886569
2,101,4.227943
1,99,3.871578
1,100,3.897352
1,101,3.95942
0,99,3.87526
0,100,3.8742080000000003
0,101,17.004746
0,102,17.019737
-1,99,3.872104
-1,100,3.985194
-1,101,5.669446000000001
-1,102,16.977393999999997
-2,99,3.9520560000000002
-2,100,7.205892
-2,101,17.02
-2,102,17.008691
-3,99,3.8802570000000003
-3,100,3.8718410000000003
-3,101,3.955738
-3,102,16.986862
-4,99,3.889462
-4,100,3.876049
-4,101,3.890777
-4,102,17.016844
-5,99,3.924704
-5,100,3.89893
-5,101,3.899719
-5,102,17.02
-6,99,3.912869
-6,100,3.9197070000000003
-6,101,3.8802570000000003
-6,102,17.011058
-7,99,4.853357
-7,100,5.343326
-7,101,4.0362160000000005
-7,102,17.015792
-8,99,4.495677
-8,100,7.375001
-8,101,3.881046
-8,102,17.008691
-9,99,3.87263
-9,100,3.8718410000000003
-9,101,3.874471
-9,102,17.000275
-10,99,3.8718410000000003
-10,100,3.879994
-10,101,3.870526
-10,102,17.019737
-11,99,3.878416
-11,100,3.872104
-11,101,3.8802570000000003
-11,102,17.02
-12,99,3.876049
-12,100,3.988613
-12,101,17.009217
-13,99,3.894196
-13,100,8.442781
-19,99,17.002642
-20,99,17.02
-26,95,17.009217
-25,95,6.702773
-25,96,17.02
-24,95,4.007023
-24,96,3.8873580000000003
-23,95,3.8768380000000002
-23,96,3.911028
-23,97,3.973096
-22,95,3.871052
-22,96,4.448074
-22,97,13.152584999999998
-22,98,17.02
-21,95,3.877627
-21,96,3.87263
-21,97,5.179477
-21,98,4.219264
-20,95,3.877627
-20,96,3.879731
-20,97,3.876049
-20,98,3.8765750000000003
-19,95,3.878153
-19,96,3.88052
-19,97,3.994399
-19,98,4.313681
-18,95,3.878942
-18,96,3.881046
-18,97,16.982128
-18,98,17.018947999999998
-17,95,3.8731560000000003
