X,Y,Value
10,83,3.87
9,83,3.87
8,83,16.35461
7,83,16.24678
6,83,16.28097
5,83,29.09433
5,84,3.87
4,83,41.08975999999999
4,84,3.87
3,83,41.152879999999996
3,84,10.110990000000001
2,83,41.20285
2,84,10.08206
1,83,41.21337
1,84,16.15736
0,83,41.27912
0,84,16.21259
-1,83,41.31068
-1,84,10.03735
-2,83,41.308049999999994
-2,84,16.015340000000002
-3,83,41.31594
-3,84,10.04787
-4,83,41.33434999999999
-4,84,82.7437
-5,83,41.34487
-5,84,82.73055
-6,83,41.44743999999999
-6,84,16.225740000000002
-7,83,41.35012999999999
-7,84,16.15736
-8,83,41.313309999999994
-8,84,15.94433
-9,83,41.287009999999995
-9,84,16.03638
-10,83,41.260709999999996
-10,84,16.0995
-11,83,35.00393999999999
-11,84,16.131059999999998
-12,83,41.163399999999996
-12,84,16.19681
-13,83,41.076609999999995
-13,84,10.0505
-14,83,10.008420000000001
-14,84,3.87
-15,83,10.01894
-15,84,3.87
-16,83,9.97423
-17,83,9.56132
-34,79,10.08469
-33,79,10.181999999999999
-32,79,41.852459999999994
-32,80,10.14518
-31,79,41.84194
-31,80,10.110990000000001
-30,79,41.91032
-30,80,16.40195
-29,79,41.778819999999996
-29,80,41.479
-29,81,3.87
-28,79,41.744629999999994
-28,80,16.36513
-28,81,3.87
-27,79,41.61313
-27,80,9.95845
-27,81,9.648109999999999
-26,79,41.323829999999994
-26,80,9.77961
-26,81,3.87
-25,79,40.99771
-25,80,9.88481
-24,79,40.72682
-23,79,40.624249999999996
-22,79,40.82675999999999
-22,80,17.28563
-21,79,41.01875
-21,80,33.59689
-20,79,41.189699999999995
-20,80,39.75898
-20,81,3.87
-19,79,41.55527
-19,80,41.10554
-19,81,33.83359
-18,79,41.62365
-18,80,41.45533
-18,81,40.98719
-18,82,3.87
-17,79,41.62365
-17,80,41.54474999999999
-17,81,41.384319999999995
-17,82,9.997900000000001
-16,79,41.697289999999995
-16,80,41.64469
-16,81,41.56579
-16,82,16.35198
-15,79,41.62365
-15,80,41.55264
-15,81,41.476369999999996
-15,82,16.35198
-14,79,41.72622
-14,80,41.66047
-14,81,41.568419999999996
-14,82,41.410619999999994
-13,79,41.69465999999999
-13,80,41.62365
-13,81,41.502669999999995
-13,82,41.368539999999996
-12,79,41.70517999999999
-12,80,41.636799999999994
-12,81,41.55000999999999
-12,82,41.43955
-11,79,41.72622
-11,80,41.665729999999996
-11,81,41.584199999999996
-11,82,41.465849999999996
-10,79,41.742
-10,80,41.686769999999996
-10,81,41.60787
-10,82,41.507929999999995
-9,79,41.73674
-9,80,41.702549999999995
-9,81,41.61839
-9,82,41.5053
-8,79,41.76040999999999
-8,80,41.723589999999994
-8,81,41.642059999999994
-8,82,41.54474999999999
-7,79,41.76040999999999
-7,80,41.70517999999999
-7,81,41.62365
-7,82,41.54212
-6,79,41.75514999999999
-6,80,41.69992
-6,81,41.62891
-6,82,41.55000999999999
-5,79,41.73148
-5,80,41.69992
-5,81,41.63417
-5,82,41.55000999999999
