X,Y,Value
9,83,3.87
8,83,10.0242
7,83,16.29675
6,83,16.26256
5,83,16.37565
4,83,41.31857
3,83,41.476369999999996
3,84,3.87
2,83,35.41948
2,84,10.26353
1,83,41.97080999999999
1,84,10.218820000000001
0,83,42.128609999999995
0,84,10.218820000000001
-1,83,41.96818
-1,84,16.42562
-2,83,41.82879
-2,84,10.181999999999999
-3,83,41.67887999999999
-3,84,16.36513
-4,83,41.57630999999999
-4,84,16.24678
-5,83,41.539489999999994
-5,84,16.29412
-6,83,41.48425999999999
-6,84,16.25993
-7,83,41.42903
-7,84,16.228369999999998
-8,83,35.222229999999996
-8,84,10.00316
-9,83,41.329089999999994
-9,84,16.17051
-10,83,41.31068
-10,84,16.12317
-11,83,41.281749999999995
-11,84,16.21259
-12,83,41.26333999999999
-12,84,10.06891
-13,83,10.04524
-13,84,9.968969999999999
-14,83,10.02157
-14,84,3.87
-15,83,10.03998
-15,84,3.87
-16,83,9.97686
-17,83,9.85325
-18,83,9.74016
-34,79,3.87
-33,79,3.87
-32,79,34.99868
-32,80,3.87
-31,79,41.363279999999996
-31,80,3.87
-30,79,41.54474999999999
-30,80,10.07943
-29,79,41.5316
-29,80,41.36065
-29,81,3.87
-28,79,41.72622
-28,80,41.00823
-28,81,3.87
-27,79,41.86297999999999
-27,80,22.31682
-27,81,3.87
-26,79,41.60260999999999
-26,80,9.81117
-26,81,3.87
-25,79,35.18015
-25,80,15.891729999999999
-24,79,41.394839999999995
-24,80,33.612669999999994
-23,79,41.41850999999999
-23,80,39.90363
-22,79,41.352759999999996
-22,80,40.30602
-21,79,41.42377
-21,80,40.574279999999995
-21,81,3.87
-20,79,41.58157
-20,80,41.08975999999999
-20,81,15.87595
-19,79,41.76567
-19,80,41.5053
-19,81,34.919779999999996
-19,82,9.7612
-18,79,41.81827
-18,80,41.742
-18,81,41.465849999999996
-18,82,9.900590000000001
-17,79,41.80249
-17,80,41.76567
-17,81,41.63417
-17,82,10.03998
-16,79,41.79722999999999
-16,80,41.75252
-16,81,41.71044
-16,82,10.10836
-15,79,41.876129999999996
-15,80,41.831419999999994
-15,81,41.79197
-15,82,10.13203
-14,79,41.82879
-14,80,41.77619
-14,81,35.40107
-14,82,16.41247
-13,79,41.91557999999999
-13,80,41.87087
-13,81,41.805119999999995
-13,82,35.36951
-12,79,41.928729999999995
-12,80,41.902429999999995
-12,81,41.84194
-12,82,41.7157
-11,79,41.836679999999994
-11,80,41.799859999999995
-11,81,41.734109999999994
-11,82,41.62365
-10,79,41.85509
-10,80,41.820899999999995
-10,81,41.77092999999999
-10,82,41.65257999999999
-9,79,41.87875999999999
-9,80,41.83931
-9,81,41.784079999999996
-9,82,41.67362
-8,79,41.90505999999999
-8,80,41.87087
-8,81,41.815639999999995
-8,82,41.707809999999995
-7,79,41.93662
-7,80,41.907689999999995
-7,81,41.84457
-7,82,41.73674
-6,79,41.949769999999994
-6,80,41.9261
-6,81,41.886649999999996
-5,79,41.983959999999996
-5,80,41.97080999999999
-5,81,41.93662
-5,82,41.86035
-4,79,35.76927
-4,80,42.031299999999995
-4,81,41.99710999999999
-4,82,41.90505999999999
-3,79,42.08389999999999
-3,80,42.08389999999999
-3,81,42.06285999999999
-3,82,41.98659
-2,79,42.128609999999995
-2,80,42.139129999999994
-2,81,42.14176
-1,79,42.17858
-1,80,42.21802999999999
-1,81,42.26537
0,79,42.204879999999996
0,80,42.26274
0,81,42.32059999999999
0,82,42.333749999999995
1,79,42.19172999999999
1,80,42.231179999999995
1,81,42.28904
1,82,42.28641
2,79,42.15227999999999
2,80,42.15227999999999
2,81,42.17594999999999
2,82,42.12072
3,79,42.09967999999999
3,80,42.09967999999999
3,81,42.06023
3,82,41.96029
4,79,42.015519999999995
4,80,41.989219999999996
4,81,41.949769999999994
4,82,41.79197
5,79,41.983959999999996
5,80,41.955029999999994
5,81,41.86297999999999
5,82,41.65257999999999
6,79,41.907689999999995
6,80,41.84983
6,81,41.76304
6,82,41.471109999999996
7,79,41.88402
7,80,41.81827
7,81,41.686769999999996
7,82,41.323829999999994
8,79,41.815639999999995
8,80,41.74989
8,81,41.594719999999995
8,82,41.118689999999994
9,79,41.88927999999999
9,80,41.820899999999995
9,81,41.62891
9,82,40.963519999999995
10,79,41.76567
