X,Y,Value
0,103,3.8731560000000003
-1,103,3.8707890000000003
-2,103,3.871315
-3,103,3.871052
-4,103,3.8707890000000003
-5,103,3.8707890000000003
-6,103,3.871315
-7,103,3.8707890000000003
-8,103,3.871315
-9,103,3.871052
-10,103,3.870526
-11,103,3.870263
-20,99,3.870263
-19,99,3.872104
-18,99,3.916288
-18,100,3.870263
-17,99,3.873945
-17,100,3.870263
-16,99,3.877101
-16,100,3.871315
-16,101,17.018159
-15,99,4.023855
-15,100,9.155248
-15,101,17.019474
-14,99,3.877627
-14,100,3.8731560000000003
-14,101,17.020263
-14,102,17.02
-13,99,3.881309
-13,100,3.871315
-13,101,3.88315
-13,102,17.02
-12,99,3.877101
-12,100,3.874734
-12,101,3.8768380000000002
-12,102,17.019737
-11,99,3.877627
-11,100,3.873419
-11,101,17.019474
-11,102,3.881835
-10,99,3.8765750000000003
-10,100,3.872104
-10,101,3.874997
-10,102,3.8792050000000002
-9,99,3.8765750000000003
-9,100,17.019474
-9,101,3.875786
-9,102,3.878679
-8,99,3.877101
-8,100,3.8731560000000003
-8,101,3.87526
-8,102,4.039898
-7,99,3.8768380000000002
-7,100,3.87263
-7,101,3.875786
-7,102,3.876049
-6,99,3.8765750000000003
-6,100,3.872893
-6,101,17.02
-6,102,3.88052
-5,99,3.876312
-5,100,17.020263
-5,101,3.8755230000000003
-5,102,17.02
-4,99,3.8755230000000003
-4,100,3.873419
-4,101,17.019737
-4,102,3.8778900000000003
-3,99,3.8755230000000003
-3,100,3.872367
-3,101,3.874734
-3,102,3.878679
-2,99,3.879468
-2,100,3.873419
-2,101,3.874997
-2,102,3.878679
-1,99,3.879468
-1,100,3.879731
-1,101,3.884728
-1,102,3.904716
0,99,3.877101
0,100,17.019737
0,101,3.8802570000000003
0,102,17.019737
1,99,3.8765750000000003
1,100,3.873419
1,101,17.02
1,102,3.8792050000000002
2,99,3.877364
2,100,3.872893
2,101,17.01474
2,102,16.989492000000002
3,99,3.8765750000000003
3,100,3.886569
3,101,17.023682
3,102,17.02
4,99,17.020789
4,100,3.872893
4,101,3.8802570000000003
5,99,3.877101
5,100,3.872893
5,101,17.020263
6,99,3.877101
6,100,3.909187
6,101,17.02
7,99,3.878679
7,100,17.02
8,99,3.884728
8,100,17.02
9,99,17.02
15,95,17.02
14,95,3.8873580000000003
13,95,3.8765750000000003
13,96,17.02
12,95,3.8768380000000002
