X,Y,Value
3,71,3.8910400000000003
2,71,3.8963
1,71,4.08566
0,71,9.8401
-1,71,10.10573
-2,71,10.08206
-3,71,10.05313
-4,71,10.0505
-5,71,10.02683
-6,71,10.03735
-7,71,10.0242
-8,71,10.01894
-9,71,10.03472
-10,71,3.8910400000000003
-11,71,10.005790000000001
-12,71,9.995270000000001
-27,67,3.89367
-26,67,41.00297
-25,67,41.113429999999994
-25,68,3.88841
-24,67,35.11177
-24,68,10.074169999999999
-23,67,41.45533
-23,68,41.076609999999995
-22,67,41.57105
-22,68,28.902340000000002
-22,69,3.8910400000000003
-21,67,41.578939999999996
-21,68,28.902340000000002
-21,69,10.03735
-20,67,41.57630999999999
-20,68,35.20382
-20,69,34.78301999999999
-19,67,41.55527
-19,68,41.52634
-19,69,34.725159999999995
-18,67,35.34321
-18,68,35.25905
-17,67,41.57630999999999
-16,67,35.25116
-15,67,41.59209
-15,68,29.025949999999998
-14,67,41.06872
-14,68,41.55000999999999
-13,67,41.57630999999999
-13,68,41.54738
-13,69,41.492149999999995
-13,70,34.125519999999995
-12,67,41.621019999999994
-12,68,41.55264
-12,69,41.47374
-12,70,41.30542
-11,67,41.578939999999996
-11,68,41.56579
-11,69,35.21171
-11,70,41.215999999999994
-10,67,41.589459999999995
-10,68,41.57105
-10,69,35.33795
-10,70,16.43351
-9,67,41.534229999999994
-9,68,41.523709999999994
-9,69,41.45533
-9,70,22.57982
-8,67,35.3248
-8,68,41.54212
-8,69,35.2196
-8,70,16.39932
-7,67,35.29587
-7,68,35.27483
-7,69,35.23275
-7,70,16.38091
-6,67,41.534229999999994
-6,68,41.54738
-6,69,29.01806
-6,70,16.3888
-5,67,41.568419999999996
-5,68,41.502669999999995
-5,69,41.426399999999994
-5,70,16.38091
-4,67,41.52634
-4,68,35.2196
-4,69,28.96546
-4,70,16.3099
-3,67,41.5316
-3,68,41.523709999999994
-3,70,16.37039
-2,67,41.58682999999999
-2,68,41.57630999999999
-2,69,41.507929999999995
-2,70,16.38354
-1,67,41.59209
-1,68,35.319539999999996
-1,69,41.479
-1,70,16.373019999999997
0,67,41.52634
0,68,41.52108
0,69,35.16963
0,70,15.925919999999998
1,67,41.54212
1,68,35.28272
1,69,35.18278
1,70,26.953509999999998
2,67,41.479
2,68,41.44481
2,69,28.87078
2,70,28.67616
3,67,35.20908
3,68,28.93653
3,69,41.25282
3,70,32.60538
4,67,35.227489999999996
4,68,41.47374
4,69,41.30542
4,70,32.89731
5,67,35.22486
5,68,41.415879999999994
5,69,35.069689999999994
5,70,16.249409999999997
6,67,41.563159999999996
6,68,35.25116
6,69,41.27385999999999
6,70,16.28097
7,67,41.486889999999995
7,68,41.421139999999994
7,69,34.89874
7,70,10.02157
8,67,35.2196
8,68,41.368539999999996
8,69,34.817209999999996
8,70,3.91471
9,67,41.287009999999995
9,68,41.30542
9,69,34.61733
10,67,41.492149999999995
10,68,41.28438
10,69,16.23889
11,67,41.43429
11,68,28.6972
11,69,9.997900000000001
12,67,41.36590999999999
12,68,40.903029999999994
12,69,3.89367
13,67,28.8813
13,68,22.37205
14,67,41.20285
14,68,16.11265
15,67,40.92932999999999
16,67,16.144209999999998
24,63,32.44232
23,63,41.66835999999999
23,64,10.168849999999999
22,63,41.97607
22,64,19.75257
21,63,41.98659
21,64,41.78144999999999
21,65,11.01308
20,63,41.8998
20,64,41.64469
20,65,41.35538999999999
19,63,41.80249
19,64,41.739369999999994
19,65,41.42377
19,66,10.100470000000001
18,63,41.72095999999999
18,64,41.63943
18,65,35.216969999999996
18,66,23.86852
17,63,35.432629999999996
17,64,41.58157
17,65,41.539489999999994
17,66,28.77347
16,63,41.642059999999994
16,64,41.62365
16,65,41.56579
16,66,35.10914
15,63,41.621019999999994
15,64,35.3248
15,65,41.57630999999999
15,66,41.352759999999996
14,63,41.578939999999996
14,64,41.59209
14,65,35.30113
14,66,41.24755999999999
13,63,41.59209
13,64,41.57630999999999
13,65,34.92767
13,66,41.54474999999999
12,63,41.584199999999996
12,64,41.573679999999996
12,65,35.11177
12,66,41.563159999999996
11,63,35.37477
11,64,41.621019999999994
11,65,41.59735
11,66,41.486889999999995
10,63,41.59735
10,64,41.568419999999996
10,65,41.563159999999996
10,66,41.58157
9,63,41.58157
9,64,35.27746
9,65,41.56052999999999
9,66,35.39318
8,63,41.62365
8,64,41.60787
8,65,41.59209
8,66,41.57630999999999
7,63,41.57630999999999
7,64,41.573679999999996
7,65,35.21171
7,66,41.55264
6,63,41.58682999999999
6,64,41.573679999999996
6,65,41.465849999999996
6,66,41.568419999999996
5,63,41.5579
5,64,41.563159999999996
5,65,41.53686
5,66,35.10914
4,63,41.573679999999996
4,64,35.290609999999994
4,65,35.28798
4,66,41.53686
3,63,41.56052999999999
3,64,41.56579
3,65,35.28272
3,66,29.023320000000002
2,63,41.578939999999996
2,64,35.30376
2,65,41.573679999999996
2,66,41.578939999999996
1,63,35.28272
1,64,41.57105
1,65,41.568419999999996
1,66,41.58682999999999
0,63,41.57630999999999
0,64,41.57630999999999
0,65,35.28798
0,66,35.37477
-1,63,41.563159999999996
-1,64,41.568419999999996
-1,65,41.57630999999999
-1,66,41.610499999999995
-2,63,41.573679999999996
-2,64,41.578939999999996
-2,65,41.57105
-2,66,41.584199999999996
-3,63,41.5579
-3,64,41.5579
-3,65,41.55264
-3,66,41.573679999999996
-4,63,41.57105
-4,64,41.56579
-4,65,41.568419999999996
-4,66,35.30902
-5,63,35.28272
-5,64,41.54212
-5,65,41.44743999999999
-5,66,41.57105
-6,63,41.568419999999996
-6,64,41.563159999999996
-6,65,41.563159999999996
-6,66,41.58157
-7,63,41.53686
-7,64,41.55000999999999
-7,65,41.54212
-7,66,41.563159999999996
-8,63,41.5579
-8,64,41.56052999999999
-8,65,38.95946
-8,66,35.30638999999999
-9,63,41.610499999999995
-9,64,41.59735
-9,65,41.59735
-9,66,41.568419999999996
-10,63,41.55000999999999
-10,64,41.55264
-10,65,41.55000999999999
-10,66,41.578939999999996
-11,63,41.55000999999999
-11,64,41.5579
-11,65,41.5579
-11,66,41.61839
-12,63,41.53686
-12,64,35.280089999999994
-12,65,41.58682999999999
-12,66,41.60787
-13,63,41.589459999999995
-13,64,41.56052999999999
-13,65,35.227489999999996
-13,66,41.610499999999995
-14,63,41.58157
-14,64,41.610499999999995
-14,65,41.59209
-14,66,41.55000999999999
-15,63,29.05751
-15,64,41.626279999999994
-15,65,41.615759999999995
-15,66,35.40107
-16,63,41.60787
-16,64,41.61839
-16,65,29.0391
-16,66,41.61839
-17,63,41.60260999999999
-17,64,41.59209
-17,65,41.60260999999999
-17,66,41.58682999999999
-18,63,41.54212
-18,64,41.62365
-18,65,41.61313
-18,66,41.589459999999995
-19,63,41.57630999999999
-19,64,29.033839999999998
-19,65,41.57630999999999
-19,66,41.255449999999996
-20,63,41.539489999999994
-20,64,41.563159999999996
-20,65,41.573679999999996
-20,66,29.08118
-21,63,35.25116
-21,64,35.2459
-21,65,41.584199999999996
-21,66,41.62891
-22,63,35.19593
-22,64,41.45795999999999
-22,65,41.5316
-22,66,41.55000999999999
-23,63,41.43429
-23,64,41.42903
-23,65,41.492149999999995
-23,66,41.5316
-24,63,35.18278
-24,64,41.421139999999994
-24,65,41.465849999999996
-24,66,41.476369999999996
-25,63,41.352759999999996
-25,64,41.394839999999995
-25,65,41.42903
-25,66,41.384319999999995
-26,63,41.394839999999995
-26,64,41.38169
-26,65,41.41850999999999
-26,66,41.184439999999995
-27,63,41.421139999999994
-27,64,41.44481
-27,65,35.16437
-27,66,35.06443
-28,63,35.18541
-28,64,35.1933
-28,65,41.308049999999994
-28,66,34.79617
-29,63,41.415879999999994
-29,64,41.368539999999996
-29,65,41.22389
-29,66,3.92786
-30,63,41.39220999999999
-30,64,41.292269999999995
-30,65,41.0845
-31,63,41.42903
-31,64,41.281749999999995
-31,65,3.89893
-32,63,41.352759999999996
-32,64,41.01612
-33,63,35.09336
-33,64,3.9567900000000003
-34,63,28.80503
-35,63,3.89367
-41,59,9.95319
-40,59,42.19699
-40,60,3.88841
-39,59,42.1628
-39,60,41.73148
-38,59,42.03392999999999
-38,60,41.9261
-38,61,10.85002
-37,59,41.826159999999994
-37,60,41.74726
-37,61,29.112740000000002
-37,62,3.89893
-36,59,41.773559999999996
-36,60,41.697289999999995
-36,61,41.568419999999996
-36,62,28.93127
-35,59,41.71044
-35,60,41.63417
-35,61,41.589459999999995
-35,62,35.21433999999999
-34,59,41.61839
-34,60,41.64469
-34,61,41.563159999999996
-34,62,41.41850999999999
-33,59,29.044359999999998
-33,60,41.52108
-33,61,41.5579
-33,62,41.52897
-32,59,35.227489999999996
-32,60,35.188039999999994
-32,61,35.26957
-32,62,41.465849999999996
-31,59,41.49477999999999
-31,60,41.460589999999996
-31,61,41.492149999999995
-31,62,35.290609999999994
-30,59,41.479
-30,60,35.227489999999996
-30,61,41.45533
-30,62,41.502669999999995
-29,59,41.04242
-29,60,41.44743999999999
-29,61,35.21433999999999
-29,62,41.502669999999995
-28,59,41.43955
-28,60,41.44481
-28,61,41.431659999999994
-28,62,41.394839999999995
-27,59,35.21171
-27,60,41.460589999999996
-27,61,41.431659999999994
-27,62,41.46322
-26,59,41.45269999999999
-26,60,41.158139999999996
-26,61,41.43955
-26,62,35.222229999999996
-25,59,41.465849999999996
-25,60,35.2196
-25,61,41.44743999999999
-25,62,41.45007
-24,59,41.460589999999996
-24,60,41.44481
-24,61,41.44217999999999
-24,62,41.45795999999999
-23,59,41.479
-23,60,41.486889999999995
-23,61,41.46847999999999
-23,62,41.48952
-22,59,41.46847999999999
-22,60,41.45795999999999
-22,61,35.222229999999996
-22,62,41.497409999999995
-21,59,41.476369999999996
-21,60,41.49477999999999
-21,61,41.48425999999999
-21,62,41.54212
-20,59,41.5053
-20,60,41.523709999999994
-20,61,41.523709999999994
-20,62,40.31916999999999
-19,59,41.518449999999994
-19,60,41.479
-19,61,41.54474999999999
-19,62,41.573679999999996
-18,59,41.513189999999994
-18,60,41.53686
-18,61,41.55000999999999
-18,62,35.28798
-17,59,41.523709999999994
-17,60,41.5316
-17,61,41.57105
-17,62,41.626279999999994
-16,59,41.52897
-16,60,41.563159999999996
-16,61,41.584199999999996
-16,62,35.335319999999996
-15,59,41.40273
-15,60,41.5579
-15,61,41.573679999999996
-15,62,41.626279999999994
-14,59,41.539489999999994
-14,60,41.573679999999996
-14,61,41.59735
-14,62,41.62365
-13,59,35.28272
-13,60,41.573679999999996
-13,61,41.57105
-13,62,41.61313
-12,59,41.563159999999996
-12,60,41.56052999999999
-12,61,41.563159999999996
-12,62,41.59735
-11,59,41.563159999999996
-11,60,41.56052999999999
-11,61,41.573679999999996
-11,62,41.599979999999995
-10,59,41.58157
-10,60,41.589459999999995
-10,61,41.578939999999996
-10,62,41.61313
-9,59,41.568419999999996
-9,60,41.589459999999995
-9,61,41.578939999999996
-9,62,41.60260999999999
-8,59,41.58157
-8,60,41.58682999999999
-8,61,41.584199999999996
-8,62,41.61313
-7,59,41.563159999999996
-7,60,41.56579
-7,61,41.568419999999996
-7,62,41.59209
-6,59,41.56052999999999
-6,60,41.563159999999996
-6,61,41.57630999999999
-6,62,41.60260999999999
-5,59,41.568419999999996
-5,60,38.66752999999999
-5,61,41.573679999999996
-5,62,41.584199999999996
-4,59,41.55527
-4,60,41.55264
-4,61,41.58682999999999
-4,62,41.584199999999996
-3,59,41.573679999999996
-3,60,41.55264
-3,61,41.573679999999996
-3,62,41.599979999999995
-2,59,41.58682999999999
-2,60,41.60260999999999
-2,61,41.60260999999999
-2,62,41.59735
-1,59,41.573679999999996
-1,60,41.58157
-1,61,41.58682999999999
-1,62,41.60787
0,59,41.584199999999996
0,60,41.5316
0,61,41.59735
0,62,41.626279999999994
1,59,41.594719999999995
1,60,41.605239999999995
1,61,41.599979999999995
1,62,35.3248
2,59,35.31691
2,60,41.610499999999995
2,61,41.626279999999994
2,62,41.62365
3,59,41.60260999999999
