X,Y,Value
11,299,3.8839390000000003
10,299,3.875786
9,299,3.88841
8,299,4.715019
7,299,3.890251
6,299,3.890251
5,299,3.8863060000000003
5,300,17.022104
4,299,17.021841
4,300,17.02263
3,299,3.894985
3,300,3.874734
2,299,3.892092
2,300,3.871578
1,299,3.877627
1,300,3.874734
0,299,3.892881
0,300,3.876312
-1,299,3.895511
-1,300,17.02263
-2,299,3.891566
-2,300,3.878153
-3,299,3.8899880000000002
-3,300,3.875786
-4,299,3.889462
-4,300,3.8742080000000003
-5,299,3.891829
-5,300,17.022104
-6,299,3.879731
-6,300,3.871052
-7,299,3.89367
-7,300,3.886832
-8,299,3.881835
-8,300,3.8815720000000002
-8,301,17.022893
-9,299,3.8768380000000002
-9,300,17.022104
-9,301,17.023156
-10,299,3.8899880000000002
-10,300,17.022893
-11,299,3.919181
-11,300,17.02263
-12,299,3.917077
-12,300,17.021841
-13,299,3.897615
-14,299,17.022367
-15,299,17.022893
-18,299,17.022367
-26,295,17.022367
-25,295,3.907609
-24,295,3.884465
-24,296,17.021841
-24,297,17.022893
-23,295,17.021578
-23,296,17.022367
-23,297,17.023156
-22,295,3.87526
-22,296,3.87263
-22,297,17.023156
-21,295,3.900771
-21,296,3.87526
-21,297,17.023682
-21,298,17.023156
-20,295,3.883413
-20,296,3.8768380000000002
-20,297,9.467165999999999
-19,295,3.888147
-19,296,3.873682
-19,297,3.945744
-18,295,3.878679
-18,296,3.8778900000000003
-18,297,3.873419
-18,298,17.023418999999997
-17,295,3.880783
-17,296,3.8765750000000003
-17,297,3.874997
-17,298,3.873945
-16,295,3.884202
-16,296,3.8768380000000002
-16,297,17.02263
-16,298,3.8731560000000003
-15,295,3.8826240000000003
-15,296,3.877364
-15,297,3.878153
-15,298,3.871578
-14,295,3.8815720000000002
-14,296,3.878153
-14,297,3.874997
-14,298,3.871315
-13,295,3.8765750000000003
-13,296,3.878153
-13,297,3.87526
-13,298,3.87263
-12,295,3.8849910000000003
-12,296,3.874997
-12,297,3.91208
-12,298,3.870526
-11,295,3.8826240000000003
-11,296,3.876049
-11,297,3.8742080000000003
-11,298,3.871315
-10,295,3.88315
-10,296,3.876049
-10,297,3.875786
-10,298,3.873682
-9,295,3.889462
-9,296,3.878153
-9,297,3.878679
-9,298,3.8707890000000003
-8,295,3.88841
-8,296,3.878942
-8,297,3.879468
-8,298,3.873419
-7,295,3.884728
-7,296,3.877101
-7,297,3.87526
-7,298,3.8792050000000002
-6,295,3.884465
-6,296,3.874997
-6,297,3.8768380000000002
-6,298,3.8707890000000003
-5,295,3.8839390000000003
-5,296,3.876049
-5,297,3.875786
-5,298,3.871052
-4,295,3.8815720000000002
-4,296,3.879994
-4,297,3.875786
-4,298,3.870526
-3,295,3.890777
-3,296,3.874997
-3,297,3.8778900000000003
-3,298,3.870263
-2,295,3.884465
-2,296,3.877101
-2,297,3.874734
-2,298,3.870263
-1,295,3.879731
-1,296,3.875786
-1,297,3.871052
-1,298,3.871578
0,295,3.873945
0,296,3.872367
0,297,3.871315
0,298,3.873945
1,295,3.887884
1,296,3.878942
1,297,3.8792050000000002
1,298,3.874471
2,295,3.8839390000000003
2,296,3.875786
2,297,17.02263
2,298,3.872893
3,295,3.884202
3,296,3.882098
3,297,3.8849910000000003
3,298,3.8718410000000003
4,295,3.88052
4,296,3.871315
4,297,17.023156
4,298,17.023156
5,295,3.8849910000000003
5,296,3.873419
5,297,3.874471
5,298,3.878416
6,295,3.8886730000000003
6,296,3.8765750000000003
6,297,3.876312
6,298,3.870526
7,295,3.8826240000000003
7,296,3.877101
7,297,3.873419
7,298,3.871052
8,295,3.879731
8,296,3.874997
8,297,3.873682
8,298,3.871578
9,295,3.873945
9,296,3.872104
9,297,3.873419
9,298,17.023945
10,295,3.8873580000000003
10,296,3.878679
10,297,3.878153
10,298,3.873419
11,295,3.884202
11,296,3.8778900000000003
11,297,3.87526
11,298,3.8707890000000003
12,295,3.88052
12,296,3.874734
12,297,3.8718410000000003
12,298,3.874997
13,295,3.88841
13,296,3.877364
13,297,3.882361
13,298,17.023945
14,295,3.8792050000000002
14,296,3.877627
14,297,3.873682
14,298,17.022893
15,295,3.882098
15,296,3.874997
15,297,3.872367
15,298,17.023418999999997
16,295,17.019474
16,296,3.873682
16,297,17.022893
17,295,3.88315
17,296,3.881835
17,297,17.02263
18,295,3.886043
18,296,3.8731560000000003
18,297,17.022893
19,295,3.888147
19,296,17.02263
20,295,17.021841
20,296,17.02263
21,295,17.021841
21,296,17.021841
22,295,17.022104
23,295,17.022104
29,291,17.022367
28,291,3.919181
28,292,17.021841
27,291,3.878416
27,292,17.022104
27,293,17.02263
26,291,3.9065570000000003
26,292,3.872893
26,293,17.022893
25,291,3.883676
25,292,3.878153
25,293,17.02263
25,294,17.023156
24,291,3.887095
24,292,3.873945
24,293,3.8768380000000002
23,291,3.882361
23,292,3.87526
23,293,3.873419
23,294,17.023418999999997
22,291,3.905768
22,292,3.873419
22,293,3.872104
22,294,3.871578
21,291,3.885254
21,292,3.874997
21,293,3.874997
21,294,3.870263
20,291,3.884202
20,292,3.874734
20,293,3.873419
20,294,3.872104
19,291,3.883676
19,292,3.874734
19,293,3.8742080000000003
19,294,3.870263
18,291,3.8742080000000003
18,292,3.870263
18,293,3.921285
18,294,3.878416
17,291,3.911817
17,292,3.874997
17,293,3.873945
17,294,3.870263
16,291,3.884465
16,292,3.876049
16,293,3.874997
16,294,3.871578
15,291,3.878153
15,292,3.879468
15,293,17.02263
15,294,3.871052
14,291,3.908661
14,292,3.875786
14,293,3.874997
14,294,3.8731560000000003
13,291,3.8839390000000003
13,292,3.873945
13,293,3.874734
13,294,3.871052
12,291,3.880783
12,292,3.877101
12,293,3.873419
12,294,3.872104
11,291,3.88841
11,292,3.877627
11,293,3.876049
11,294,3.871578
10,291,3.8849910000000003
10,292,3.877101
10,293,3.873682
10,294,3.871315
9,291,3.884202
9,292,3.874734
9,293,3.873945
9,294,3.870263
8,291,3.88315
8,292,3.873419
8,293,3.873419
8,294,3.870526
7,291,3.889199
7,292,3.880783
7,293,3.881309
7,294,3.875786
6,291,3.8886730000000003
6,292,3.878153
6,293,3.8768380000000002
6,294,3.873682
5,291,17.021841
5,292,17.02263
5,293,3.875786
5,294,3.870526
4,291,3.884202
4,292,3.8765750000000003
4,293,3.873945
4,294,3.872104
3,291,3.8826240000000003
3,292,3.8765750000000003
3,293,3.872893
3,294,3.870526
2,291,3.882098
2,292,3.893933
2,293,3.870263
2,294,3.8768380000000002
1,291,3.879994
1,292,3.871315
1,293,3.872104
1,294,17.023682
0,291,3.886832
0,292,3.8765750000000003
0,293,3.875786
0,294,3.8707890000000003
-1,291,3.884728
-1,292,3.876312
-1,293,3.874471
-1,294,3.871052
-2,291,3.884202
-2,292,3.875786
-2,293,3.8731560000000003
-2,294,3.871315
-3,291,3.890777
-3,292,3.874734
-3,293,3.873945
-3,294,3.870263
-4,291,17.021841
-4,292,3.875786
-4,293,3.872893
-4,294,3.8707890000000003
-5,291,3.88315
-5,292,3.892618
-5,293,3.8765750000000003
-5,294,3.8718410000000003
-6,291,3.8755230000000003
-6,292,3.872367
-6,293,3.870526
-6,294,3.872367
-7,291,17.021578
-7,292,3.8792050000000002
-7,293,3.8778900000000003
-7,294,3.876049
-8,291,3.884465
-8,292,3.87526
-8,293,3.874997
-8,294,3.872104
-9,291,3.8839390000000003
-9,292,3.875786
-9,293,3.873419
-9,294,3.870526
-10,291,3.883413
-10,292,3.876049
-10,293,3.878153
-10,294,3.871052
-11,291,3.879731
-11,292,3.871578
-11,293,3.870526
-11,294,3.875786
-12,291,3.883676
-12,292,3.874734
-12,293,3.873682
-12,294,3.870263
-13,291,3.8839390000000003
-13,292,3.875786
-13,293,3.874471
-13,294,3.8707890000000003
-14,291,3.8792050000000002
-14,292,3.875786
-14,293,3.87526
-14,294,3.870263
-15,291,3.881046
-15,292,3.8742080000000003
-15,293,3.872893
-15,294,3.871052
-16,291,3.886043
-16,292,3.8765750000000003
-16,293,3.8778900000000003
-16,294,3.873945
-17,291,3.887095
-17,292,3.878942
-17,293,3.8731560000000003
-17,294,3.878942
-18,291,3.881046
-18,292,3.876049
-18,293,17.021841
-18,294,3.8707890000000003
-19,291,3.8839390000000003
-19,292,3.874997
-19,293,3.872893
-19,294,3.8707890000000003
-20,291,17.022367
-20,292,3.915236
-20,293,3.912869
-20,294,3.871315
-21,291,3.876049
-21,292,3.871052
-21,293,3.872367
-21,294,3.8707890000000003
-22,291,3.8849910000000003
-22,292,3.875786
-22,293,3.8742080000000003
-22,294,3.875786
-23,291,3.884202
-23,292,3.8755230000000003
-23,293,3.87526
-23,294,3.870263
-24,291,3.904716
-24,292,3.916551
-24,293,3.878942
-24,294,3.871052
-25,291,3.8839390000000003
-25,292,3.8742080000000003
-25,293,3.872104
-25,294,3.873682
-26,291,3.888147
-26,292,3.8765750000000003
-26,293,3.8765750000000003
-26,294,3.887884
-27,291,3.885254
-27,292,3.8765750000000003
-27,293,3.874997
-27,294,3.8707890000000003
-28,291,3.872893
-28,292,3.873682
-28,293,3.873682
-28,294,17.022367
-29,291,3.889199
-29,292,3.873945
-29,293,3.879994
-30,291,3.8826240000000003
-30,292,3.878416
-30,293,17.023156
