X,Y,Value
2,55,4.396
1,55,4.396
0,55,4.39337
-1,55,4.40652
-2,55,4.39337
-3,55,4.396
-4,55,4.396
-5,55,4.39074
-22,51,4.401260000000001
-21,51,10.53179
-20,51,35.40633
-19,51,36.2979
-19,52,4.36444
-18,51,41.45533
-18,52,16.49137
-17,51,35.27483
-17,52,40.76100999999999
-16,51,40.974039999999995
-16,52,39.87733
-15,51,40.88988
-15,52,16.149469999999997
-14,51,10.408180000000002
-12,51,21.94336
-10,51,40.53483
-9,51,41.3475
-9,52,40.574279999999995
-9,53,10.34769
-8,51,41.897169999999996
-8,52,35.5878
-8,53,10.631730000000001
-8,54,10.44237
-7,51,42.07601
-7,52,41.93662
-7,53,16.95951
-7,54,10.529160000000001
-6,51,42.1628
-6,52,42.03919
-6,53,42.07337999999999
-6,54,10.6028
-5,51,42.257479999999994
-5,52,42.25485
-5,53,42.26011
-5,54,42.026039999999995
-4,51,42.291669999999996
-4,52,42.34164
-4,53,42.41791
-4,54,42.257479999999994
-3,51,42.35742
-3,52,42.44421
-3,53,42.58622999999999
-3,54,42.44421
-2,51,42.36794
-2,52,42.47577
-2,53,42.64409
-2,54,42.544149999999995
-1,51,42.35742
-1,52,42.344269999999995
-1,53,41.076609999999995
-1,54,42.204879999999996
0,51,42.29956
0,52,42.333749999999995
0,53,42.24432999999999
0,54,41.95766
1,51,42.23381
1,52,42.24959
1,53,41.836679999999994
1,54,35.52205
2,51,42.18384
2,52,42.149649999999994
2,53,41.93399
2,54,41.5316
3,51,42.139129999999994
3,52,42.107569999999996
3,53,41.955029999999994
3,54,41.45533
4,51,42.12072
4,52,42.06811999999999
4,53,41.881389999999996
4,54,41.605239999999995
5,51,42.08915999999999
5,52,42.02867
5,53,35.693
5,54,16.97266
6,51,42.057599999999994
6,52,41.881389999999996
6,53,41.58157
6,54,16.570269999999997
7,51,41.57105
7,52,41.912949999999995
7,53,41.734109999999994
7,54,16.32831
8,51,41.96292
8,52,41.75778
8,53,41.431659999999994
8,54,4.36707
9,51,41.66309999999999
9,52,41.605239999999995
9,53,41.271229999999996
10,51,41.65521
10,52,41.43692
10,53,31.6428
11,51,41.794599999999996
11,52,41.471109999999996
11,53,15.53142
12,51,41.59209
12,52,41.25807999999999
12,53,4.39863
13,51,41.523709999999994
13,52,34.17286
14,51,41.610499999999995
14,52,16.49663
15,51,41.17128999999999
15,52,4.37233
16,51,28.436829999999997
17,51,10.43974
25,47,4.38811
24,47,11.859939999999998
23,47,41.51055999999999
23,48,4.45123
22,47,41.071349999999995
22,48,28.26588
21,47,35.74297
21,48,41.40273
21,49,10.4713
20,47,35.608839999999994
20,48,35.8245
20,49,10.51075
19,47,35.69826
19,48,35.78505
19,49,35.550979999999996
19,50,10.47656
18,47,41.615759999999995
18,48,40.86358
18,49,41.513189999999994
18,50,34.34907
17,47,41.6894
17,48,41.51055999999999
17,49,41.626279999999994
17,50,41.33434999999999
16,47,41.994479999999996
16,48,41.907689999999995
16,49,35.64566
16,50,41.72095999999999
15,47,41.831419999999994
15,48,35.84028
15,49,41.65257999999999
15,50,41.594719999999995
14,47,41.9524
14,48,41.93662
14,49,41.621019999999994
14,50,41.66835999999999
13,47,35.711409999999994
13,48,41.97344
13,49,35.693
13,50,29.425710000000002
12,47,41.91032
12,48,41.97344
12,49,41.84194
12,50,41.80249
11,47,42.086529999999996
11,48,29.80969
11,49,41.923469999999995
11,50,41.85509
10,47,42.11019999999999
10,48,42.04445
10,49,42.02867
10,50,41.89454
9,47,42.11546
9,48,35.81398
9,49,42.09442
9,50,41.794599999999996
8,47,42.123349999999995
8,48,42.081269999999996
8,49,41.90505999999999
8,50,42.041819999999994
7,47,42.118089999999995
7,48,42.081269999999996
7,49,42.097049999999996
7,50,42.04445
6,47,42.112829999999995
6,48,42.07075
6,49,42.12072
6,50,42.081269999999996
5,47,42.14702
5,48,35.83239
5,49,42.14439
5,50,42.09967999999999
4,47,42.15227999999999
4,48,42.12072
4,49,42.15754
4,50,42.10494
3,47,42.15227999999999
3,48,42.1628
3,49,42.18384
3,50,42.154909999999994
2,47,42.17069
2,48,42.15227999999999
2,49,42.19699
2,50,42.160169999999994
1,47,42.17332
1,48,42.160169999999994
1,49,42.220659999999995
1,50,42.20751
0,47,42.123349999999995
0,48,42.194359999999996
0,49,42.24432999999999
0,50,42.23907
-1,47,42.21277
-1,48,29.60718
-1,49,42.28641
-1,50,42.31007999999999
-2,47,42.194359999999996
-2,48,42.19699
-2,49,42.26274
-2,50,42.29429999999999
-3,47,42.19172999999999
-3,48,42.107569999999996
-3,49,42.23907
-3,50,42.17069
-4,47,42.160169999999994
-4,48,35.8771
-4,49,42.215399999999995
-4,50,42.225919999999995
-5,47,42.133869999999995
-5,48,42.13124
-5,49,42.14439
-5,50,42.20751
-6,47,42.05234
-6,48,42.1365
-6,49,42.19172999999999
-6,50,42.091789999999996
-7,47,42.09967999999999
-7,48,42.086529999999996
-7,49,42.12597999999999
-7,50,42.097049999999996
-8,47,42.057599999999994
-8,48,42.026039999999995
-8,49,42.01815
-8,50,41.75778
-9,47,41.983959999999996
-9,48,41.85509
-9,49,41.81300999999999
-9,50,41.718329999999995
-10,47,41.82879
-10,48,35.66407
-10,49,41.66835999999999
-10,50,41.27912
-11,47,41.768299999999996
-11,48,29.26002
-11,49,41.54474999999999
-11,50,40.79257
-12,47,41.74989
-12,48,41.636799999999994
-12,49,41.497409999999995
-12,50,28.381600000000002
-13,47,41.723589999999994
-13,48,41.66047
-13,49,35.3774
-13,50,34.48056999999999
-14,47,41.67362
-14,48,41.71044
-14,49,35.47208
-14,50,35.06443
-15,47,41.76304
-15,48,41.723589999999994
-15,49,41.610499999999995
-15,50,41.313309999999994
-16,47,41.826159999999994
-16,48,41.76304
-16,49,41.76567
-16,50,41.471109999999996
-17,47,41.86297999999999
-17,48,41.83931
-17,49,41.84194
-17,50,41.642059999999994
-18,47,41.93136
-18,48,41.90505999999999
-18,49,41.93399
-18,50,41.742
-19,47,42.004999999999995
-19,48,41.93136
-19,49,41.77092999999999
-19,50,23.200499999999998
-20,47,42.02341
-20,48,41.584199999999996
-20,49,41.73148
-20,50,41.7157
-21,47,42.06023
-21,48,41.84194
-21,49,35.70615
-21,50,41.707809999999995
-22,47,42.06285999999999
-22,48,41.94714
-22,49,41.85772
-22,50,41.19759
-23,47,41.44743999999999
-23,48,41.897169999999996
-23,49,41.66309999999999
-23,50,32.89205
-24,47,41.98132999999999
-24,48,35.66144
-24,49,41.605239999999995
-24,50,4.36181
