X,Y,Value
3,55,4.03306
2,55,4.03043
1,55,10.08469
0,55,10.06891
-1,55,10.02157
-2,55,10.08469
-3,55,10.0505
-4,55,4.0278
-5,55,10.08995
-6,55,9.795390000000001
-22,51,4.03043
-21,51,10.30561
-20,51,34.43586
-19,51,28.876039999999996
-19,52,10.11625
-18,51,41.37642999999999
-18,52,10.15044
-17,51,35.188039999999994
-17,52,34.74357
-16,51,35.10651
-16,52,10.174109999999999
-16,53,4.03569
-15,51,35.14859
-15,52,10.20041
-15,53,10.00053
-14,51,41.486889999999995
-14,52,16.341459999999998
-13,51,41.38695
-13,52,22.05908
-12,51,40.81361
-11,51,41.20022
-11,52,15.97063
-10,51,41.38169
-10,52,40.30076
-9,51,41.47374
-9,52,41.20810999999999
-9,53,16.05742
-8,51,41.43429
-8,52,41.40273
-8,53,16.44929
-8,54,10.087319999999998
-7,51,35.253789999999995
-7,52,41.431659999999994
-7,53,41.28964
-7,54,10.16622
-6,51,41.513189999999994
-6,52,41.46322
-6,53,41.33960999999999
-6,54,41.1108
-5,51,41.523709999999994
-5,52,41.47374
-5,53,41.3212
-5,54,41.118689999999994
-4,51,41.52108
-4,52,41.43955
-4,54,41.10028
-3,51,41.539489999999994
-3,52,35.23012
-3,53,35.13281
-3,54,35.02235
-2,51,41.5316
-2,52,41.426399999999994
-2,53,41.313309999999994
-2,54,41.102909999999994
-1,51,35.31691
-1,52,41.43692
-1,53,41.287009999999995
-1,54,41.081869999999995
0,51,41.534229999999994
0,52,41.46847999999999
0,53,41.30015999999999
0,54,41.03715999999999
1,51,41.534229999999994
1,52,41.292269999999995
1,53,41.323829999999994
1,54,41.010859999999994
2,51,35.3248
2,52,41.45269999999999
2,53,41.22389
2,54,40.92407
3,51,41.573679999999996
3,52,35.23538
3,53,41.24755999999999
3,54,40.876729999999995
4,51,41.568419999999996
4,52,41.415879999999994
4,53,35.151219999999995
4,54,28.78662
5,51,41.55264
5,52,41.426399999999994
5,53,41.12658
5,54,16.538710000000002
6,51,41.56052999999999
6,52,41.39220999999999
6,53,41.25282
6,54,16.11265
7,51,41.57105
7,52,41.43955
7,53,41.221259999999994
7,54,16.29938
8,51,41.513189999999994
8,52,41.33172
8,53,41.039789999999996
8,54,4.02517
9,51,40.91618
9,52,41.27385999999999
9,53,28.53414
10,51,41.492149999999995
10,52,41.31857
10,53,16.38617
11,51,41.33960999999999
11,52,41.097649999999994
11,53,16.241519999999998
12,51,41.3212
12,52,40.963519999999995
12,53,3.9962400000000002
13,51,41.184439999999995
13,52,22.535110000000003
14,51,35.20119
14,52,16.32831
15,51,40.95037
15,52,4.00939
16,51,16.44929
17,51,4.67741
24,47,4.03306
23,47,34.55947
22,47,41.22652
22,48,16.67284
21,47,35.23538
21,48,41.097649999999994
21,49,16.254669999999997
20,47,41.41850999999999
20,48,41.23967
20,49,28.5394
19,47,41.56579
19,48,41.523709999999994
19,49,41.2949
19,50,16.338829999999998
18,47,41.60787
18,48,29.37574
18,49,16.80171
18,50,22.787589999999998
17,47,41.539489999999994
17,48,41.55264
17,49,41.49477999999999
17,50,41.13447
16,47,41.189699999999995
16,48,41.471109999999996
16,49,41.38695
16,50,41.21337
15,47,41.54738
15,48,41.534229999999994
15,49,41.40273
15,50,41.329089999999994
14,47,41.55527
14,48,41.52108
14,49,41.45269999999999
14,50,41.40273
13,47,41.594719999999995
13,48,35.3248
13,49,41.5316
13,50,41.48425999999999
12,47,41.57105
12,48,41.54738
12,49,41.513189999999994
12,50,41.42377
11,47,41.563159999999996
11,48,41.55264
11,49,41.54212
11,50,41.51055999999999
10,47,41.421139999999994
10,48,41.573679999999996
10,49,41.54474999999999
10,50,41.5316
9,47,41.56579
9,48,41.56052999999999
9,49,41.51582
9,50,41.584199999999996
8,47,41.5579
8,48,41.55527
8,49,41.54212
8,50,41.54212
7,47,38.78588
7,48,35.49575
7,49,41.534229999999994
7,50,41.5579
6,47,41.599979999999995
6,48,41.578939999999996
6,49,41.57630999999999
6,50,41.584199999999996
5,47,41.578939999999996
5,48,41.573679999999996
5,49,41.534229999999994
5,50,35.345839999999995
4,47,41.58682999999999
4,48,41.55264
4,49,41.54738
4,50,41.59209
3,47,41.599979999999995
3,48,41.55000999999999
3,49,41.539489999999994
3,50,41.58682999999999
2,47,41.57630999999999
2,48,41.568419999999996
2,49,41.563159999999996
2,50,41.594719999999995
1,47,41.573679999999996
1,48,41.563159999999996
1,49,41.5316
1,50,41.573679999999996
0,47,41.584199999999996
0,48,41.56052999999999
0,49,41.54474999999999
0,50,41.578939999999996
-1,47,41.573679999999996
-1,48,41.55000999999999
-1,49,35.36951
-1,50,41.56579
-2,47,41.57630999999999
-2,48,41.55527
-2,49,41.52897
-2,50,33.03407
-3,47,41.09502
-3,48,35.290609999999994
-3,49,35.28272
-3,50,35.30638999999999
-4,47,41.539489999999994
-4,48,41.513189999999994
-4,49,41.49477999999999
-4,50,35.31691
-5,47,41.568419999999996
-5,48,35.72982
-5,49,35.248529999999995
-5,50,40.984559999999995
-6,47,41.5053
-6,48,41.48952
-6,49,41.502669999999995
-6,50,35.29324
-7,47,35.18541
-7,48,41.421139999999994
-7,49,35.11703
-7,50,29.033839999999998
-8,47,41.51582
-8,48,41.492149999999995
-8,49,41.481629999999996
-8,50,41.497409999999995
-9,47,41.00823
-9,48,41.27912
-9,49,41.352759999999996
-9,50,41.49477999999999
-10,47,41.48952
-10,48,41.46847999999999
-10,49,41.481629999999996
-10,50,41.48952
-11,47,41.47374
-11,48,41.486889999999995
-11,49,41.502669999999995
-11,50,41.57105
-12,47,41.45269999999999
-12,48,41.49477999999999
-12,49,41.52108
-12,50,41.58157
-13,47,41.47374
-13,48,41.486889999999995
-13,49,35.3248
-13,50,41.523709999999994
-14,47,41.479
-14,48,41.497409999999995
-14,49,41.497409999999995
-14,50,41.52634
-15,47,35.25116
-15,48,35.243269999999995
-15,49,41.38169
-15,50,41.46847999999999
-16,47,41.518449999999994
-16,48,41.518449999999994
-16,49,41.43955
-16,50,41.460589999999996
-17,47,41.534229999999994
-17,48,41.52108
-17,49,35.29587
-17,50,41.48952
-18,47,41.578939999999996
-18,48,41.584199999999996
-18,49,41.563159999999996
-18,50,41.534229999999994
-19,47,35.37477
-19,48,35.44315
-19,49,35.43526
-19,50,41.568419999999996
-20,47,41.66047
-20,48,41.55527
-20,49,35.52731
-20,50,41.67887999999999
-21,47,41.65521
-21,48,41.410619999999994
-21,49,35.11703
-21,50,41.59209
-22,47,41.594719999999995
-22,48,41.58157
-22,49,35.172259999999994
-22,50,41.22389
-23,47,35.35899
-23,48,35.356359999999995
-23,49,28.923379999999998
-23,50,10.195149999999998
-24,47,41.39220999999999
-24,48,41.11606
-24,49,34.71201
-24,50,4.01991
-25,47,35.20119
-25,48,34.47531
-25,49,10.10573
-26,47,34.34907
-26,48,40.624249999999996
-27,47,39.953599999999994
-27,48,10.066279999999999
-28,47,28.39212
-29,47,10.02157
-35,43,9.83221
-34,43,34.37011
-33,43,34.76461
-33,44,10.04261
-32,43,34.93293
-32,44,28.513099999999998
-32,45,9.94793
-31,43,35.18015
-31,44,40.96615
-31,45,40.42173999999999
-30,43,40.968779999999995
-30,44,28.83922
-30,45,40.78205
-30,46,10.087319999999998
-29,43,41.31594
-29,44,35.10914
-29,45,28.731389999999998
-29,46,28.55781
-28,43,41.37117
-28,44,41.329089999999994
-28,45,35.09598999999999
-28,46,40.96615
-27,43,41.41850999999999
-27,44,35.335319999999996
-27,45,35.422109999999996
-27,46,34.88822
-26,43,41.44743999999999
-26,44,41.35012999999999
-26,45,40.58743
-26,46,41.32646
-25,43,41.15025
-25,44,35.23538
-25,45,35.25116
-25,46,35.2196
-24,43,35.28798
-24,44,41.502669999999995
-24,45,41.492149999999995
-24,46,41.42377
-23,43,35.319539999999996
-23,44,41.44743999999999
-23,45,34.96975
-23,46,41.358019999999996
-22,43,41.431659999999994
-22,44,41.568419999999996
-22,45,41.563159999999996
-22,46,41.45007
-21,43,41.426399999999994
-21,44,41.3212
-21,45,35.40107
-21,46,41.670989999999996
-20,43,41.39747
-20,44,41.59735
-20,45,41.594719999999995
-20,46,35.398439999999994
-19,43,41.56052999999999
-19,44,35.39055
-19,45,35.330059999999996
-19,46,41.642059999999994
-18,43,41.59209
-18,44,35.40896
-18,45,41.46322
-18,46,41.59735
-17,43,41.55527
-17,44,41.563159999999996
-17,45,35.38529
-17,46,35.340579999999996
-16,43,41.563159999999996
-16,44,41.55264
-16,45,41.523709999999994
-16,46,41.5579
-15,43,41.55527
-15,44,41.44743999999999
-15,45,35.26957
-15,46,41.51582
-14,43,41.56052999999999
-14,44,41.518449999999994
-14,45,41.502669999999995
-14,46,41.48425999999999
