X,Y,Value
-11,75,3.95416
-10,75,3.96205
-9,75,3.9567900000000003
-9,76,3.9699400000000002
-8,75,3.95416
-8,76,3.97257
-7,75,3.95416
-7,76,3.9752
-7,77,3.95942
-6,75,16.15473
-6,76,9.94793
-6,77,3.95942
-5,75,22.585079999999998
-5,76,10.15307
-5,77,16.1521
-4,75,16.55186
-4,76,16.3888
-4,77,22.32734
-4,78,3.95153
-3,75,22.6482
-3,76,22.60875
-3,77,22.40887
-3,78,3.9489
-2,75,22.64557
-2,76,16.38091
-2,77,22.27474
-2,78,3.9489
-1,75,16.41773
-1,76,16.333569999999998
-1,77,15.84702
-1,78,3.95153
0,75,16.41773
0,76,22.57456
0,77,16.2573
1,75,16.4151
1,76,16.333569999999998
1,77,3.9489
2,75,16.40721
2,76,16.35461
2,77,3.9489
3,75,16.41247
3,76,10.03735
4,75,20.76775
4,76,3.95942
5,75,4.09618
10,71,3.95416
9,71,16.5203
9,72,3.9567900000000003
8,71,16.77541
8,72,23.0164
8,73,3.95153
7,71,16.7307
7,72,16.64128
7,73,16.56764
7,74,3.95153
6,71,10.25827
6,72,16.52819
6,73,22.763920000000002
6,74,22.60349
5,71,16.44666
5,72,16.444029999999998
5,73,22.68765
5,74,22.59823
4,71,22.67713
4,72,16.541339999999998
4,73,16.41773
4,74,22.61664
3,71,16.74648
3,72,10.195149999999998
3,73,22.6482
3,74,16.40721
2,71,22.62979
2,72,16.41247
2,73,16.43088
2,74,16.42036
1,71,16.4151
1,72,16.41247
1,73,22.65083
1,74,22.66135
0,71,16.39669
0,72,22.62716
0,73,22.63505
0,74,22.64294
-1,71,10.18989
-1,72,10.30561
-1,73,22.63242
-1,74,22.64557
-2,71,22.585079999999998
-2,72,22.60875
-2,73,16.48611
-2,74,16.41773
-3,71,22.58771
-3,72,22.60612
-3,73,22.62453
-3,74,22.63768
-4,71,22.57982
-4,72,16.38354
-4,73,22.60875
-4,74,22.62716
-5,71,10.28457
-5,72,16.37828
-5,73,22.59823
-5,74,22.61401
-6,71,16.35724
-6,72,16.36776
-6,73,22.52196
-6,74,22.35364
-7,71,22.32208
-7,72,16.07057
-7,73,15.836500000000001
-8,71,9.82695
-8,72,3.9567900000000003
-9,71,9.62444
-9,72,3.95942
-10,71,21.89602
-10,72,15.76812
-10,73,15.55772
-10,74,3.9489
-11,71,22.56667
-11,72,16.26782
-11,73,16.044269999999997
-11,74,9.75068
-12,71,16.34935
-12,72,22.556150000000002
-12,73,16.26782
-12,74,10.02946
-13,71,22.53248
-13,72,22.46147
-13,73,16.144209999999998
-14,71,10.13466
-14,72,15.712890000000002
-15,71,22.27474
-18,67,22.36153
-17,67,22.52196
-17,68,22.40624
-17,69,10.05839
-16,67,22.548260000000003
-16,68,16.38091
-16,69,22.443060000000003
-16,70,16.144209999999998
-15,67,22.55352
-15,68,22.55089
-15,69,22.54037
-15,70,22.47725
-14,67,22.54563
-14,68,16.34935
-14,69,22.543
-14,70,22.53774
-13,67,22.52985
-13,68,22.535110000000003
-13,69,15.292089999999998
-13,70,16.38617
-12,67,22.51933
-12,68,16.3362
-12,69,22.54037
-12,70,22.548260000000003
-11,67,16.333569999999998
-11,68,16.38091
-11,69,16.3888
-11,70,16.39143
-10,67,16.3362
-10,68,16.39406
-10,69,22.561410000000002
-10,70,16.34409
-9,67,22.54563
-9,68,16.3625
-9,69,22.44043
-9,70,15.933809999999998
-8,67,16.47033
-8,68,22.556150000000002
-8,69,16.29675
-8,70,22.15113
-7,67,22.51144
-7,68,22.52722
-7,69,22.52985
-7,70,22.49566
-6,67,22.51144
-6,68,16.34935
-6,69,16.341459999999998
-6,70,16.35198
-5,67,22.51933
-5,68,16.3362
-5,69,16.34935
-5,70,16.338829999999998
-4,67,22.51933
-4,68,22.53774
-4,69,22.548260000000003
-4,70,22.55878
