X,Y,Value
-11,75,9.698080000000001
-6,75,16.06531
-6,76,3.90945
-6,77,9.85325
-5,75,16.26519
-5,76,16.28886
-5,77,10.14255
-4,75,22.456210000000002
-4,76,22.39835
-4,77,22.32471
-4,78,3.9226
-3,75,3.9226
-3,76,16.249409999999997
-3,77,16.18892
-3,78,3.92523
-2,75,10.12414
-2,76,10.30561
-2,77,22.36153
-2,78,3.9226
-1,75,22.49303
-1,76,22.42728
-1,77,16.241519999999998
-1,78,3.92523
0,75,16.3099
0,76,10.07943
0,77,16.29149
1,75,22.50618
1,76,16.24415
1,77,16.128429999999998
2,75,10.902619999999999
2,76,22.369419999999998
2,77,3.90945
3,75,16.29412
3,76,22.31419
4,75,16.31253
4,76,3.90945
5,75,16.20207
10,71,10.13992
9,71,16.37565
9,72,10.10573
8,71,22.5956
8,72,10.16622
8,73,3.95153
7,71,22.585079999999998
7,72,22.55089
7,73,22.464100000000002
7,74,3.9226
6,71,22.56667
6,72,16.3362
6,73,10.1294
6,74,16.27045
5,71,22.535110000000003
5,72,16.333569999999998
5,73,16.32831
5,74,22.48777
4,71,22.543
4,72,22.535110000000003
4,73,22.543
4,74,10.2609
3,71,22.51933
3,72,10.2609
3,73,16.43351
3,74,22.52722
2,71,22.50881
2,72,16.30464
2,73,22.51144
2,74,16.338829999999998
1,71,16.451919999999998
1,72,22.4904
1,73,16.346719999999998
1,74,22.52459
0,71,22.47725
0,72,16.28623
0,73,16.30201
0,74,16.68336
-1,71,22.46936
-1,72,16.34935
-1,73,16.29149
-1,74,16.36776
-2,71,22.450950000000002
-2,72,22.450950000000002
-2,73,16.36513
-2,74,22.4904
-3,71,22.43517
-3,72,22.44832
-3,73,16.346719999999998
-3,74,22.48514
-4,71,10.174109999999999
-4,72,22.450950000000002
-4,73,22.464100000000002
-4,74,16.29675
-5,71,16.34935
-5,72,22.42728
-5,73,16.27045
-5,74,16.27834
-6,71,22.41939
-6,72,22.40624
-6,73,22.41413
-6,74,16.29938
-7,71,22.36679
-7,72,22.15113
-7,73,21.85657
-8,71,15.98115
-8,72,9.692820000000001
-9,71,9.84273
-9,72,3.90682
-10,71,22.258960000000002
-10,72,15.97852
-10,73,3.90945
-10,74,3.92523
-11,71,22.39046
-11,72,22.34312
-11,73,9.968969999999999
-11,74,9.82958
-12,71,16.228369999999998
-12,72,22.31419
-12,73,22.18532
-12,74,9.99264
-13,71,22.35364
-13,72,22.21951
-13,73,3.90945
-14,71,22.25633
-14,72,9.971599999999999
-15,71,15.96274
-18,67,22.49829
-18,68,3.90945
-17,67,22.47462
-17,68,9.135259999999999
-17,69,10.00053
-16,67,16.29938
-16,68,16.241519999999998
-16,69,16.18103
-16,70,9.971599999999999
-15,67,16.28623
-15,68,22.39046
-15,69,16.19944
-15,70,22.21951
-14,67,16.28623
-14,68,16.22311
-14,69,22.37994
-14,70,16.22311
-13,67,22.41413
-13,68,16.21259
-13,69,22.40887
-13,70,22.4115
-12,67,22.40098
-12,68,22.37731
-12,69,22.39046
-12,70,22.39835
-11,67,10.113620000000001
-11,68,22.37994
-11,69,22.38257
-11,70,22.40361
-10,67,22.38783
-10,68,22.38783
-10,69,16.241519999999998
-10,70,22.40624
-9,67,22.39046
-9,68,22.40098
-9,69,22.42465
-9,70,22.26948
-8,67,16.24678
-8,68,16.31779
-8,69,22.4115
-8,70,22.32734
-7,67,22.40624
-7,68,16.236259999999998
-7,69,16.228369999999998
-7,70,22.41939
-6,67,22.39572
-6,68,22.39309
-6,69,22.40361
-6,70,22.41413
-5,67,16.24415
-5,68,16.323050000000002
-5,69,22.4115
-5,70,22.43254
-4,67,22.39835
-4,68,22.38257
-4,69,16.24415
-4,70,16.25993
-3,67,22.40098
-3,68,22.39835
-3,69,22.41413
-3,70,16.27308
-2,67,16.249409999999997
-2,68,22.39835
-2,69,22.42202
-2,70,22.443060000000003
-1,67,16.24678
-1,68,16.25204
-1,69,16.2573
-1,70,16.27308
0,67,22.41676
0,68,16.24678
0,69,22.42991
0,70,16.28097
1,67,22.43254
1,68,22.443060000000003
1,69,22.456210000000002
1,70,22.47199
2,67,22.45358
2,68,22.4378
2,69,16.27834
2,70,22.49566
3,67,22.456210000000002
3,68,22.45884
3,69,16.338829999999998
3,70,22.50355
4,67,22.47462
4,68,22.47462
4,69,22.48777
4,70,22.51933
5,67,22.49303
5,68,22.4904
5,69,16.32042
5,70,22.53774
6,67,22.51933
6,68,16.31779
6,69,16.34409
6,70,16.36776
7,67,16.34935
7,68,22.543
7,69,22.56667
7,70,10.171479999999999
8,67,22.585079999999998
8,68,10.14255
8,69,22.57982
8,70,16.46244
9,67,16.71492
9,68,16.38354
9,69,16.39669
9,70,22.6482
10,67,16.494
10,68,22.72447
10,69,16.44666
10,70,22.61401
11,67,10.2609
11,68,22.83493
11,69,4.1198500000000005
11,70,3.9226
12,67,16.654429999999998
12,68,16.638650000000002
13,67,10.25038
15,63,10.66329
15,64,16.35198
14,63,10.18989
14,64,10.195149999999998
14,65,22.6219
14,66,10.14781
13,63,16.48611
13,64,22.777070000000002
13,65,10.3398
13,66,16.549229999999998
12,63,22.771810000000002
12,64,22.77444
12,65,22.87438
12,66,10.29509
11,63,16.891129999999997
11,64,22.73762
11,65,22.79022
11,66,22.83493
10,63,22.62453
10,64,16.39669
10,65,22.66924
10,66,22.70869
9,63,22.556150000000002
9,64,16.35198
9,65,22.585079999999998
9,66,22.62453
8,63,22.50881
8,64,16.30464
8,65,22.543
8,66,16.341459999999998
7,63,16.29412
7,64,22.48514
7,65,16.3099
7,66,16.457179999999997
6,63,22.456210000000002
6,64,22.44569
6,65,22.46936
6,66,16.29675
5,63,10.09258
5,64,22.4378
5,65,22.450950000000002
5,66,22.47462
4,63,22.42202
4,64,16.24415
4,65,22.4378
4,66,22.46147
3,63,16.241519999999998
3,64,22.40098
3,65,22.41413
3,66,22.44569
2,63,22.39572
2,64,16.231
2,65,16.241519999999998
2,66,16.2573
1,63,16.231
1,64,22.369419999999998
1,65,22.39572
1,66,16.249409999999997
0,63,22.37731
0,64,22.36153
0,65,22.374679999999998
0,66,16.39143
-1,63,22.369419999999998
-1,64,3.90945
-1,65,16.21259
-1,66,22.38783
-2,63,22.351010000000002
-2,64,22.34312
-2,65,22.34838
-2,66,22.374679999999998
-3,63,22.36153
-3,64,16.2047
-3,65,16.2047
-3,66,22.38783
-4,63,16.20996
-4,64,16.25204
-4,65,22.36153
-4,66,22.374679999999998
-5,63,22.345750000000002
-5,64,22.34049
-5,65,16.32042
-5,66,22.39046
-6,63,22.35627
-6,64,22.34049
-6,65,22.36679
-6,66,22.38257
-7,63,22.34838
-7,64,22.358900000000002
-7,65,22.37731
-7,66,16.333569999999998
-8,63,22.369419999999998
-8,64,22.36153
-8,65,22.374679999999998
-8,66,10.168849999999999
-9,63,16.20733
-9,64,22.358900000000002
-9,65,22.36153
-9,66,22.38257
-10,63,16.20207
-10,64,22.351010000000002
-10,65,22.358900000000002
-10,66,22.37731
-11,63,22.36679
-11,64,22.364160000000002
-11,65,22.358900000000002
-11,66,22.37994
-12,63,22.358900000000002
-12,64,16.2047
-12,65,22.36679
-12,66,22.40098
-13,63,16.19418
-13,64,22.37731
-13,65,22.37731
-13,66,22.37731
-14,63,22.38257
-14,64,22.38257
-14,65,22.39046
-14,66,16.254669999999997
-15,63,22.4115
-15,64,22.39572
-15,65,10.05576
-15,66,22.42991
-16,63,22.443060000000003
-16,64,22.43517
-16,65,22.44832
-16,66,16.31516
-17,63,22.51144
-17,64,22.51407
-17,65,22.51933
-17,66,16.30727
-18,63,22.60349
-18,64,16.39143
-18,65,22.65083
-18,66,22.62716
-19,63,16.42299
-19,64,22.68765
-19,65,16.41247
-19,66,16.40721
-20,63,22.548260000000003
-20,64,22.41676
-20,65,16.149469999999997
-21,63,10.071539999999999
-23,59,16.00745
-23,60,9.97423
-22,59,22.37731
-22,60,22.31419
-22,61,22.15113
-21,59,22.45358
-21,60,16.29675
-21,61,22.41413
-21,62,22.345750000000002
-20,59,22.4904
-20,60,22.49303
-20,61,16.333569999999998
-20,62,22.548260000000003
-19,59,22.48777
-19,60,22.5167
-19,61,22.56404
-19,62,22.62453
-18,59,22.4904
-18,60,16.32568
-18,61,22.535110000000003
-18,62,10.1294
-17,59,10.11888
-17,60,22.43254
-17,61,16.28623
-17,62,22.4904
-16,59,16.231
-16,60,22.39046
-16,61,22.41676
-16,62,22.42991
-15,59,22.35627
-15,60,22.35364
-15,61,22.36679
-15,62,16.22311
-14,59,22.34838
-14,60,22.34838
-14,61,22.351010000000002
-14,62,22.37205
-13,59,16.29149
-13,60,22.32208
-13,61,22.34312
-13,62,22.34312
-12,59,22.32734
-12,60,22.31682
-12,61,16.37565
-12,62,22.35364
-11,59,22.3326
-11,60,16.40195
-11,61,22.3326
-11,62,22.358900000000002
-10,59,16.19155
-10,60,22.32734
-10,61,22.33523
-10,62,16.20733
-9,59,16.19944
-9,60,16.1784
-9,61,16.19155
-9,62,16.20996
-8,59,16.19681
-8,60,22.32471
-8,61,16.18629
-8,62,16.217850000000002
-7,59,22.32471
-7,60,22.31945
-7,61,22.32997
-7,62,22.36153
-6,59,22.31945
-6,60,22.32734
-6,61,22.27211
-6,62,22.35627
-5,59,22.32471
-5,60,22.31419
-5,61,22.30367
-5,62,22.33786
-4,59,22.31419
-4,60,22.31945
-4,61,16.17577
-4,62,22.34312
-3,59,22.34049
-3,60,22.31156
-3,61,22.34312
-3,62,22.34838
-2,59,22.3326
-2,60,22.33523
-2,61,16.29149
-2,62,16.36776
-1,59,22.33786
-1,60,16.18892
-1,61,22.3326
-1,62,22.364160000000002
0,59,22.36679
0,60,22.345750000000002
0,61,22.33786
0,62,16.21522
1,59,22.34312
1,60,22.34312
1,61,22.35364
1,62,22.37994
2,59,22.36153
2,60,22.34312
2,61,22.35627
2,62,16.22311
3,59,22.37994
3,60,22.36153
3,61,16.2047
3,62,22.38783
4,59,16.35461
4,60,22.3852
4,61,22.38257
4,62,22.39835
5,59,22.39309
5,60,22.40098
5,61,22.40624
5,62,16.36513
6,59,22.41676
6,60,16.37565
6,61,22.40887
6,62,22.44832
7,59,16.38354
7,60,22.42991
7,61,22.41939
7,62,22.464100000000002
8,59,22.44832
8,60,22.450950000000002
8,61,22.46936
8,62,22.50092
9,59,22.479879999999998
9,60,22.4904
9,61,16.3099
9,62,10.36347
10,59,22.52985
10,60,10.110990000000001
10,61,10.28194
10,62,22.59823
11,59,22.56667
11,60,16.35198
11,61,16.37039
11,62,22.66924
12,59,22.60612
12,60,22.62453
12,61,22.666610000000002
12,62,22.71921
13,59,22.6219
13,60,16.39143
13,61,16.49926
13,62,16.44929
14,59,16.47296
14,60,16.45455
14,61,16.41773
14,62,22.71132
15,59,22.64557
15,60,22.65083
15,61,16.45455
15,62,16.43088
16,59,22.65083
16,60,22.63768
16,61,22.6219
16,62,16.37828
17,59,22.62453
17,60,22.57456
17,61,10.110990000000001
18,59,3.97257
20,55,3.92523
19,55,16.43351
19,56,16.36513
19,57,10.12677
18,55,22.64031
18,56,22.64557
18,57,10.179369999999999
18,58,16.39406
17,55,22.62979
17,56,16.42299
17,57,22.64294
17,58,16.436139999999998
16,55,16.44929
16,56,10.13203
16,57,22.61664
16,58,16.40984
15,55,16.35198
15,56,16.40458
15,57,16.457179999999997
15,58,16.4414
14,55,22.55878
14,56,16.338829999999998
14,57,22.59297
14,58,16.37565
13,55,22.53248
13,56,16.330940000000002
13,57,16.51767
13,58,16.50189
12,55,16.31253
12,56,22.52722
12,57,22.54563
12,58,22.57456
11,55,22.48514
11,56,20.094469999999998
11,57,16.30464
11,58,22.51144
10,55,16.30727
10,56,22.45884
10,57,16.52556
10,58,22.50355
9,55,16.39932
9,56,22.42991
9,57,22.443060000000003
9,58,22.46147
8,55,3.92523
8,56,22.41676
8,57,22.42465
8,58,16.4414
7,55,22.39309
7,56,22.37731
7,57,22.39572
7,58,22.40361
6,55,22.3852
6,56,22.364160000000002
6,57,22.3852
6,58,16.241519999999998
5,55,16.217850000000002
5,56,16.21259
5,57,22.36679
5,58,22.40098
4,55,22.358900000000002
4,56,22.351010000000002
4,57,22.35364
4,58,22.37731
3,55,22.35364
3,56,16.19418
3,57,22.3326
3,58,22.374679999999998
2,55,22.34838
2,56,22.31682
2,57,10.04261
2,58,22.35364
1,55,22.33786
1,56,22.30367
1,57,22.32997
1,58,22.33786
0,55,22.29841
0,56,16.18629
0,57,22.31682
0,58,22.33786
-1,55,16.19944
-1,56,22.31156
-1,57,22.31945
-1,58,22.34049
-2,55,22.31945
-2,56,22.31945
-2,57,22.32734
-2,58,22.34312
-3,55,22.3063
-3,56,22.29315
-3,57,22.3063
-3,58,22.31945
-4,55,16.22048
-4,56,22.30893
-4,57,22.31156
-4,58,22.32208
-5,55,22.32208
-5,56,22.29315
-5,57,22.30893
-5,58,22.32734
-6,55,22.30893
-6,56,22.31419
-6,57,22.29578
-6,58,22.31682
-7,55,16.1784
-7,56,10.04524
-7,57,10.20041
-7,58,22.31682
-8,55,22.31682
-8,56,16.17314
-8,57,22.29841
-8,58,22.3326
-9,55,16.1784
-9,56,16.18103
-9,57,22.29578
-9,58,16.41247
-10,55,22.3063
-10,56,16.48348
-10,57,16.18103
-10,58,22.32208
-11,55,16.17577
-11,56,16.15999
-11,57,22.29052
-11,58,22.32208
-12,55,22.31156
-12,56,22.29578
-12,57,16.16262
-12,58,22.32471
-13,55,22.31945
-13,56,22.29578
-13,57,16.18103
-13,58,22.31682
-14,55,22.32471
-14,56,22.31945
-14,57,22.30893
-14,58,16.38091
-15,55,10.05313
-15,56,22.32208
-15,57,16.30464
-15,58,22.33523
-16,55,22.35627
-16,56,22.351010000000002
-16,57,16.21259
-16,58,22.37731
-17,55,22.37205
-17,56,22.35364
-17,57,22.39572
-17,58,16.25204
-18,55,16.28886
-18,56,22.39835
-18,57,16.24415
-18,58,22.45884
-19,55,22.38783
-19,56,16.236259999999998
-19,57,16.241519999999998
-19,58,22.47725
-20,55,22.40361
-20,56,22.40361
-20,57,22.42991
-20,58,22.46673
-21,55,22.39835
-21,56,22.37731
-21,57,22.41413
-21,58,22.443060000000003
-22,55,22.39309
-22,56,22.374679999999998
-22,57,16.249409999999997
-22,58,22.38783
-23,55,22.3852
-23,56,22.36679
-23,57,22.351010000000002
-23,58,22.31419
-24,55,22.34838
-24,56,16.17577
-24,57,22.172169999999998
-24,58,15.98641
-25,55,22.18532
-27,51,16.11002
-26,51,22.34838
-26,52,16.17051
-26,53,22.156390000000002
-25,51,22.369419999999998
-25,52,22.35364
-25,53,16.3099
-25,54,22.29578
-24,51,22.35627
-24,52,22.364160000000002
-24,53,16.217850000000002
-24,54,22.374679999999998
-23,51,22.35364
-23,52,16.22311
-23,53,22.36153
-23,54,22.374679999999998
-22,51,22.345750000000002
-22,52,16.20207
-22,53,22.364160000000002
-22,54,16.42299
-21,51,16.19944
-21,52,10.103100000000001
-21,53,22.358900000000002
-21,54,22.374679999999998
-20,51,16.2047
-20,52,22.34049
-20,53,22.364160000000002
-20,54,22.38783
-19,51,16.19944
-19,52,22.34049
-19,53,22.36153
-19,54,22.3852
-18,51,16.26256
-18,52,16.19681
-18,53,16.254669999999997
-18,54,22.358900000000002
-17,51,16.18103
-17,52,16.18366
-17,53,10.04787
-17,54,22.34838
-16,51,22.31945
-16,52,22.31419
-16,53,22.31945
-16,54,16.19944
-15,51,22.3063
-15,52,22.29841
-15,53,22.31945
-15,54,22.32208
-14,51,22.3063
-14,52,22.28789
-14,53,22.31156
-14,54,16.19155
-13,51,22.29315
-13,52,22.28526
-13,53,22.29315
-13,54,22.28526
-12,51,16.35461
-12,52,16.144209999999998
-12,53,22.29315
-12,54,22.30104
-11,51,22.3063
-11,52,16.12317
-11,53,22.29578
-11,54,22.29315
-10,51,16.48348
-10,52,16.15473
-10,53,22.29052
-10,54,22.3063
-9,51,22.30893
-9,52,16.16262
-9,53,22.30104
-9,54,22.30104
-8,51,22.29315
-8,52,22.27211
-8,53,22.29315
-8,54,22.30893
-7,51,22.31945
-7,52,10.03209
-7,53,22.30104
-7,54,22.28789
-6,51,16.233629999999998
-6,52,16.17051
-6,53,16.16525
-6,54,22.31419
-5,51,22.30367
-5,52,16.17577
-5,53,22.29841
-5,54,22.18795
-4,51,22.30893
-4,52,16.16525
-4,53,22.30104
-4,54,22.3063
-3,51,22.32997
-3,52,22.31419
-3,53,22.30893
-3,54,22.31156
-2,51,16.19155
-2,52,22.30104
-2,53,22.3063
-2,54,22.31945
-1,51,22.32997
-1,52,22.29578
-1,53,16.1784
-1,54,10.20304
0,51,22.3326
0,52,22.32208
0,53,22.31945
0,54,16.19418
1,51,16.18629
1,52,16.233629999999998
1,53,22.31945
1,54,22.32471
2,51,22.34312
2,52,16.1784
2,53,22.3326
2,54,22.3326
3,51,22.36153
3,52,22.32471
3,53,22.32471
3,54,22.34838
4,51,16.2836
4,52,22.33786
4,53,16.333569999999998
4,54,22.33523
5,51,22.34312
5,52,16.19155
5,53,22.33786
5,54,22.35627
6,51,22.36153
6,52,22.34312
6,53,16.233629999999998
6,54,16.22311
7,51,22.37731
7,52,22.374679999999998
7,53,22.37205
7,54,16.23889
8,51,22.39046
8,52,22.38257
8,53,22.374679999999998
8,54,22.40098
9,51,16.228369999999998
9,52,22.37994
9,53,16.236259999999998
9,54,22.41413
10,51,22.40624
10,52,22.40887
10,53,16.24678
10,54,16.26519
11,51,22.44043
11,52,22.41939
11,53,16.26256
11,54,10.10836
12,51,22.4378
12,52,22.44832
12,53,16.27834
12,54,22.48777
13,51,16.27834
13,52,17.06997
13,53,16.30201
13,54,16.32042
14,51,22.4904
14,52,16.29149
14,53,16.29412
14,54,22.535110000000003
15,51,16.3099
15,52,22.51144
15,53,16.36776
15,54,16.32831
16,51,22.49829
16,52,16.32042
16,53,16.4414
16,54,22.57719
17,51,22.55878
17,52,22.55878
17,53,16.359869999999997
17,54,22.60086
18,51,22.59297
18,52,22.57982
18,53,22.60612
18,54,22.42991
19,51,21.625130000000002
19,52,22.6482
19,53,22.65083
19,54,22.682389999999998
20,51,22.682389999999998
20,52,22.67713
20,53,22.674500000000002
20,54,16.41247
21,51,22.682389999999998
21,52,22.62716
21,53,43.31999999999999
23,47,10.26353
23,48,3.90945
22,47,22.70343
22,48,16.43088
22,49,16.40984
22,50,10.40029
21,47,22.671870000000002
21,48,22.65872
21,49,22.67713
21,50,22.690279999999998
20,47,22.61664
20,48,16.45981
20,49,22.64557
20,50,16.42562
19,47,22.56667
19,48,16.35461
19,49,22.59823
19,50,22.62979
18,47,22.53248
18,48,22.53248
18,49,10.14518
18,50,16.346719999999998
17,47,22.4904
17,48,22.50355
17,49,16.3099
17,50,22.543
16,47,22.464100000000002
16,48,16.28623
16,49,16.29149
16,50,10.11888
15,47,16.28097
15,48,22.450950000000002
15,49,22.456210000000002
15,50,22.47725
14,47,22.43254
14,48,10.08206
14,49,16.26519
14,50,22.44043
13,47,22.41939
13,48,22.41413
13,49,22.41939
13,50,22.44832
12,47,22.40361
12,48,22.40887
12,49,22.4115
12,50,16.32568
11,47,16.241519999999998
11,48,22.39572
11,49,22.39572
11,50,22.4115
10,47,22.38257
10,48,22.37205
10,49,16.231
10,50,10.07943
9,47,22.36679
9,48,10.063649999999999
9,49,22.37205
9,50,22.40361
8,47,16.217850000000002
8,48,10.0505
8,49,16.2047
8,50,16.21522
7,47,22.35627
7,48,22.35627
7,49,22.35364
7,50,22.369419999999998
6,47,22.36153
6,48,16.18103
6,49,16.231
6,50,22.351010000000002
5,47,22.33786
5,48,20.02083
5,49,22.33786
5,50,22.33786
4,47,16.19944
4,48,22.32997
4,49,16.18366
4,50,22.34049
3,47,16.27571
3,48,22.31419
3,49,22.32734
3,50,22.34049
2,47,22.32208
2,48,22.30893
2,49,22.31156
2,50,22.31156
1,47,22.31945
1,48,16.18103
1,49,22.31419
1,50,22.32734
0,47,22.31156
0,48,16.17051
0,49,22.30367
0,50,22.32208
-1,47,22.32734
-1,48,22.28263
-1,49,16.17051
-1,50,16.1784
-2,47,22.30367
-2,48,22.28789
-2,49,16.17577
-2,50,22.31156
-3,47,22.30367
-3,48,22.29841
-3,49,22.30104
-3,50,16.18366
-4,47,16.18103
-4,48,16.15999
-4,49,22.30893
-4,50,22.31945
-5,47,22.29578
-5,48,22.27474
-5,49,16.16788
-5,50,22.31682
-6,47,22.30367
-6,48,16.16262
-6,49,22.28789
-6,50,22.29052
-7,47,22.31156
-7,48,16.29938
-7,49,22.28263
-7,50,22.30367
-8,47,22.29315
-8,48,22.30104
-8,49,16.17314
-8,50,16.17051
-9,47,16.18103
-9,48,22.29315
-9,49,22.277369999999998
-9,50,22.29052
-10,47,22.29841
-10,48,16.14158
-10,49,22.277369999999998
-10,50,16.17314
-11,47,16.16262
-11,48,22.28526
-11,49,16.1521
-11,50,16.17577
-12,47,22.3063
-12,48,22.27211
-12,49,16.27834
-12,50,22.28526
-13,47,22.29841
-13,48,22.28789
-13,49,22.29841
-13,50,22.30104
-14,47,10.16622
-14,48,22.27474
-14,49,22.28
-14,50,22.31682
-15,47,16.228369999999998
-15,48,22.28263
-15,49,22.28263
-15,50,22.31682
-16,47,22.30104
-16,48,16.17314
-16,49,22.29315
-16,50,22.3063
-17,47,22.29578
-17,48,22.29578
-17,49,16.17314
-17,50,22.30893
-18,47,22.31156
-18,48,16.16788
-18,49,22.31156
-18,50,22.32471
-19,47,22.30104
-19,48,22.30104
-19,49,22.31156
-19,50,10.05839
-20,47,16.241519999999998
-20,48,16.16262
-20,49,16.18103
-20,50,22.32997
-21,47,16.19155
-21,48,22.29841
-21,49,22.31945
-21,50,22.33523
-22,47,22.31682
-22,48,16.1784
-22,49,22.32471
-22,50,10.06102
-23,47,22.33523
-23,48,22.32471
-23,49,10.063649999999999
-23,50,22.35364
-24,47,16.19418
-24,48,22.32997
-24,49,16.18366
-24,50,22.35364
-25,47,22.34312
-25,48,22.345750000000002
-25,49,22.358900000000002
-25,50,22.37731
-26,47,22.36679
-26,48,22.35627
-26,49,16.22048
-26,50,16.25204
-27,47,16.26256
-27,48,22.33786
-27,49,22.32208
-27,50,16.1784
-28,47,22.30104
-28,48,22.20636
-28,49,10.02683
-30,43,16.1784
-29,43,22.351010000000002
-29,44,22.32208
-29,45,16.15473
-29,46,16.0995
-28,43,22.374679999999998
-28,44,16.236259999999998
-28,45,22.358900000000002
-28,46,10.05839
-27,43,16.241519999999998
-27,44,10.04787
-27,45,22.35364
-27,46,22.36679
-26,43,22.34838
-26,44,22.32471
-26,45,22.34838
-26,46,22.358900000000002
-25,43,22.32997
-25,44,16.1784
-25,45,22.32997
-25,46,22.33523
-24,43,16.18892
-24,44,22.31156
-24,45,22.31682
-24,46,22.3326
-23,43,22.31156
-23,44,22.29578
-23,45,22.28789
-23,46,22.31156
-22,43,22.29578
-22,44,22.29315
-22,45,22.30104
-22,46,22.30367
-21,43,22.29841
-21,44,22.29315
-21,45,22.29578
-21,46,22.30893
-20,43,22.29315
-20,44,22.28789
-20,45,22.30367
-20,46,16.28097
-19,43,22.19847
-19,44,16.1521
-19,45,22.29052
-19,46,22.30104
-18,43,22.30367
-18,44,22.27211
-18,45,22.28526
-18,46,16.32042
-17,43,22.29841
-17,44,22.28263
-17,45,16.16262
-17,46,22.30104
-16,43,22.29841
-16,44,22.27211
-16,45,10.02683
-16,46,22.29315
-15,43,22.28526
-15,44,22.277369999999998
-15,45,22.277369999999998
-15,46,22.29052
-14,43,22.277369999999998
-14,44,22.28
-14,45,22.29841
-14,46,22.29315
-13,43,22.29315
-13,44,16.1521
-13,45,22.28526
-13,46,10.04787
-12,43,22.28
-12,44,22.277369999999998
-12,45,22.29841
-12,46,22.28
-11,43,22.3063
-11,44,22.29578
-11,45,22.29578
-11,46,16.16788
-10,43,22.28526
-10,44,22.258960000000002
-10,45,22.29841
-10,46,22.29052
-9,43,22.28789
-9,44,22.27474
-9,45,22.29315
-9,46,22.30367
-8,43,16.15999
-8,44,22.28
-8,45,22.27211
-8,46,16.15736
-7,43,22.30367
-7,44,22.28263
-7,45,22.29578
-7,46,22.29315
-6,43,22.29578
-6,44,22.29052
-6,45,22.28789
-6,46,22.30893
-5,43,22.31156
-5,44,22.29578
-5,45,16.15736
-5,46,22.28263
-4,43,22.3063
-4,44,22.29578
-4,45,22.31419
-4,46,16.16788
-3,43,22.31156
-3,44,22.28526
-3,45,22.29578
-3,46,16.18103
-2,43,22.31156
-2,44,22.31419
-2,45,22.30104
-2,46,22.31419
-1,43,22.31156
-1,44,22.29841
-1,45,22.29578
-1,46,22.31945
0,43,16.17577
0,44,22.29052
0,45,16.15736
0,46,22.31156
1,43,22.32997
1,44,22.29315
1,45,22.30893
1,46,16.18892
2,43,16.18629
