X,Y,Value
-11,75,3.92786
-10,75,3.94101
-7,77,3.9226
-6,75,10.171479999999999
-6,76,10.121509999999999
-6,77,9.95319
-5,75,22.65083
-5,76,16.40458
-5,77,10.195149999999998
-4,75,16.47033
-4,76,22.66135
-4,77,14.852879999999999
-4,78,3.92523
-3,75,22.69291
-3,76,16.41773
-3,77,16.323050000000002
-3,78,3.91997
-2,75,22.65083
-2,76,22.66398
-2,77,22.52459
-2,78,3.9226
-1,75,10.17674
-1,76,16.40195
-1,77,16.63602
-1,78,3.91997
0,75,16.44666
0,76,22.666610000000002
0,77,16.217850000000002
1,75,22.72184
1,76,10.179369999999999
1,77,3.92523
2,75,22.72184
2,76,22.60086
2,77,3.9226
3,75,16.444029999999998
3,76,16.31253
4,75,16.5203
4,76,3.93312
5,75,3.93312
6,75,3.93312
10,71,3.92523
9,71,16.63602
9,72,10.113620000000001
8,71,16.49663
8,72,16.4414
8,73,3.92523
7,71,10.2609
7,72,10.34243
7,73,16.51241
7,74,3.9226
6,71,22.7534
6,72,16.48085
6,73,10.20041
6,74,10.15833
5,71,10.21356
5,72,22.75603
5,73,10.24512
5,74,16.451919999999998
4,71,22.73762
4,72,10.23723
4,73,16.48085
4,74,16.48611
3,71,16.47033
3,72,22.73236
3,73,10.20567
3,74,16.57816
2,71,22.69817
2,72,16.465069999999997
2,73,16.45455
2,74,16.47559
1,71,10.33454
1,72,22.7008
1,73,16.52819
1,74,16.465069999999997
0,71,16.42299
0,72,22.682389999999998
0,73,16.43088
0,74,22.70606
-1,71,10.274049999999999
-1,72,16.60972
-1,73,22.65609
-1,74,16.444029999999998
-2,71,16.4151
-2,72,10.42922
-2,73,16.45455
-2,74,10.20567
-3,71,22.6482
-3,72,22.66135
-3,73,16.43088
-3,74,22.682389999999998
-4,71,22.64294
-4,72,16.42562
-4,73,16.51767
-4,74,16.43088
-5,71,16.44666
-5,72,22.64557
-5,73,16.40984
-5,74,16.46244
-6,71,16.4414
-6,72,22.62979
-6,73,16.428250000000002
-6,74,22.60349
-7,71,16.36513
-7,72,22.40361
-7,73,10.02683
-7,74,15.902249999999999
-8,71,3.9304900000000003
-8,72,3.93312
-8,73,3.92523
-9,71,3.9304900000000003
-9,72,3.93312
-10,71,16.27571
-10,72,10.00053
-10,73,9.79276
-10,74,9.69545
-11,71,16.40721
-11,72,16.35461
-11,73,22.38257
-11,74,15.910140000000002
-12,71,10.20567
-12,72,22.60875
-12,73,10.13466
-12,74,10.02946
-13,71,10.16359
-13,72,22.55089
-13,73,3.92786
-14,71,22.59034
-14,72,10.08206
-15,71,10.18726
-18,67,10.174109999999999
-18,68,10.22145
-17,67,16.62287
-17,68,22.98484
-17,69,13.019770000000001
-16,67,22.87175
-16,68,10.23986
-16,69,22.855970000000003
-16,70,10.18726
-15,67,16.47296
-15,68,16.45981
-15,69,16.45455
-15,70,10.16096
-14,67,22.671870000000002
-14,68,22.67976
-14,69,16.43088
-14,70,22.66135
-13,67,3.94101
-13,68,16.41247
-13,69,22.65083
-13,70,22.6482
-12,67,22.61401
-12,68,16.48085
-12,69,10.15044
-12,70,16.40984
-11,67,22.61401
-11,68,22.61664
-11,69,10.14781
-11,70,16.39143
-10,67,16.42299
