X,Y,Value
-7,75,16.020599999999998
-7,76,9.84799
-6,75,22.18795
-6,76,22.02226
-6,77,9.83221
-5,75,22.19058
-5,76,16.00482
-5,77,3.93312
-4,75,16.19155
-4,76,16.02323
-4,77,15.797049999999999
-4,78,3.92786
-3,75,22.13798
-3,76,15.97063
-3,77,15.75497
-3,78,3.92786
-2,75,22.11431
-2,77,15.918030000000002
-2,78,3.92786
-1,75,16.08109
-1,76,10.008420000000001
-1,77,9.903220000000001
-1,78,3.92523
0,75,16.07583
0,76,15.94433
0,77,9.81117
1,75,22.10379
1,76,21.89602
1,77,3.9304900000000003
2,75,22.07486
2,76,21.77504
2,77,3.93312
3,75,21.95914
3,76,9.88744
4,75,21.84868
4,76,3.93312
5,75,3.92523
10,71,3.92523
9,71,21.99333
9,72,3.93312
8,71,16.08635
8,72,9.95319
8,73,3.92786
7,71,22.18795
7,72,22.00122
7,73,21.92495
7,74,3.92523
6,71,22.23266
6,72,15.731299999999997
6,74,15.825980000000001
5,71,22.227400000000003
5,72,22.16165
5,73,15.87595
5,74,21.76978
4,71,22.22214
4,72,16.128429999999998
4,73,22.18269
4,74,22.0959
3,71,22.20636
3,72,22.20373
3,73,22.20636
3,74,22.156390000000002
2,71,22.21951
2,72,22.19058
2,73,22.19584
2,74,16.10476
1,71,16.11265
1,72,22.21162
1,73,16.128429999999998
1,74,16.09687
0,71,22.20899
0,72,22.19847
0,73,10.01368
0,74,22.18006
-1,71,22.21162
-1,72,22.22214
-1,73,16.11002
-1,74,16.11791
-2,71,16.2047
-2,72,16.13895
-2,73,16.12317
-2,74,16.08372
-3,71,16.32831
-3,72,16.131059999999998
-3,73,22.21951
-3,74,22.18006
-4,71,22.258960000000002
-4,72,10.208300000000001
-4,73,22.248440000000002
-4,74,16.11791
-5,71,22.27211
-5,72,22.26159
-5,73,22.264219999999998
-5,74,16.136319999999998
-6,71,22.26685
-6,72,16.26256
-6,73,22.27211
-6,74,16.29675
-7,71,22.26685
-7,72,22.23529
-7,73,22.227400000000003
-7,74,22.143240000000002
-8,71,22.32208
-8,72,22.28789
-8,73,22.14587
-9,71,22.39309
-9,72,22.3063
-9,73,21.222739999999998
