X,Y,Value
-7,75,3.95416
-7,76,9.92426
-6,75,16.228369999999998
-6,76,10.01631
-6,77,9.80854
-5,75,16.28886
-5,76,22.240550000000002
-5,77,9.8401
-4,75,21.23326
-4,76,22.32734
-4,77,9.908479999999999
-3,75,22.48251
-3,76,16.21522
-3,77,9.795390000000001
-2,75,22.48777
-2,76,10.12414
-2,77,9.874289999999998
-1,75,16.30201
-1,76,22.33786
-1,77,9.855879999999999
0,75,10.13203
0,76,22.28526
0,77,3.9304900000000003
1,75,22.43254
1,76,22.2011
1,77,3.9304900000000003
2,75,16.236259999999998
2,76,9.95056
3,75,16.21259
3,76,3.93312
4,75,9.961079999999999
5,75,3.92523
10,71,3.9226
9,71,16.11528
9,72,3.9304900000000003
8,71,16.42562
8,72,16.09161
7,71,22.50092
7,72,22.39835
7,73,3.9436400000000003
6,71,22.53774
6,72,22.479879999999998
6,73,22.37731
6,74,9.8138
5,71,16.346719999999998
5,72,16.34409
5,73,22.456210000000002
5,74,16.15473
4,71,22.56404
4,72,22.53248
4,73,22.51407
4,74,22.4115
3,71,22.569300000000002
3,72,22.543
3,73,10.14518
3,74,22.45884
2,71,22.57456
2,72,22.556150000000002
2,73,16.36776
2,74,22.49566
1,71,22.57193
1,72,16.37828
1,73,22.556150000000002
1,74,22.51144
0,71,22.57719
0,72,22.561410000000002
0,73,22.56404
0,74,16.34409
-1,71,16.359869999999997
-1,72,22.56404
-1,73,22.569300000000002
-1,74,22.53248
-2,71,22.57719
-2,72,22.56404
-2,73,22.52722
-2,74,22.535110000000003
-3,71,10.13729
-3,72,22.561410000000002
-3,73,22.561410000000002
-3,74,22.53774
-4,71,22.57193
-4,72,18.25347
-4,73,22.55352
-4,74,22.52985
-5,71,22.57456
-5,72,22.55352
-5,73,22.55352
-5,74,16.35461
-6,71,22.556150000000002
-6,72,22.543
-6,73,16.32831
-6,74,22.49303
-7,71,22.543
-7,72,22.52459
-7,73,22.50355
-7,74,16.08635
-8,71,22.52722
-8,72,22.456210000000002
-8,73,16.24415
-9,71,16.22311
-9,72,15.5472
-10,71,22.50092
-10,72,22.17743
-10,73,3.9304900000000003
-11,71,22.51144
-11,72,22.464100000000002
-11,73,10.06891
-11,74,9.905850000000001
-12,71,16.28097
-12,72,22.38257
-12,73,22.14587
-12,74,9.81117
-13,71,22.44569
-13,72,16.13895
-13,73,9.93741
-14,71,16.1784
-14,72,9.96371
-15,71,10.02946
-18,67,10.0505
-17,67,16.31516
-17,68,10.110990000000001
-16,67,16.41247
-16,68,22.60086
-16,69,22.464100000000002
