X,Y,Value
-10,103,17.022367
-9,103,17.02263
-8,103,4.899908
-7,103,17.023682
-6,103,17.021841
-5,103,17.021578
-4,103,12.188689999999998
-3,103,17.021841
-2,103,17.022893
-1,103,17.021841
0,103,17.021841
11,99,4.052785
10,99,3.888936
9,99,3.889199
9,100,17.021578
8,99,3.89367
8,100,3.880783
7,99,3.881046
7,100,3.884202
7,101,17.021314999999998
6,99,3.877364
6,100,3.870526
6,101,17.022104
5,99,17.02263
5,100,17.021578
5,101,3.896037
4,99,3.891829
4,100,3.886569
4,101,3.900771
4,102,17.022367
3,99,3.889462
3,100,3.886832
3,101,3.8957740000000003
3,102,17.020789
2,99,3.8778900000000003
2,100,3.878679
2,101,4.00413
2,102,3.889462
1,99,3.885254
1,100,3.886569
1,101,4.288959
1,102,9.510824
0,99,17.022893
0,100,3.874471
0,101,3.875786
0,102,3.907083
-1,99,3.8863060000000003
-1,100,3.877364
-1,101,3.879731
-1,102,3.873419
-2,99,3.878679
-2,100,3.876049
-2,101,3.876312
-2,102,17.021314999999998
-3,99,3.8802570000000003
-3,100,17.021578
-3,102,3.872893
-4,99,3.875786
-4,100,3.877364
-4,101,3.8910400000000003
-4,102,3.8731560000000003
-5,99,3.8707890000000003
-5,100,3.872104
-5,101,3.992032
-5,102,3.872893
-6,99,3.878942
-6,100,3.873945
-6,101,3.876049
-6,102,3.8934070000000003
-7,99,3.882361
-7,100,3.876312
-7,101,3.879731
-7,102,3.871315
-8,99,3.878679
-8,100,3.877101
-8,101,3.879994
-8,102,3.8839390000000003
-9,99,3.890251
-9,100,3.887884
-9,101,3.88841
-9,102,3.91997
-10,99,3.899719
-10,100,3.882361
-10,101,3.886043
-10,102,3.919444
-11,99,3.8963
-11,100,3.882887
-11,101,3.927334
-11,102,4.180077
-12,99,3.900771
-12,100,17.021052
-12,101,17.021841
-12,102,17.021578
-13,99,17.022893
-27,95,17.023156
-26,95,17.022893
-25,95,17.019737
-25,96,3.878416
-24,95,17.023418999999997
-24,96,17.021052
-24,97,17.02263
-23,95,17.02263
-23,96,17.02
-23,97,17.021841
-22,95,17.021578
-22,96,17.021052
-22,97,17.021578
-22,98,17.022104
-21,95,17.022367
-21,96,17.021052
-21,97,17.023156
-21,98,17.021052
-20,95,17.022367
-20,96,17.021314999999998
-20,97,17.022893
-20,98,17.021841
-19,95,17.023418999999997
-19,96,17.021052
-19,97,17.020789
-18,95,17.021841
-18,96,17.022367
-18,97,17.021578
-17,95,17.022104
-17,96,17.021052
-17,97,17.022367
-16,95,17.021841
-16,96,17.021578
-16,97,17.02263
-15,95,17.023418999999997
-15,96,17.022367
-15,97,17.02263
-15,98,17.021841
-14,95,17.022367
-14,96,17.020263
-14,97,17.020263
-14,98,17.020789
-13,95,17.022893
-13,96,3.892881
-13,97,17.023418999999997
-13,98,17.021052
-12,95,3.893144
-12,96,4.383113
-12,97,3.8886730000000003
-12,98,3.892092
-11,95,3.9489
-11,96,3.898404
-11,97,17.018159
-11,98,4.060149
-10,95,3.871052
-10,96,3.872893
-10,97,3.910765
-10,98,3.881309
-9,95,3.8792050000000002
-9,96,3.883413
-9,97,3.878153
-9,98,3.884202
-8,95,3.881046
