X,Y,Value
10,299,17.021841
9,299,17.021841
8,299,3.9136580000000003
7,299,3.920233
6,299,3.91471
5,299,3.9136580000000003
4,299,3.909187
3,299,3.908398
2,299,3.911554
1,299,3.8897250000000003
1,300,3.887621
0,299,3.873419
0,300,3.875786
0,301,17.021314999999998
-1,299,3.8755230000000003
-1,300,3.871578
-1,301,17.022104
-2,299,3.878942
-2,300,3.878153
-2,301,17.021314999999998
-3,299,3.8755230000000003
-3,300,3.873419
-3,301,17.021578
-4,299,3.8755230000000003
-4,301,17.021314999999998
-5,299,3.890777
-5,300,3.894459
-6,299,3.884202
-6,300,3.873945
-7,299,3.887095
-7,300,3.892092
-8,299,3.888147
-8,300,3.89367
-9,299,4.095128
-9,300,3.892092
-10,299,3.914447
-11,299,3.914184
-12,299,3.913395
-13,299,3.8873580000000003
-13,300,17.02263
-14,299,3.915499
-15,299,17.022104
-18,299,17.021578
-28,295,17.022104
-26,295,17.022367
-26,296,17.02263
-25,295,3.8849910000000003
-25,296,17.021578
-24,295,3.882361
-24,297,17.021841
-23,295,3.878153
-23,296,3.874471
-23,297,17.022104
-22,295,3.8792050000000002
-22,296,3.873682
-22,297,17.021841
-21,295,4.298164
-21,296,3.875786
-21,297,3.870526
-21,298,17.020263
-20,295,3.8765750000000003
-20,296,17.024207999999998
-20,297,3.872104
-20,298,17.021578
-19,295,3.879731
-19,296,3.87526
-19,297,3.871315
-19,298,17.021578
-18,295,3.8768380000000002
-18,296,3.872893
-18,297,3.87
-18,298,3.8718410000000003
-17,295,3.8792050000000002
-17,296,3.873945
-17,297,3.871578
-17,298,3.872367
-16,295,17.021578
-16,296,3.878942
-16,297,3.874734
-16,298,3.873682
-15,295,3.877364
-15,296,3.874471
-15,297,3.870263
-15,298,3.8731560000000003
-14,295,3.878416
-14,296,3.874734
-14,297,3.8718410000000003
-14,298,3.8718410000000003
-13,295,3.877364
-13,296,3.873945
-13,297,3.871052
-13,298,3.871052
-12,295,3.878942
-12,296,3.87526
-12,297,3.882098
-12,298,3.8731560000000003
-11,295,3.875786
-11,296,3.870526
-11,297,3.874734
-11,298,3.871578
-10,295,3.876312
-10,296,3.871052
-10,297,3.87263
-10,298,3.8718410000000003
-9,295,3.877627
-9,296,3.873682
-9,297,3.872367
-9,298,3.873419
-8,295,3.874997
-8,296,3.871052
-8,297,3.8792050000000002
-8,298,3.8707890000000003
-7,295,3.8768380000000002
-7,296,3.873419
-7,297,3.871578
-7,298,3.872104
-6,295,3.88315
-6,296,3.87526
-6,297,3.8707890000000003
-6,298,3.8731560000000003
-5,295,3.881835
