X,Y,Value
4,55,82.69899
3,55,3.87
2,55,3.87
1,55,3.87
0,55,3.87
-1,55,82.77
-2,55,82.77
-3,55,82.77
-4,55,82.77
-5,55,3.87
-6,55,3.87
-7,55,3.87
-22,51,3.87
-21,51,9.98475
-20,51,10.01368
-19,51,22.5167
-19,52,7.7361
-18,51,41.087129999999995
-18,52,9.99264
-17,51,40.958259999999996
-17,52,34.81984
-17,53,3.96731
-16,51,41.010859999999994
-16,52,16.27834
-16,53,3.97257
-15,51,21.9118
-15,52,10.008420000000001
-15,53,3.96205
-14,51,41.15025
-14,52,3.87
-14,53,3.9567900000000003
-13,51,28.23695
-13,52,3.87
-12,51,27.66887
-12,52,3.87
-11,51,22.248440000000002
-11,52,3.87
-10,51,40.563759999999995
-10,52,9.75068
-9,51,41.260709999999996
-9,52,40.19293
-9,53,9.97423
-8,51,41.329089999999994
-8,52,41.14236
-8,53,10.21356
-8,54,9.74279
-7,51,35.130179999999996
-7,52,41.22915
-7,53,16.4677
-7,54,10.01894
-6,51,41.44481
-6,52,41.31594
-6,53,41.400099999999995
-6,54,10.03472
-5,51,41.471109999999996
-5,52,41.35012999999999
-5,53,41.24493
-5,54,40.784679999999994
-4,51,41.52897
-4,52,41.40799
-4,53,41.479
-4,54,40.979299999999995
-3,51,41.5579
-3,52,41.51582
-3,53,41.486889999999995
-3,54,41.07924
-2,51,41.605239999999995
-2,52,41.57630999999999
-2,53,41.5316
-2,54,41.087129999999995
-1,51,41.67362
-1,52,41.66309999999999
-1,53,41.59209
-1,54,41.308049999999994
0,51,41.72095999999999
0,52,41.636799999999994
0,53,41.573679999999996
0,54,41.40273
1,51,41.81300999999999
1,52,41.7157
1,53,41.681509999999996
1,54,35.41948
2,51,41.831419999999994
2,52,41.74726
2,53,41.74726
2,54,41.742
3,51,41.83931
3,52,41.60787
3,53,41.78144999999999
3,54,41.54212
4,51,41.78144999999999
4,52,41.539489999999994
4,53,41.50004
4,54,22.83493
5,51,41.665729999999996
5,52,41.471109999999996
5,53,41.460589999999996
5,54,10.1294
6,51,41.563159999999996
6,52,41.313309999999994
6,53,41.368539999999996
6,54,16.22048
7,51,41.44217999999999
7,52,41.18707
7,53,41.25807999999999
7,54,9.84799
8,51,41.363279999999996
8,52,41.20285
8,53,41.10554
8,54,3.87263
9,51,41.250189999999996
9,52,41.14498999999999
9,53,35.032869999999996
10,51,41.158139999999996
10,52,40.93196
10,53,10.179369999999999
11,51,34.903999999999996
11,52,40.83202
11,53,16.15736
12,51,41.055569999999996
12,52,40.83202
12,53,3.9489
13,51,41.10554
13,52,22.20373
14,51,40.97667
14,52,15.95748
15,51,40.80309
15,52,3.87
16,51,16.11791
17,51,3.87
25,47,3.87
24,47,16.039009999999998
23,47,34.77513
23,48,3.87
22,47,41.06872
22,48,10.25301
21,47,41.02137999999999
21,48,40.871469999999995
21,49,10.12677
20,47,34.99342
20,48,41.00297
20,49,10.08469
19,47,41.26333999999999
19,48,41.045049999999996
19,49,41.02927
19,50,10.03472
18,47,41.358019999999996
18,48,41.13447
18,49,41.14498999999999
18,50,9.95845
17,47,41.39220999999999
17,48,41.22915
17,49,41.27385999999999
17,50,40.952999999999996
16,47,41.460589999999996
16,48,41.31594
16,49,35.02235
16,50,34.90137
15,47,41.49477999999999
15,48,41.3475
15,49,41.25282
15,50,41.07398
14,47,41.476369999999996
14,48,41.42903
14,49,41.41850999999999
14,50,41.12132
13,47,41.502669999999995
13,48,41.502669999999995
13,49,41.507929999999995
13,50,41.205479999999994
12,47,41.45269999999999
12,48,41.479
12,49,41.55527
12,50,41.20022
11,47,41.5053
11,48,41.479
11,49,41.58682999999999
11,50,41.31594
10,47,41.51055999999999
10,48,41.48952
10,49,41.670989999999996
10,50,41.518449999999994
9,47,41.573679999999996
9,48,41.513189999999994
9,49,41.66047
9,50,41.502669999999995
8,47,41.563159999999996
8,48,41.55000999999999
8,49,41.697289999999995
8,50,41.51055999999999
7,47,41.573679999999996
7,48,41.5579
7,49,41.728849999999994
7,50,41.58682999999999
6,47,41.55527
6,48,41.54738
6,49,35.54309
6,50,41.64995
5,47,41.63417
5,48,41.66835999999999
5,49,41.82879
5,50,41.723589999999994
4,47,41.61313
4,48,41.65257999999999
4,49,41.87875999999999
4,50,41.768299999999996
3,47,41.599979999999995
3,48,41.68414
3,49,41.88402
3,50,41.81827
2,47,41.63943
2,48,41.67887999999999
2,49,41.86297999999999
2,50,41.826159999999994
1,47,41.63417
1,48,41.642059999999994
1,49,41.87087
1,50,41.79197
0,47,41.642059999999994
0,48,41.615759999999995
0,49,41.81827
0,50,41.73148
-1,47,41.599979999999995
-1,48,41.594719999999995
-1,49,41.74726
-1,50,41.67887999999999
-2,47,41.58157
-2,48,41.568419999999996
-2,49,41.768299999999996
-2,50,41.636799999999994
-3,47,41.55527
-3,48,41.57630999999999
-3,49,41.74989
-3,50,41.610499999999995
-4,47,41.55527
-4,48,41.54738
-4,49,41.707809999999995
-4,50,41.584199999999996
-5,47,41.518449999999994
-5,48,41.55527
-5,49,41.707809999999995
-5,50,41.534229999999994
-6,47,41.54474999999999
-6,48,41.476369999999996
-6,49,41.62891
-6,50,41.481629999999996
-7,47,41.52897
-7,48,41.45533
-7,49,41.63417
-7,50,41.465849999999996
-8,47,41.45795999999999
-8,48,41.44481
-8,49,41.60787
-8,50,41.43692
-9,47,41.486889999999995
-9,48,41.52108
-9,49,41.642059999999994
-9,50,41.48425999999999
-10,47,41.502669999999995
-10,48,41.486889999999995
-10,49,41.610499999999995
-10,50,41.44743999999999
-11,47,41.46847999999999
-11,48,41.460589999999996
-11,49,41.615759999999995
-11,50,41.415879999999994
-12,47,41.426399999999994
-12,48,41.43429
-12,49,41.66047
-12,50,41.36065
-13,47,41.45269999999999
-13,48,41.40799
-13,49,41.599979999999995
-13,50,41.45007
-14,47,41.44481
-14,48,41.38169
-14,49,41.54212
-14,50,41.415879999999994
-15,47,41.426399999999994
-15,48,41.3212
-15,49,41.5316
-15,50,41.329089999999994
-16,47,41.45795999999999
-16,48,41.43429
-16,49,41.51582
-16,50,41.276489999999995
-17,47,41.486889999999995
-17,48,41.45533
-17,49,41.52108
-17,50,41.20022
-18,47,41.43692
-18,48,41.426399999999994
-18,49,41.45533
-18,50,35.01446
-19,47,41.460589999999996
-19,48,41.37642999999999
-19,49,41.394839999999995
-19,50,41.16077
-20,47,41.363279999999996
-20,48,41.271229999999996
-20,49,41.3475
-20,50,41.0845
-21,47,41.276489999999995
-21,48,41.20022
-21,49,41.352759999999996
-21,50,41.14498999999999
-22,47,41.27912
-22,48,41.24755999999999
-22,49,35.0355
-22,50,41.255449999999996
-23,47,41.30542
-23,48,41.18707
-23,49,41.20285
-23,50,10.03735
-24,47,41.271229999999996
-24,48,41.08975999999999
-24,49,41.44481
-24,50,3.87
-25,47,41.20285
-25,48,41.179179999999995
-25,49,3.9489
-26,47,41.23441
-26,48,41.23441
-26,49,3.9752
-27,47,41.15550999999999
-27,48,10.05576
-28,47,35.09862
-29,47,10.02157
-35,43,3.87
-34,43,22.20636
-34,44,3.87
-33,43,41.173919999999995
-33,44,3.87
-32,43,34.89085
-32,44,41.10817
-32,45,10.171479999999999
-31,43,41.27912
-31,44,41.0582
-31,45,35.25905
-31,46,3.87263
-30,43,41.363279999999996
-30,44,41.265969999999996
-30,45,41.039789999999996
-30,46,10.011050000000001
-29,43,41.37642999999999
-29,44,41.24755999999999
-29,45,35.458929999999995
-29,46,34.95397
-28,43,41.46322
-28,44,41.313309999999994
-28,45,41.44481
-28,46,41.147619999999996
-27,43,41.410619999999994
-27,44,41.313309999999994
-27,45,41.41325
-27,46,41.2949
-26,43,41.400099999999995
-26,44,41.323829999999994
-26,45,41.394839999999995
-26,46,41.27385999999999
-25,43,41.41850999999999
-25,44,41.38695
-25,45,41.507929999999995
-25,46,41.28964
-24,43,41.45007
-24,44,41.384319999999995
-24,45,41.5053
-24,46,41.329089999999994
