X,Y,Value
0,103,17.02
-1,103,17.020789
-2,103,17.007375999999997
-3,103,17.021314999999998
-4,103,17.020526
-5,103,17.020526
-6,103,17.019737
-7,103,17.019737
-8,103,17.019737
-9,103,17.02
-10,103,17.02
-22,99,17.019211
-21,99,3.899193
-20,99,3.90945
-20,100,17.019211
-16,99,17.022893
-15,99,3.892881
-15,100,3.8742080000000003
-15,101,4.59588
-15,102,17.02
-14,99,3.888936
-14,100,3.882361
-14,101,3.8897250000000003
-14,102,17.023945
-13,99,3.8899880000000002
-13,100,3.8849910000000003
-13,101,3.8934070000000003
-13,102,3.878942
-12,99,3.887095
-12,100,3.884465
-12,101,3.8910400000000003
-12,102,3.879731
-11,99,3.8899880000000002
-11,100,3.8863060000000003
-11,101,3.887884
-11,102,3.883413
-10,99,3.886043
-10,100,3.8792050000000002
-10,101,3.8897250000000003
-10,102,3.944955
-9,99,3.887621
-9,100,3.887621
-9,101,3.894196
-9,102,3.882887
-8,99,3.887621
-8,100,3.8849910000000003
-8,101,3.8899880000000002
-8,102,3.890514
-7,99,3.886832
-7,100,3.88315
-7,101,3.892092
-7,102,3.885517
-6,99,3.888936
-6,100,3.886569
-6,101,3.893933
-6,102,3.887095
-5,99,3.888936
-5,100,3.887884
-5,101,3.8947220000000002
-5,102,3.88841
-4,101,3.895248
-4,102,17.019474
-3,100,3.878942
-3,101,3.889199
-3,102,3.882887
-2,99,3.8826240000000003
-2,100,7.600918
-2,101,3.88841
-2,102,3.883413
-1,99,3.8863060000000003
-1,100,3.885254
-1,101,17.02
-1,102,4.04358
0,99,3.88841
0,100,3.884465
0,101,3.889462
0,102,3.88578
1,100,3.882361
1,101,3.8897250000000003
1,102,3.878153
2,99,3.885254
2,100,3.883413
2,101,3.8849910000000003
2,102,3.8849910000000003
3,99,17.019737
3,100,3.882098
3,101,3.889462
3,102,17.021841
4,99,3.88578
4,100,10.446577999999999
4,101,3.982564
5,99,3.886832
5,100,3.88841
5,101,3.8910400000000003
6,99,3.8849910000000003
6,100,3.8849910000000003
6,101,4.025696
7,99,3.8849910000000003
7,100,17.021314999999998
8,99,3.886832
8,100,3.88052
9,99,3.882361
9,100,17.019474
10,99,3.881835
11,99,17.019737
17,95,17.018947999999998
16,95,3.885517
16,96,17.019737
15,95,3.886569
15,96,17.026049
14,95,3.885254
14,96,3.881835
14,97,17.019737
13,95,3.886832
13,96,3.883413
13,97,3.8863060000000003
12,95,13.032131
12,96,3.8873580000000003
12,97,3.891303
12,98,3.8802570000000003
11,95,3.8886730000000003
11,96,3.8849910000000003
11,97,3.890514
11,98,3.881835
10,95,3.889462
10,96,3.886832
10,97,3.89367
10,98,17.019737
9,95,3.88841
9,96,3.886832
9,97,3.890777
9,98,3.885254
8,95,3.887621
8,96,3.883413
8,97,3.891829
8,98,9.709389
7,95,3.885517
7,96,3.884465
7,97,3.8742080000000003
7,98,3.88578
6,95,3.887621
6,96,3.885254
6,97,3.889199
6,98,3.886043
5,95,3.8873580000000003
5,96,3.883676
5,97,3.889199
5,98,3.8873580000000003
4,95,3.8873580000000003
4,96,3.884728
4,97,3.890777
4,98,3.885254
3,95,3.886043
3,96,3.8839390000000003
3,97,3.88841
3,98,3.885254
