X,Y,Value
1,103,17.022367
0,103,17.021841
-1,103,17.021578
-2,103,17.021314999999998
-3,103,17.022893
-4,103,17.021841
-5,103,17.023156
-6,103,17.021841
-7,103,17.021841
-8,103,17.021578
-21,99,17.021841
-14,99,3.937854
-14,100,4.930416
-14,101,17.021578
-13,99,3.876312
-13,100,4.073036
-13,101,4.041213
-13,102,17.021578
-12,99,3.9412730000000002
-12,100,3.89893
-12,101,3.8707890000000003
-12,102,17.022893
-11,99,3.880783
-11,100,3.8792050000000002
-11,101,17.021578
-11,102,17.021578
-10,99,3.877101
-10,100,3.88052
-10,101,3.877101
-10,102,17.020789
-9,99,3.878416
-9,100,17.02
-9,101,3.8755230000000003
-9,102,3.872893
-8,99,3.876312
-8,100,3.8778900000000003
-8,101,3.874734
-8,102,3.873945
-7,99,17.021841
-7,100,3.877101
-7,101,3.874471
-7,102,17.021052
-6,99,3.8768380000000002
-6,100,3.8778900000000003
-6,101,3.876312
-6,102,3.873419
-5,99,3.878679
-5,100,3.8802570000000003
-5,101,3.875786
-5,102,3.872893
-4,99,3.878416
-4,100,3.887884
-4,101,3.878679
-4,102,17.021052
-3,99,3.9055050000000002
-3,100,3.881835
-3,101,3.9746740000000003
-3,102,3.8718410000000003
-2,99,3.874734
-2,100,3.87526
-2,101,3.873945
-2,102,3.871315
-1,99,17.022367
-1,100,3.926545
-1,101,3.876049
-1,102,3.873945
0,99,3.88315
0,100,3.878942
0,101,3.877101
0,102,3.877101
1,99,3.876312
1,100,3.878153
1,101,3.873682
1,102,17.022367
2,99,3.874471
2,100,3.874734
2,101,3.870526
2,102,17.022893
3,99,5.011157
3,100,3.8768380000000002
3,101,3.8742080000000003
3,102,17.021052
4,99,3.872893
4,100,3.877101
4,101,3.870526
4,102,17.022104
5,99,3.8707890000000003
5,100,3.87263
5,101,3.870263
6,99,4.3060540000000005
6,100,3.877627
6,101,17.022104
7,99,5.098736000000001
7,100,3.875786
7,101,17.022104
8,99,3.870263
8,100,3.872367
9,99,3.876049
9,100,17.021841
10,99,3.870526
11,99,17.02263
17,95,5.920611
16,95,3.8755230000000003
16,96,17.021841
15,95,3.875786
15,96,3.871578
14,95,3.876312
14,96,3.8910400000000003
14,97,3.9375910000000003
13,95,3.878942
13,96,3.8792050000000002
13,97,3.877627
13,98,17.021314999999998
12,95,3.8778900000000003
12,96,3.879731
12,97,3.8768380000000002
12,98,3.8768380000000002
11,95,3.87526
11,96,3.877364
11,97,3.875786
11,98,3.874997
10,95,3.8768380000000002
10,96,3.8765750000000003
10,97,3.877627
10,98,3.874997
9,95,17.022893
9,96,3.877627
9,97,3.8994560000000003
9,98,3.87
8,95,3.89893
8,96,3.8792050000000002
8,97,4.110119
8,98,3.872893
7,95,3.8765750000000003
7,96,3.88052
7,97,3.873682
7,98,3.87263
6,95,3.8768380000000002
6,96,3.877627
6,97,17.020526
6,98,3.8765750000000003
5,95,3.8768380000000002
5,96,3.876312
5,97,3.964417
5,98,3.871578
4,95,3.877101
4,96,3.88315
4,97,3.873682
4,98,3.8731560000000003
3,95,3.872104
3,96,3.875786
3,97,3.8718410000000003
3,98,17.02263
2,95,3.8765750000000003
2,96,3.878153
2,97,3.875786
2,98,3.872893
1,95,3.881046
1,96,3.88052
1,97,3.878942
1,98,3.872893
0,95,3.876049
0,96,3.8778900000000003
0,97,17.020789
-1,95,3.8765750000000003
-1,96,3.878679
-1,97,3.87263
-1,98,3.87526
-2,95,3.877627
-2,96,3.877364
-2,97,3.874997
-2,98,3.8731560000000003
-3,95,3.878416
-3,96,3.8792050000000002
-3,97,3.873945
-3,98,3.870263
-4,95,3.875786
-4,96,3.8778900000000003
-4,97,3.873682
-4,98,3.872893
-5,95,3.8768380000000002
-5,96,3.877101
-5,97,3.873682
-5,98,3.8731560000000003
-6,95,3.877101
-6,96,3.876049
-6,97,3.87526
-6,98,3.874734
-7,95,3.878942
-7,96,3.878679
-7,97,3.876312
-7,98,3.874997
-8,95,3.873682
-8,96,3.8765750000000003
-8,97,17.021314999999998
-8,98,3.872893
-9,95,3.8765750000000003
-9,96,3.8778900000000003
-9,97,17.022104
-9,98,3.872104
-10,95,3.878153
-10,96,3.877627
-10,97,3.87526
-10,98,3.872367
-11,95,3.8765750000000003
-11,96,3.876049
-11,97,3.8731560000000003
-11,98,3.871052
-12,95,17.02263
-12,96,3.876049
-12,97,3.872367
-12,98,17.021314999999998
-13,95,3.8768380000000002
-13,96,3.878942
-13,97,3.8778900000000003
-13,98,3.876312
-14,95,3.8731560000000003
-14,96,3.876312
-14,97,3.873419
-14,98,3.882361
-15,95,3.881835
-15,96,3.89893
-15,97,17.021841
-15,98,17.021578
-16,95,3.986772
-16,96,17.021052
-16,97,17.022367
-17,95,17.022367
-17,96,17.022367
-18,95,17.021052
-18,96,17.021841
-19,95,17.022104
-19,96,17.021578
-20,95,17.021578
-20,96,17.022367
-20,97,17.021841
-20,98,17.022367
-21,95,3.872104
-21,96,3.9052420000000003
-21,97,3.906294
-21,98,4.93515
-22,95,3.8765750000000003
-22,96,4.245564
-22,97,3.8768380000000002
-22,98,17.022367
-23,95,3.8765750000000003
-23,96,3.8765750000000003
-23,97,3.873682
-23,98,17.022104
-24,95,3.877101
-24,96,3.876312
-24,97,17.021052
-25,95,3.876049
-25,96,17.020526
-26,95,4.996692
-26,96,17.021578
-27,95,17.02
-32,91,17.022367
-31,91,3.892092
-31,92,17.021314999999998
-30,91,17.020526
-30,92,3.87263
-29,91,3.875786
-29,92,3.8765750000000003
-29,93,3.870526
-28,91,3.877364
-28,92,3.877627
-28,93,3.873945
-28,94,3.988087
-27,91,3.874471
-27,92,3.875786
-27,93,3.874471
-27,94,3.872367
-26,91,3.8765750000000003
-26,92,3.876312
-26,93,3.873945
-26,94,3.87263
-25,91,3.878942
-25,92,3.878679
-25,93,3.936013
-25,94,3.87263
-24,91,3.877101
-24,92,3.875786
-24,93,3.8755230000000003
-24,94,3.874471
-23,91,3.879731
-23,92,3.886569
-23,93,3.8755230000000003
-23,94,3.872104
-22,91,3.8755230000000003
-22,92,3.878679
-22,93,6.656748
-22,94,3.982564
-21,91,3.875786
-21,92,3.8755230000000003
-21,93,3.873945
-21,94,3.872893
-20,91,3.8778900000000003
-20,92,3.878153
-20,93,3.884202
-20,94,3.8765750000000003
-19,91,3.8731560000000003
-19,92,3.875786
-19,93,3.871315
-19,94,3.902349
-18,91,3.877627
-18,92,3.876312
-18,93,3.8742080000000003
-18,94,17.021841
-17,91,3.877101
-17,92,3.8778900000000003
-17,93,3.876312
-17,94,3.8849910000000003
-16,91,3.876049
-16,92,3.8755230000000003
-16,93,17.021314999999998
-16,94,3.8768380000000002
-15,91,3.873682
-15,92,3.874734
-15,93,3.872104
-15,94,3.870263
-14,91,3.8765750000000003
-14,92,3.878153
-14,93,3.902612
-14,94,3.872367
-13,91,3.8768380000000002
-13,92,17.021052
-13,93,3.876049
-13,94,3.873945
-12,91,3.8768380000000002
-12,92,3.877627
-12,93,3.876049
-12,94,3.88052
-11,91,3.871315
-11,92,3.8778900000000003
-11,93,3.871052
-11,94,3.870526
-10,91,3.877101
-10,92,3.8778900000000003
-10,93,3.87526
-10,94,3.871315
-9,91,3.872893
-9,92,3.87526
-9,93,3.870526
-9,94,3.872893
-8,91,3.883676
-8,92,3.896826
-8,93,3.8742080000000003
-8,94,3.872893
-7,91,3.874734
-7,92,3.877101
-7,93,3.87263
-7,94,17.021578
-6,91,3.878416
-6,92,3.878679
-6,93,3.873682
-6,94,3.874471
-5,91,3.876049
-5,92,3.876049
-5,93,3.874471
-5,94,3.87263
-4,91,3.873945
-4,92,3.877101
-4,93,3.9483740000000003
-4,94,3.8731560000000003
-3,91,3.8768380000000002
-3,92,3.877101
-3,93,3.874471
-3,94,3.873945
-2,91,3.877101
-2,92,3.876049
-2,93,3.8731560000000003
-2,94,4.308684
-1,91,3.877101
-1,92,3.875786
-1,93,3.873419
-1,94,3.873945
0,91,3.8765750000000003
0,92,3.877627
0,93,3.873945
0,94,3.873682
1,91,3.8765750000000003
1,92,3.8768380000000002
1,93,3.973885
1,94,3.876312
2,91,3.8755230000000003
2,92,3.875786
2,93,3.8742080000000003
2,94,3.878416
3,91,3.8765750000000003
3,92,3.877627
3,93,3.873419
3,94,3.872893
4,91,3.877364
4,92,3.889199
4,93,3.875786
4,94,3.872104
5,91,3.879994
5,92,3.8778900000000003
5,93,3.8765750000000003
5,94,3.8707890000000003
6,91,3.874997
6,92,3.877364
6,93,3.875786
6,94,5.041139
7,91,3.875786
7,92,3.876049
7,93,3.872893
7,94,3.87263
8,91,3.876312
8,92,3.8755230000000003
8,93,17.021052
8,94,3.8731560000000003
9,91,3.875786
9,92,3.8768380000000002
9,93,3.87526
9,94,4.709759
10,91,3.877627
10,92,3.8778900000000003
10,93,3.8742080000000003
10,94,3.873419
11,91,3.875786
11,92,3.8778900000000003
11,93,3.8742080000000003
11,94,3.872893
12,91,3.8768380000000002
12,92,3.875786
12,93,3.873945
12,94,3.871052
13,91,3.877101
13,92,3.877101
13,93,3.8742080000000003
13,94,3.87263
14,91,3.872104
14,92,3.873419
14,93,3.871578
14,94,17.021578
15,91,3.875786
15,92,3.8765750000000003
15,93,3.874997
15,94,3.8731560000000003
16,91,3.8755230000000003
16,92,3.874997
16,93,3.873682
16,94,3.8731560000000003
17,91,3.879731
17,92,3.8778900000000003
17,93,3.8768380000000002
17,94,3.8707890000000003
18,91,3.8755230000000003
18,92,3.874997
18,93,3.8718410000000003
18,94,3.874471
19,91,3.87526
19,92,3.878153
19,93,3.870263
20,91,3.8778900000000003
20,92,3.879731
20,93,17.021841
21,91,3.87263
21,92,17.021314999999998
22,91,17.022104
26,87,17.02263
25,87,3.875786
25,88,4.207692
24,87,3.874734
24,88,3.8765750000000003
24,89,3.997555
23,87,3.878942
23,88,3.878942
23,89,3.87526
23,90,17.021841
22,87,3.878942
22,88,3.8768380000000002
22,89,3.872893
22,90,3.874734
21,87,3.8755230000000003
21,88,3.8768380000000002
21,89,3.8731560000000003
21,90,3.872893
20,87,3.876312
20,88,3.877364
20,89,3.8755230000000003
20,90,3.87526
19,87,3.872367
19,88,3.8742080000000003
19,89,3.871052
19,90,3.872367
18,87,3.874471
18,88,3.8765750000000003
18,89,3.94101
18,90,3.872367
17,87,3.926282
17,88,3.96731
17,89,3.873682
17,90,3.8802570000000003
16,87,3.877101
16,88,3.876312
16,89,3.873682
16,90,3.873682
15,87,3.871052
15,88,3.8755230000000003
15,89,3.8718410000000003
15,90,3.8718410000000003
14,87,3.877364
14,88,3.878679
14,89,3.874997
14,90,3.87263
13,87,3.873419
13,88,3.874471
13,89,3.871315
13,90,3.872104
12,87,3.876312
12,88,3.8765750000000003
12,89,3.874471
12,90,3.87263
11,87,3.8778900000000003
11,88,3.876049
11,89,3.876049
11,90,3.874997
10,87,3.878679
10,88,3.878153
10,89,3.877101
10,90,3.873682
9,87,3.872893
9,88,3.874734
9,89,3.8707890000000003
9,90,3.873682
8,87,3.875786
8,88,3.877364
8,89,3.874734
8,90,3.872367
7,87,3.8815720000000002
7,88,3.8778900000000003
7,89,3.874734
7,90,3.873419
6,87,3.871578
6,88,3.875786
6,89,3.871052
6,90,3.871315
5,87,3.877101
5,88,3.876312
5,89,3.873682
5,90,3.8742080000000003
4,87,3.876312
4,88,3.874471
4,89,3.876049
4,90,3.872893
3,87,3.8768380000000002
3,88,3.877627
3,89,3.872104
3,90,3.873945
2,87,3.877627
2,88,3.8778900000000003
2,89,3.875786
2,90,17.021314999999998
1,87,3.871578
1,88,5.431694
1,89,3.8731560000000003
1,90,3.871052
0,87,3.877101
0,88,3.8768380000000002
0,89,3.873682
0,90,3.877627
-1,87,3.872893
-1,88,3.875786
-1,89,3.873682
-1,90,3.8718410000000003
-2,87,3.874997
-2,88,3.877101
-2,89,3.873682
-2,90,3.8755230000000003
-3,87,3.877364
-3,88,3.877101
-3,89,3.875786
-3,90,3.8742080000000003
-4,87,3.872893
-4,88,3.8765750000000003
-4,89,3.87263
-4,90,3.871315
-5,87,3.877364
-5,88,3.877101
-5,89,3.87526
-5,90,3.871052
-6,87,3.876049
-6,88,3.877364
-6,89,3.873945
-6,90,17.021578
-7,87,3.880783
-7,88,3.879731
-7,89,3.877627
-7,90,4.672939
-8,87,3.8755230000000003
-8,88,3.8765750000000003
-8,89,3.87263
-8,90,3.87263
-9,87,3.877627
-9,88,3.878416
-9,89,3.8899880000000002
-9,90,3.9865090000000003
-10,87,3.87526
-10,88,3.878416
-10,89,3.8873580000000003
-10,90,3.9328570000000003
-11,87,3.873419
-11,88,3.874734
-11,89,3.884202
-11,90,3.971781
-12,87,3.8768380000000002
-12,88,3.877101
-12,89,17.021578
-12,90,3.8742080000000003
-13,87,3.8765750000000003
-13,88,3.8755230000000003
-13,89,3.8731560000000003
-13,90,3.8718410000000003
-14,87,3.872367
-14,88,3.88578
-14,89,4.020436
-14,90,3.871578
-15,87,3.877101
-15,88,3.877364
-15,89,3.886832
-15,90,3.979671
-16,87,3.874734
-16,88,3.876049
-16,89,3.8718410000000003
-16,90,3.871578
-17,87,3.876312
-17,88,3.877101
-17,89,3.874997
-17,90,3.872893
-18,87,3.8768380000000002
-18,88,3.876049
-18,89,3.874734
-18,90,3.873419
-19,87,3.874471
-19,88,3.876312
-19,89,3.8707890000000003
-19,90,3.87526
-20,87,3.876049
-20,88,4.533023
-20,89,3.8718410000000003
-20,90,3.872893
-21,87,3.8755230000000003
-21,88,3.876312
-21,89,3.874734
-21,90,3.8755230000000003
-22,87,3.876049
-22,88,17.021841
-22,89,3.874997
-22,90,3.874734
-23,87,3.871578
-23,88,3.874997
-23,89,3.872104
-23,90,3.874471
-24,87,3.875786
-24,88,3.8765750000000003
-24,89,3.87526
-24,90,3.87263
-25,87,3.877101
-25,88,3.877627
-25,89,3.8755230000000003
-25,90,3.87526
-26,87,3.877364
-26,88,3.877101
-26,89,3.87526
-26,90,3.876049
-27,87,3.874734
-27,88,3.878153
-27,89,3.872104
-27,90,5.994514000000001
-28,87,3.878679
-28,88,3.878942
-28,89,3.8755230000000003
-28,90,3.873419
-29,87,3.882098
-29,88,3.8792050000000002
-29,89,3.878416
-29,90,3.8707890000000003
-30,87,3.877101
-30,88,3.877101
-30,89,3.87263
-30,90,3.872893
-31,87,3.881046
-31,88,3.8778900000000003
-31,89,3.87526
-31,90,3.872367
-32,87,3.877627
-32,88,3.876312
-32,89,3.873682
-32,90,3.873682
-33,87,3.8768380000000002
-33,88,3.878416
-33,89,3.874997
-33,90,17.021841
-34,87,17.020789
-34,88,3.877627
-34,89,17.021052
-35,87,3.876049
-35,88,17.021052
-36,87,17.022104
-39,83,3.885517
-38,83,3.87263
-38,84,3.903401
-37,83,4.2750200000000005
-37,84,3.875786
-37,85,3.871315
-36,83,3.8755230000000003
-36,84,3.874734
-36,85,3.875786
-36,86,3.873419
-35,83,3.8755230000000003
-35,84,4.107226
-35,85,3.9770410000000003
-35,86,3.872893
-34,83,3.878416
-34,84,3.884728
-34,85,3.883676
-34,86,3.874471
-33,83,3.874997
-33,84,3.8778900000000003
-33,85,3.9315420000000003
-33,86,3.871315
-32,83,3.8768380000000002
-32,84,3.9304900000000003
-32,85,3.986772
-32,86,3.8742080000000003
-31,83,3.873419
-31,84,3.873419
-31,85,3.8731560000000003
-31,86,3.876312
-30,83,3.873945
-30,84,3.877101
-30,85,3.8731560000000003
-30,86,3.874471
-29,83,3.876312
-29,84,3.8765750000000003
-29,85,3.873945
-29,86,3.873419
-28,83,3.878153
-28,84,3.8768380000000002
-28,85,3.8755230000000003
-28,86,3.873945
-27,83,3.878679
-27,84,3.877101
-27,85,3.874471
-27,86,3.879468
-26,83,3.8755230000000003
-26,84,3.877627
-26,85,3.874734
-26,86,3.8742080000000003
-25,83,3.878679
-25,84,3.878153
-25,85,3.876312
-25,86,3.875786
-24,83,3.872367
-24,84,3.875786
-24,85,3.871578
-24,86,3.873945
-23,83,3.877101
-23,84,3.877627
-23,85,3.875786
-23,86,3.873419
-22,83,3.877627
-22,84,3.8778900000000003
-22,85,3.94627
-22,86,3.872367
-21,83,3.877364
-21,84,3.877627
-21,85,3.874734
-21,86,3.873945
-20,83,3.874997
-20,84,3.878153
-20,85,3.873682
-20,86,3.874471
-19,83,3.8731560000000003
-19,84,3.874997
-19,85,3.87263
