X,Y,Value
5,75,3.87
4,75,16.18629
4,76,3.87
3,75,22.22214
3,76,3.87
2,75,22.29315
2,76,21.97492
2,77,3.87
1,75,10.02157
1,76,3.96468
1,77,9.80065
0,75,16.19681
0,76,10.00053
0,77,9.82432
-1,75,22.39046
-1,76,22.25107
-1,77,15.87069
-2,75,22.39572
-2,76,22.30367
-2,77,9.91111
-2,78,3.87526
-3,75,22.358900000000002
-3,76,22.23266
-3,77,4.01991
-3,78,3.87526
-4,75,10.066279999999999
-4,76,22.29052
-4,77,21.48311
-4,78,3.87526
-5,75,16.236259999999998
-5,76,16.15736
-5,77,35.398439999999994
-6,75,22.45884
-6,76,16.1521
-6,77,4.73001
-7,75,22.46936
-7,76,9.95845
-7,77,3.87
-11,75,3.88841
-15,71,9.85325
-14,71,10.00316
-14,72,15.87069
-13,71,22.37205
-13,72,16.05742
-13,73,9.88744
-12,71,16.28623
-12,72,10.076799999999999
-12,73,16.18892
-12,74,4.01991
-11,71,22.42465
-11,72,22.39572
-11,73,16.236259999999998
-11,74,3.90156
-10,71,22.51933
-10,72,16.451919999999998
-10,73,16.32042
-10,74,3.87
-9,71,22.5956
-9,72,22.63768
-9,73,16.30464
-8,71,22.60349
-8,72,22.6482
-8,73,16.40458
-8,74,22.32471
-7,71,16.37828
-7,72,22.535110000000003
-7,73,16.359869999999997
-7,74,22.56404
-6,71,22.47199
-6,72,16.3099
-6,73,16.35198
-6,74,22.49829
-5,71,22.48514
-5,72,22.4904
-5,73,22.49566
-5,74,22.48251
-4,71,16.27571
-4,72,10.05576
-4,73,22.50355
-4,74,16.323050000000002
-3,71,22.4904
-3,72,16.3625
-3,73,16.50452
-3,74,16.3625
-2,71,16.46244
-2,72,22.49829
-2,73,16.37039
-2,74,22.4378
-1,71,22.48251
-1,72,22.46673
-1,73,22.44832
-1,74,22.443060000000003
0,71,16.67547
0,72,10.32928
0,73,16.50452
0,74,22.45884
1,71,16.69388
1,72,10.25301
1,73,10.65277
1,74,10.071539999999999
2,71,16.649169999999998
2,72,22.44832
2,73,16.538710000000002
2,74,22.40887
3,71,16.359869999999997
3,72,22.450950000000002
3,73,22.45358
3,74,16.236259999999998
4,71,22.47199
4,72,16.26519
4,73,16.31253
4,74,10.05576
5,71,16.26256
5,72,22.44043
5,73,16.249409999999997
5,74,10.13992
6,71,16.30464
6,72,16.236259999999998
6,73,22.32471
6,74,15.794419999999999
7,71,22.456210000000002
7,72,22.37205
7,73,10.302980000000002
7,74,3.87526
8,71,16.20996
8,72,22.14587
8,73,3.87
9,71,22.21688
9,72,3.87
10,71,3.87
13,67,9.91637
12,67,16.26782
12,68,9.861139999999999
11,67,22.456210000000002
11,68,22.374679999999998
11,69,16.09161
11,70,3.87526
10,67,22.47199
10,68,16.52819
10,69,22.40887
10,70,22.20636
9,67,10.13466
9,68,22.46936
9,69,16.71755
9,70,22.41413
8,67,16.32831
8,68,20.699370000000002
8,69,16.346719999999998
8,70,10.40029
7,67,16.40984
7,68,16.25993
7,69,22.46147
7,70,22.479879999999998
6,67,16.71229
6,68,16.28623
6,69,22.48777
6,70,10.22671
5,67,22.49829
5,68,16.549229999999998
5,69,22.4904
5,70,16.330940000000002
4,67,22.479879999999998
4,68,22.47462
4,69,22.47725
4,70,22.47462
3,67,10.04524
3,68,22.464100000000002
3,69,22.48251
3,70,22.48777
2,67,22.47199
2,68,22.47725
2,69,22.48514
2,70,22.49303
1,67,22.45884
1,68,22.47462
1,69,16.82538
1,70,22.49566
0,67,22.450950000000002
0,68,22.44569
0,69,22.46147
0,70,22.46936
-1,67,22.443060000000003
-1,68,22.443060000000003
-1,69,16.98055
-1,70,16.26256
-2,67,22.44043
-2,68,22.44043
-2,69,22.456210000000002
-2,70,22.47199
-3,67,16.47559
-3,68,22.443060000000003
-3,69,20.39692
-3,70,22.47462
-4,67,16.5203
-4,68,22.4378
-4,69,22.456210000000002
-4,70,22.47462
-5,67,16.457179999999997
-5,68,22.44832
-5,69,22.464100000000002
-5,70,16.3362
-6,67,22.45358
-6,68,22.44043
-6,69,22.44832
-6,70,22.464100000000002
-7,67,16.52556
-7,68,16.3625
-7,69,22.50618
-7,70,16.28623
-8,67,22.52459
-8,68,22.52722
-8,69,10.195149999999998
-8,70,22.56404
-9,67,22.52985
-9,68,16.4677
-9,69,22.55089
-9,70,22.56667
-10,67,22.50618
-10,68,22.50618
-10,69,22.51407
-10,70,22.52196
-11,67,22.46936
-11,68,16.2573
-11,69,16.49137
-11,70,22.450950000000002
-12,67,22.43254
-12,68,22.41939
-12,69,22.40098
-12,70,22.39046
-13,67,10.0242
-13,68,22.37994
-13,69,16.44666
-13,70,22.41676
-14,67,22.40361
-14,68,16.233629999999998
-14,69,16.27834
-14,70,22.369419999999998
-15,67,22.42465
-15,68,16.31253
-15,69,22.33523
-15,70,22.20636
-16,67,22.40098
-16,68,16.19944
-16,69,10.08206
-16,70,15.8891
-17,67,16.338829999999998
-17,68,16.08372
-17,69,9.88744
-18,67,22.0696
-21,63,15.95485
-20,63,22.28263
-20,64,10.100470000000001
-20,65,9.87955
-19,63,10.05839
-19,64,16.18892
-19,65,16.37565
-19,66,15.98115
-18,63,16.19418
-18,64,22.36153
-18,65,22.35364
-18,66,22.27211
-17,63,10.384509999999999
-17,64,22.41939
-17,65,22.39835
-17,66,16.19681
-16,63,16.236259999999998
-16,64,16.55186
-16,65,22.41939
-16,66,22.41939
-15,63,22.443060000000003
-15,64,22.42465
-15,65,22.42991
-15,66,16.228369999999998
-14,63,16.24678
-14,64,22.443060000000003
-14,65,16.754369999999998
-14,66,22.41413
-13,63,16.5203
-13,64,22.42991
-13,65,22.4378
-13,66,22.4378
-12,63,22.47199
-12,64,22.456210000000002
-12,65,22.464100000000002
-12,66,10.04787
-11,63,22.48251
-11,64,22.47725
-11,65,16.76752
-11,66,22.48777
-10,63,16.65969
-10,64,22.49303
-10,65,22.50881
-10,66,22.5167
-9,63,22.49829
-9,64,22.50355
-9,65,22.5167
-9,66,22.52985
-8,63,22.49829
-8,64,22.50092
-8,65,22.51407
-8,66,22.52985
-7,63,16.27045
-7,64,22.48251
-7,65,22.49303
-7,66,22.49829
-6,63,10.65803
-6,64,22.45884
-6,65,22.46673
-6,66,22.46147
-5,63,22.44832
-5,64,22.42728
-5,65,22.4378
-5,66,22.44043
-4,63,22.43254
-4,64,16.241519999999998
-4,65,16.58079
-4,66,22.43254
-3,63,22.44569
-3,64,22.443060000000003
-3,65,10.810569999999998
-3,66,16.25204
-2,63,16.228369999999998
-2,64,22.42202
-2,65,22.44043
-2,66,22.44043
-1,63,22.43517
-1,64,16.233629999999998
-1,65,22.443060000000003
-1,66,22.4378
0,63,22.42991
0,64,22.42991
0,65,22.4378
0,66,22.450950000000002
1,63,22.43517
1,64,16.24415
1,65,16.53082
1,66,16.49663
2,63,22.46147
2,64,22.46147
2,65,16.764889999999998
2,66,22.47462
3,63,16.63076
3,64,22.450950000000002
3,65,22.45358
3,66,22.47199
4,63,22.46147
4,64,22.46147
4,65,22.46673
4,66,16.69651
5,63,16.25993
5,64,16.2573
5,65,22.443060000000003
5,66,22.479879999999998
6,63,16.26256
6,64,4.31184
6,65,22.4904
6,66,22.50092
7,63,16.6255
7,64,22.48777
7,65,16.80697
7,66,22.49829
8,63,16.47033
8,64,16.759629999999998
8,65,22.50092
8,66,16.28886
9,63,16.26782
9,64,22.48251
9,65,16.31516
9,66,3.91208
10,63,22.50355
10,64,10.19778
10,65,3.91997
10,66,16.26782
11,63,16.28097
11,64,16.3625
11,65,22.47199
11,66,16.27045
12,63,16.27045
12,64,10.61069
12,65,22.48251
12,66,22.443060000000003
13,63,21.025489999999998
13,64,16.29938
13,65,22.42465
13,66,22.27474
14,63,22.49303
14,64,22.40361
14,65,22.172169999999998
14,66,3.87526
15,63,22.28263
15,64,9.94004
18,59,9.96371
17,59,16.3099
17,60,16.11528
17,61,3.87
16,59,3.98046
16,60,16.31253
16,61,16.44666
16,62,9.997900000000001
15,59,22.4904
15,60,22.479879999999998
15,61,22.48514
15,62,16.27834
14,59,22.47199
14,60,16.37565
14,61,22.49303
14,62,16.37039
13,59,22.49566
13,60,22.50355
13,61,22.50618
13,62,22.50355
12,59,22.4904
12,60,22.49303
12,61,16.60709
12,62,16.41247
11,59,16.2573
11,60,22.48251
11,61,16.64128
11,62,16.52556
10,59,16.2573
10,60,16.52819
10,61,22.48251
10,62,16.4677
9,59,22.46147
9,60,22.47725
9,61,16.76226
9,62,22.48514
8,59,22.46673
8,60,22.46147
8,61,22.47725
8,62,22.48251
7,59,10.279309999999999
7,60,22.46147
7,61,16.74911
