X,Y,Value
5,75,3.87
4,75,21.98807
4,76,3.87
3,75,22.19058
3,76,9.66915
2,75,22.27211
2,76,21.827640000000002
2,77,3.88052
1,75,16.15736
1,76,22.08801
1,77,9.6823
0,75,22.32471
0,76,22.16428
0,77,9.72701
-1,75,16.18366
-1,76,16.09424
-1,77,15.786529999999999
-2,75,22.33523
-2,76,14.787129999999998
-2,77,16.92532
-2,78,3.87
-3,75,16.16262
-3,76,22.21162
-3,77,21.74874
-3,78,3.87
-4,75,3.87
-4,76,16.131059999999998
-4,77,9.861139999999999
-5,75,22.3326
-5,76,9.97686
-5,77,3.87
-6,75,16.1521
-6,76,9.93478
-6,77,3.87
-10,75,3.88052
-15,71,5.61895
-14,71,22.59034
-14,72,3.87
-13,71,22.49303
-13,72,16.18892
-13,73,9.94267
-12,71,22.43517
-12,72,22.36679
-12,73,16.10476
-12,74,9.74016
-11,71,22.40624
-11,72,22.36153
-11,73,16.1521
-11,74,9.995270000000001
-10,71,10.103100000000001
-10,72,22.4115
-10,73,22.3852
-10,74,3.87
-9,71,22.44043
-9,72,22.42465
-9,73,22.23003
-8,71,22.450950000000002
-8,72,22.42991
-8,73,22.21425
-8,74,3.87
-7,71,22.443060000000003
-7,72,22.42991
-7,73,22.40098
-7,74,16.120540000000002
-6,71,16.228369999999998
-6,72,22.40887
-6,73,22.39835
-6,74,22.37205
-5,71,22.43517
-5,73,22.41413
-5,74,16.254669999999997
-4,71,16.3625
-4,72,16.28886
-4,73,22.43254
-4,74,3.99098
-3,71,16.36513
-3,73,22.32734
-3,74,22.41676
-2,71,22.41413
-2,72,16.43088
-2,73,22.4115
-2,74,22.4115
-1,71,10.29772
-1,72,22.40887
-1,73,22.42465
-1,74,22.4115
0,71,22.41413
0,72,22.4115
0,73,22.41939
0,74,22.40361
1,71,22.43254
1,72,22.42465
1,73,22.42991
1,74,16.27571
2,71,22.42728
2,72,22.41676
2,73,22.4115
2,74,16.19681
3,71,22.43254
3,72,16.21522
3,73,22.40887
3,74,22.369419999999998
4,71,22.42465
4,72,22.41413
4,73,22.39309
4,74,16.16525
5,71,22.43517
5,72,22.4115
5,73,16.19681
5,74,22.21162
6,71,22.42991
6,72,22.3852
6,73,22.29052
6,74,15.812830000000002
7,71,22.40887
7,72,22.32471
7,73,19.22394
7,74,3.87
8,71,10.01894
8,72,22.10116
8,73,3.88052
9,71,16.02323
9,72,3.87
10,71,3.88052
13,67,3.87526
12,67,22.3852
12,68,15.910140000000002
11,67,16.236259999999998
11,68,22.374679999999998
11,69,22.0959
10,67,22.46673
10,68,3.96731
10,69,21.97755
10,70,22.16165
9,67,22.44569
9,68,22.443060000000003
9,69,22.4378
9,70,22.38257
8,67,22.45884
8,68,10.41607
8,69,22.464100000000002
8,70,22.44043
7,67,22.43254
7,68,16.31253
7,69,22.4378
7,70,22.443060000000003
6,67,16.43351
6,68,22.42728
6,69,22.43517
6,70,22.44043
5,67,22.41939
5,68,22.41413
5,69,22.43254
5,70,16.29149
4,67,22.40887
4,68,22.4115
4,69,22.42991
4,70,16.3888
3,67,22.42991
3,68,16.22311
3,69,22.44569
3,70,22.44569
2,67,22.40624
2,68,22.40098
2,69,16.217850000000002
2,70,16.49663
1,67,22.40887
1,68,22.40098
1,69,22.40887
1,70,20.702
0,67,22.40098
0,68,22.39572
0,69,16.53608
0,70,16.42562
-1,67,22.42465
-1,68,16.217850000000002
-1,69,22.43517
-1,70,16.233629999999998
-2,67,22.40624
-2,68,22.39572
-2,69,22.18006
-2,70,22.41413
-3,67,16.21259
-3,68,22.39835
-3,69,22.41939
-3,70,10.0242
-4,67,22.40887
-4,68,16.444029999999998
-4,69,22.41939
-4,70,22.42465
-5,67,22.4115
-5,68,16.233629999999998
-5,69,22.41939
-5,70,22.42728
-6,67,10.02946
-6,68,22.41413
-6,69,22.42202
-6,70,16.225740000000002
-7,67,22.42728
-7,68,22.41413
-7,69,22.4378
-7,70,16.236259999999998
-8,67,16.36776
-8,68,16.31253
-8,69,16.28886
-8,70,16.23889
-9,67,16.225740000000002
-9,68,22.41939
-9,69,16.22311
-9,70,22.42728
-10,67,22.43517
-10,68,16.22311
-10,69,22.42202
-10,70,22.4115
-11,67,22.46673
-11,68,22.464100000000002
-11,69,16.30464
-11,70,22.44569
-12,67,22.49829
-12,68,22.49566
-12,69,16.323050000000002
-12,70,22.48514
-13,67,16.37565
-13,68,22.52985
-13,69,22.55089
-13,70,16.30201
-14,67,22.57456
-14,68,22.59034
-14,69,22.62453
-14,70,16.38091
-15,67,22.54563
-15,68,16.28886
-15,69,19.37122
-15,70,10.087319999999998
-16,67,22.456210000000002
-16,68,22.40361
-16,69,16.11265
-16,70,9.961079999999999
-17,67,22.31682
-17,68,22.172169999999998
-17,69,9.91374
-18,67,19.47116
-21,63,3.87
-20,63,16.13369
-20,64,16.72018
-19,63,10.02683
-19,64,16.16788
-19,65,22.19847
-19,66,9.89533
-18,63,16.24415
-18,64,16.217850000000002
-18,65,22.35364
-18,66,9.97423
-17,63,16.29938
-17,64,10.03998
-17,65,22.42991
-17,66,22.39572
-16,63,22.47725
-16,64,16.31779
-16,65,22.49303
-16,66,22.49566
-15,63,22.50092
-15,64,10.110990000000001
-15,65,22.53774
-15,66,22.55089
-14,63,22.50618
-14,64,22.51407
-14,65,22.543
-14,66,16.42299
-13,63,22.49566
-13,64,22.49829
-13,65,22.51933
-13,66,16.30201
-12,63,22.46936
-12,64,22.47199
-12,65,22.48514
-12,66,22.49566
-11,63,22.456210000000002
-11,64,22.45358
-11,65,22.45884
-11,66,22.46936
-10,63,22.443060000000003
