X,Y,Value
13,299,3.874734
9,299,3.870263
9,300,17.02263
8,299,3.885517
8,300,17.022893
7,299,3.890777
6,299,3.8910400000000003
5,299,3.8899880000000002
4,299,3.893144
3,299,3.929438
3,300,3.879731
3,301,17.022893
2,299,3.8792050000000002
2,300,3.874997
2,301,17.023156
1,299,3.8826240000000003
1,300,3.8742080000000003
1,301,17.022893
0,299,3.885254
0,300,3.876049
0,301,17.022893
-1,299,3.891303
-1,301,17.022893
-2,299,3.878416
-2,301,17.02263
-3,299,3.8899880000000002
-3,301,17.022893
-4,299,3.887621
-4,300,3.873945
-4,301,17.023682
-5,299,3.889199
-5,300,3.875786
-5,301,17.02263
-6,299,3.88578
-6,300,3.877364
-6,301,17.02263
-7,299,3.886832
-7,300,3.879731
-7,301,17.023682
-8,299,3.878416
-8,300,3.8707890000000003
-8,301,17.023156
-9,299,3.892881
-9,301,17.023418999999997
-10,299,3.8910400000000003
-11,299,3.890251
-12,299,3.908398
-13,299,3.8899880000000002
-14,299,3.8910400000000003
-14,300,17.022893
-18,299,17.022104
-28,295,17.022367
-26,295,3.889199
-26,296,17.022893
-25,295,3.8897250000000003
-24,295,3.8910400000000003
-23,295,3.88841
-23,296,3.8742080000000003
-22,295,3.8910400000000003
-22,296,3.872893
-21,295,3.887621
-21,296,3.8718410000000003
-21,298,17.023156
-20,295,3.890514
-20,296,3.876049
-20,297,3.884728
-19,295,3.888936
-19,296,3.87263
-19,297,3.881046
-18,295,3.882098
-18,296,3.8899880000000002
-18,297,3.8765750000000003
-18,298,3.895511
-17,295,3.885254
-17,296,3.8755230000000003
-17,297,3.87526
-17,298,4.078296
-16,295,3.8849910000000003
-16,296,3.8765750000000003
-16,297,3.8742080000000003
-16,298,3.87
-15,295,3.870263
-15,296,3.8731560000000003
-15,297,3.871578
-15,298,3.873419
-14,295,3.887621
-14,296,3.881309
-14,297,3.882098
-14,298,3.875786
-13,295,3.886043
-13,296,3.874997
-13,297,3.875786
-13,298,3.870263
-12,295,3.8839390000000003
-12,296,3.875786
-12,297,3.874471
-12,298,3.870263
-11,295,3.885254
-11,296,3.87526
-11,297,3.873945
-11,298,3.87
-10,295,3.880783
-10,296,3.874997
-10,297,3.871578
-10,298,3.876049
-9,295,3.871578
-9,296,3.877101
-9,297,3.8731560000000003
-9,298,3.871052
-8,295,3.883676
-8,296,3.8755230000000003
-8,297,3.876049
-8,298,3.87
-7,295,3.881309
-7,296,3.884202
-7,297,3.8768380000000002
-7,298,3.871315
-6,295,3.874997
-6,296,3.872367
-6,297,3.871315
-6,298,3.871578
-5,295,3.8849910000000003
-5,296,3.876049
-5,297,3.874734
-5,298,3.871315
-4,295,17.02263
-4,296,3.8718410000000003
-4,297,3.874734
-4,298,3.880783
-3,295,3.882098
-3,296,3.878942
-3,297,3.8755230000000003
-3,298,3.872893
-2,295,3.874471
-2,296,3.8731560000000003
-2,297,3.971518
-2,298,3.871315
-1,295,3.8815720000000002
-1,296,3.8718410000000003
-1,297,3.871315
-1,298,17.023156
0,295,3.8910400000000003
0,296,3.876312
0,297,3.8768380000000002
0,298,3.876049
1,295,3.882887
1,296,3.8768380000000002
1,297,3.971518
1,298,3.874471
2,295,3.889199
2,296,3.879731
2,297,3.879994
2,298,3.87526
3,295,3.8849910000000003
3,296,3.877101
3,297,3.8755230000000003
3,298,17.022367
4,295,3.883676
4,296,3.8742080000000003
4,297,3.874734
4,298,3.870263
5,295,3.884202
5,296,3.873682
5,297,3.874471
5,298,3.8718410000000003
6,295,3.883413
6,296,3.873945
6,297,3.872104
6,298,3.877364
7,295,3.873945
7,296,3.8707890000000003
7,297,3.8755230000000003
7,298,3.877101
8,295,3.887621
8,296,3.8755230000000003
8,297,3.876312
8,298,3.871052
9,295,3.883676
9,296,3.8742080000000003
9,297,3.873682
9,298,3.87
10,295,3.884465
10,296,3.877101
10,297,3.876049
10,298,3.873945
11,295,3.88841
11,296,3.878416
11,297,3.878942
11,298,3.8765750000000003
12,295,3.8863060000000003
12,296,3.878153
12,297,3.874997
12,298,3.873945
13,295,3.887095
13,296,3.873945
13,297,3.878679
14,295,3.8873580000000003
14,296,3.8731560000000003
14,297,3.88578
15,295,3.882887
15,296,3.874734
15,297,3.878153
16,295,3.876049
16,296,3.882361
16,297,3.8765750000000003
16,298,17.022104
17,295,3.889199
17,296,3.871315
18,295,3.879468
18,296,3.8718410000000003
19,295,3.88841
19,297,17.022893
20,295,17.02263
21,295,3.9055050000000002
21,296,17.022893
23,295,17.021841
30,291,17.022104
29,291,17.021841
28,291,3.894985
28,292,17.023418999999997
27,291,3.887884
27,292,3.884202
26,291,3.890251
26,292,3.874997
25,291,3.886569
25,292,3.873419
25,294,17.021841
24,291,3.889199
24,292,3.8731560000000003
24,293,3.8802570000000003
23,291,3.891303
23,292,3.881046
23,293,3.88052
23,294,3.8718410000000003
22,291,3.884728
22,292,3.874734
22,293,3.903664
22,294,3.873945
21,291,3.883676
21,292,3.8768380000000002
21,293,3.874997
21,294,3.870263
20,291,3.882098
20,292,3.8731560000000003
20,293,3.8707890000000003
20,294,3.877364
19,291,3.876312
19,292,3.871578
19,293,3.875786
19,294,17.023156
18,291,3.8873580000000003
18,292,3.875786
18,293,3.87526
18,294,3.8718410000000003
17,291,3.8839390000000003
17,292,3.875786
17,293,3.8742080000000003
17,294,3.871578
16,291,3.8826240000000003
16,292,3.877364
16,293,3.874734
16,294,3.872104
15,291,3.884202
15,292,3.8765750000000003
15,293,3.8742080000000003
15,294,3.871052
14,291,3.884202
14,292,3.8755230000000003
14,293,3.873945
14,294,3.8707890000000003
13,291,17.022104
13,292,3.871315
13,293,3.96731
13,294,3.877101
12,291,3.8849910000000003
12,292,3.874471
12,293,3.872893
12,294,3.8755230000000003
11,291,3.882098
11,292,3.871052
11,293,3.872104
11,294,3.879994
10,291,3.888147
10,292,3.876312
10,293,3.876312
10,294,3.872104
9,291,3.88315
9,292,3.8742080000000003
9,293,3.873682
9,294,3.871315
8,291,3.896037
8,292,3.8755230000000003
8,293,3.8731560000000003
8,294,3.8718410000000003
7,291,3.8839390000000003
7,292,3.874734
7,293,3.968362
7,294,3.871315
6,291,3.882887
6,292,3.875786
6,293,3.874471
6,294,3.871315
5,291,3.88315
5,292,3.8778900000000003
5,293,3.876049
5,294,3.872104
4,291,3.8792050000000002
4,292,3.872893
4,293,3.872367
4,294,3.8707890000000003
3,291,3.8899880000000002
3,292,3.879468
3,293,3.8802570000000003
3,294,3.872893
2,291,3.889462
2,292,3.878679
2,293,3.879731
2,294,3.872893
1,291,3.884728
1,292,3.875786
1,293,3.873945
1,294,17.022367
0,291,3.889199
0,292,3.87526
0,293,3.8742080000000003
0,294,3.87263
-1,291,3.879731
-1,292,3.8707890000000003
-1,293,3.8707890000000003
-1,294,3.874734
-2,291,3.884728
-2,292,3.874734
-2,293,3.8718410000000003
-2,294,3.877364
-3,291,3.88578
-3,292,3.874997
-3,293,3.876312
-3,294,3.873419
-4,291,3.884202
-4,292,3.877101
-4,293,3.8742080000000003
-4,294,3.872367
-5,291,3.884202
-5,292,3.874997
-5,293,3.874734
-5,294,3.871315
-6,291,3.879731
-6,292,3.874734
-6,293,3.871315
-6,294,3.870263
-7,291,3.883413
-7,292,3.877101
-7,293,3.874997
-7,294,3.874734
-8,291,3.8778900000000003
-8,292,3.8731560000000003
-8,293,3.8707890000000003
-8,294,3.874471
-9,291,3.8863060000000003
-9,292,3.877101
-9,293,3.877101
-9,294,3.873945
-10,291,3.8863060000000003
-10,292,3.878153
-10,293,3.876049
-10,294,3.870526
-11,291,3.883413
-11,292,3.876312
-11,293,3.874734
-11,294,3.872104
-12,291,3.8849910000000003
-12,292,3.876049
-12,293,3.8742080000000003
-12,294,3.872367
-13,291,3.882887
-13,292,3.877101
-13,293,3.8718410000000003
-13,294,3.873682
-14,291,3.885254
-14,292,3.8742080000000003
-14,293,3.8718410000000003
-14,294,3.874997
-15,291,3.8755230000000003
-15,292,3.870526
-15,293,3.874734
-15,294,3.873945
-16,291,17.022104
-16,292,3.8765750000000003
-16,293,3.878153
-16,294,3.871315
-17,291,3.88578
-17,292,3.8742080000000003
-17,293,3.932331
-17,294,3.985983
-18,291,3.885254
-18,292,3.874997
-18,293,3.87526
-18,294,3.871315
-19,291,3.8849910000000003
-19,292,3.8839390000000003
-19,293,3.8742080000000003
-19,294,3.870526
-20,291,3.884728
-20,292,3.874997
-20,293,3.8755230000000003
-20,294,3.872367
-21,291,3.882887
-21,292,3.875786
-21,293,3.8742080000000003
-21,294,3.8718410000000003
-22,291,3.8839390000000003
-22,292,3.8755230000000003
-22,293,3.874471
-22,294,3.8731560000000003
-23,291,3.8897250000000003
-23,292,3.88052
-23,293,3.879468
-23,294,3.871315
-24,291,3.887621
-24,292,3.878942
-24,293,3.878416
-24,294,3.874471
-25,291,3.8863060000000003
-25,292,3.8765750000000003
-25,293,3.87526
-25,294,3.870263
-26,291,3.8849910000000003
-26,292,3.874734
-26,293,3.8742080000000003
-26,294,3.872367
-27,291,3.881309
-27,292,3.872367
-27,293,3.870263
-27,294,3.875786
-28,291,3.8849910000000003
-28,292,3.8742080000000003
-28,293,3.8742080000000003
-28,294,3.874471
-29,291,3.89367
-29,292,3.877101
-29,293,3.880783
-30,291,3.887095
-30,292,3.881046
-30,293,3.873682
-30,294,17.022893
-31,291,3.886043
-31,292,3.874734
-31,293,17.022893
-32,291,3.88841
-32,292,3.870263
-33,291,3.8957740000000003
-33,292,17.022367
-34,291,6.499737
-35,291,17.022367
-40,287,17.023156
-39,287,3.928386
-39,288,17.02263
-38,287,3.891566
-38,288,3.883413
-38,289,17.022367
-37,287,3.8923550000000002
-37,288,3.873945
-37,289,3.8792050000000002
-36,287,3.881309
-36,288,3.8707890000000003
-36,289,3.872367
-35,287,3.889199
-35,288,3.878153
-35,289,3.876312
-35,290,3.87
-34,287,3.887884
-34,288,3.874471
-34,289,3.878942
-34,290,3.878942
-33,287,3.881046
-33,288,3.874734
-33,289,3.874997
-33,290,3.8718410000000003
-32,287,3.88578
-32,288,3.874471
-32,289,3.873419
-32,290,3.87526
-31,287,3.884202
-31,288,3.8731560000000003
-31,289,3.87
-31,290,3.880783
-30,287,3.884728
-30,288,3.874997
-30,289,3.876312
-30,290,3.870263
-29,287,3.885254
-29,288,3.8765750000000003
-29,289,3.907346
-29,290,3.870526
-28,287,3.8839390000000003
-28,288,3.8768380000000002
-28,289,3.873419
-28,290,3.871315
-27,287,3.884202
-27,288,3.874997
-27,289,3.877364
-27,290,3.871052
-26,287,3.8849910000000003
-26,288,3.872893
-26,289,3.87
-26,290,3.8755230000000003
-25,287,3.884728
-25,288,3.873419
-25,289,3.88052
-25,290,3.987561
-24,287,3.877101
-24,288,3.8718410000000003
-24,289,3.872104
-24,290,3.972833
-23,287,3.887095
-23,288,3.876049
-23,289,3.8765750000000003
-23,290,3.872367
-22,287,3.885254
-22,288,3.876049
-22,289,3.8742080000000003
-22,290,3.871315
-21,287,3.882887
-21,288,3.878679
-21,289,3.87263
-21,290,3.870526
-20,287,3.884728
-20,288,3.87526
-20,289,3.874997
-20,290,3.87263
-19,287,3.880783
-19,288,3.871578
-19,289,3.8707890000000003
-19,290,3.873682
-18,287,3.885254
-18,288,3.8731560000000003
-18,289,3.872367
-18,290,3.877101
-17,287,3.8792050000000002
-17,288,3.8707890000000003
-17,289,3.87263
-17,290,3.8742080000000003
-16,287,3.8899880000000002
-16,288,3.8778900000000003
-16,289,3.877364
-16,290,3.872104
-15,287,3.883676
-15,288,3.8742080000000003
-15,289,3.872893
-15,290,3.871578
-14,287,3.884202
-14,288,3.874471
-14,289,3.921548
-14,290,3.8718410000000003
-13,287,3.880783
-13,288,3.875786
-13,289,3.873682
-13,290,3.87
-12,287,3.882887
-12,288,3.8768380000000002
-12,289,3.874997
-12,290,3.873945
-11,287,3.87526
-11,288,3.872104
-11,289,3.872893
-11,290,3.870526
-10,287,3.890251
-10,288,3.878942
-10,289,3.8802570000000003
-10,290,3.874997
-9,287,3.888936
-9,288,3.878679
-9,289,3.8792050000000002
-9,290,3.872893
-8,287,3.8849910000000003
-8,288,3.876312
-8,289,3.893144
-8,290,3.870526
-7,287,3.885254
-7,288,3.876049
-7,289,3.8755230000000003
-7,290,3.871578
-6,287,3.885254
-6,288,3.875786
-6,289,3.874997
-6,290,3.871315
-5,287,3.876049
-5,288,3.870526
-5,289,3.87526
-5,290,3.878416
-4,287,3.8886730000000003
-4,288,3.877364
-4,289,3.8768380000000002
-4,290,3.871052
-3,287,3.88841
-3,288,3.8768380000000002
-3,289,3.876049
-3,290,3.872893
-2,287,3.884202
-2,288,3.876049
-2,289,3.87526
-2,290,3.871052
-1,287,3.889462
-1,288,3.879468
-1,289,3.873945
-1,290,3.8718410000000003
0,287,3.890251
0,288,3.912343
0,289,3.874471
0,290,3.872367
1,287,3.878679
1,288,3.873682
1,289,3.87263
1,290,3.8707890000000003
2,287,3.888147
2,288,3.878153
2,289,3.8778900000000003
2,290,3.873682
3,287,3.884728
3,288,3.874997
3,289,3.874734
3,290,3.871315
4,287,3.884202
4,288,3.875786
4,289,3.873419
4,290,3.871578
5,287,3.882361
5,288,3.872893
5,289,3.870263
5,290,3.874471
6,287,3.882098
6,288,3.874734
6,289,3.873682
6,290,3.87526
7,287,3.889199
7,288,3.874997
7,289,3.878679
7,290,3.871315
8,287,3.886569
8,288,3.876049
8,289,3.8765750000000003
8,290,3.8718410000000003
9,287,3.885254
9,288,3.8755230000000003
9,289,3.874997
9,290,3.871315
10,287,3.884202
10,288,3.873682
10,289,3.873419
10,290,3.872893
11,287,3.884728
11,288,3.874734
11,289,3.873945
11,290,3.871315
12,287,3.884202
12,288,3.8755230000000003
12,289,3.873419
12,290,3.87
13,287,3.8886730000000003
13,288,3.878679
13,289,3.878416
13,290,3.873419
14,287,3.884728
14,288,3.8765750000000003
14,289,3.874997
14,290,3.872104
15,287,3.885254
15,288,3.8765750000000003
15,289,3.874997
15,290,3.8707890000000003
16,287,3.88578
16,288,3.87526
16,289,3.874471
16,290,3.872104
17,287,3.884202
17,288,3.8765750000000003
17,289,3.874734
17,290,3.872367
18,287,3.88052
18,288,3.872367
18,289,3.87
18,290,3.8768380000000002
19,287,3.887884
19,288,3.877101
19,289,3.878416
19,290,3.870263
20,287,3.8886730000000003
20,288,3.8768380000000002
20,289,3.878942
20,290,3.873945
21,287,3.884728
21,288,3.876312
21,289,3.876049
21,290,3.8718410000000003
22,287,3.884465
22,288,3.874471
22,289,3.873945
22,290,3.873419
23,287,3.8815720000000002
23,288,3.872104
23,289,3.871052
23,290,3.875786
24,287,3.8886730000000003
24,288,3.873682
24,289,3.8742080000000003
24,290,3.872367
25,287,3.8839390000000003
25,288,3.873945
25,289,3.874997
25,290,3.872104
26,287,3.883413
26,288,3.873945
26,289,3.872893
26,290,3.87263
27,287,3.885254
27,288,3.874734
27,289,3.8742080000000003
27,290,3.8718410000000003
28,287,3.8815720000000002
28,288,3.874734
28,289,3.874471
28,290,3.87
29,287,3.884202
29,288,3.8765750000000003
29,289,3.87526
29,290,3.872367
30,287,3.88841
30,288,3.8731560000000003
30,289,3.878679
31,287,3.890514
31,288,3.88052
31,289,3.881835
31,290,17.023156
32,287,3.890251
32,288,3.871052
33,287,3.887095
33,288,3.873945
33,289,17.022893
34,287,3.9328570000000003
34,288,17.023156
40,283,17.022367
39,283,3.9460070000000003
39,284,17.022104
38,283,12.747302000000001
38,284,3.88315
38,285,17.022893
37,283,3.884465
37,284,3.882361
37,285,3.8947220000000002
37,286,17.023156
36,283,3.882887
36,284,3.874997
36,285,3.878416
36,286,17.023156
35,283,3.8815720000000002
35,284,3.8718410000000003
35,285,3.8742080000000003
35,286,3.8707890000000003
34,283,3.886832
34,284,3.8765750000000003
34,285,3.8765750000000003
34,286,3.870263
33,283,3.924178
33,284,3.875786
33,285,3.873945
33,286,3.872893
32,283,3.884465
32,284,3.874471
32,285,3.872893
32,286,3.871052
31,283,3.884202
31,284,3.874734
31,285,3.874734
31,286,3.872104
30,283,3.881835
30,284,3.875786
30,285,3.8731560000000003
30,286,3.871315
29,283,3.8826240000000003
29,284,3.874471
29,285,17.02263
29,286,3.871315
28,283,3.877101
28,284,3.878153
28,285,3.870263
28,286,3.876049
27,283,3.888147
27,284,3.8768380000000002
27,285,3.878942
27,286,3.87526
26,283,3.8863060000000003
26,284,3.8768380000000002
26,285,3.8765750000000003
26,286,3.8742080000000003
25,283,3.885517
25,284,3.877364
25,285,3.87526
25,286,3.8718410000000003
24,283,3.884728
24,284,3.874734
24,285,3.873945
24,286,3.871578
23,283,3.882098
23,284,3.873945
23,285,3.8718410000000003
23,286,3.874471
22,283,3.883676
22,284,3.875786
22,285,3.874734
22,286,3.8718410000000003
21,283,3.884465
21,284,3.8755230000000003
21,285,3.873419
21,286,3.870526
20,283,3.8839390000000003
20,284,3.874734
20,285,3.8742080000000003
20,286,3.871052
19,283,3.882887
19,284,3.874734
19,285,3.873419
19,286,3.870263
18,283,3.879994
18,284,3.8755230000000003
18,285,3.87263
18,286,3.8707890000000003
17,283,3.879468
17,284,3.874734
17,285,3.871052
17,286,3.8707890000000003
16,283,3.881309
16,284,3.874997
16,285,3.874471
16,286,3.8707890000000003
15,283,3.88315
15,284,3.877101
15,285,3.874734
15,286,3.871315
14,283,3.884202
14,284,3.877101
14,285,3.87526
14,286,3.872104
13,283,3.87526
13,284,3.871315
13,285,3.871052
13,286,3.870263
12,283,3.879994
12,284,3.873945
12,285,3.87
12,286,3.875786
11,283,3.890251
11,284,3.877627
11,285,3.879994
11,286,3.873419
10,283,3.8873580000000003
10,284,3.877364
10,285,3.876312
10,286,3.874471
9,283,3.886569
9,284,3.877101
9,285,3.876312
9,286,3.873682
8,283,3.884728
8,284,3.874471
8,285,3.873682
8,286,3.871578
7,283,3.892881
7,284,3.8839390000000003
7,285,3.87526
7,286,3.871315
6,283,3.885517
6,284,3.876312
6,285,3.8755230000000003
6,286,3.8718410000000003
5,283,3.8849910000000003
5,284,3.87526
5,285,3.874734
5,286,3.870263
4,283,3.883413
4,284,3.8742080000000003
4,285,3.873945
4,286,3.873419
3,283,3.887621
3,284,3.8768380000000002
3,285,3.988613
3,286,3.87263
2,283,3.8815720000000002
2,284,3.877101
2,285,3.8731560000000003
2,286,3.871578
1,283,3.8792050000000002
1,284,3.8755230000000003
1,285,3.872104
1,286,3.870526
0,283,3.88315
0,284,3.87526
0,285,3.874734
0,286,3.870526
-1,283,3.884728
-1,284,3.8765750000000003
-1,285,3.875786
-1,286,3.872104
-2,283,3.883676
-2,284,17.022893
-2,285,3.874997
-2,286,3.8718410000000003
-3,283,3.873945
-3,284,3.871315
-3,285,3.8731560000000003
-3,286,3.872367
-4,283,3.8849910000000003
-4,284,3.878153
-4,285,3.878153
-4,286,3.873682
-5,283,3.889462
-5,284,3.878679
-5,285,3.8802570000000003
-5,286,3.874471
-6,283,3.887095
-6,284,3.877364
-6,285,3.8765750000000003
-6,286,3.8765750000000003
-7,283,3.88578
-7,284,3.875786
-7,285,3.874997
-7,286,3.87263
-8,283,3.8849910000000003
-8,284,3.874471
-8,285,3.873945
-8,286,3.871052
-9,283,3.881046
-9,284,3.875786
-9,285,3.873419
-9,286,3.872104
-10,283,3.8839390000000003
-10,284,3.873682
-10,285,3.8742080000000003
-10,286,3.8731560000000003
-11,283,3.879994
-11,284,3.872893
-11,285,3.870263
-11,286,3.87526
-12,283,3.8826240000000003
-12,284,3.873682
-12,285,3.871315
-12,286,3.8765750000000003
-13,283,3.902349
-13,284,3.8768380000000002
-13,285,3.8731560000000003
-13,286,3.8768380000000002
-14,283,3.883676
-14,284,3.872893
-14,285,3.872104
-14,286,3.8755230000000003
-15,283,3.8849910000000003
-15,284,3.874997
-15,285,3.87263
-15,286,3.874997
-16,283,3.8755230000000003
-16,284,3.870526
-16,285,3.873945
-16,286,3.872893
-17,283,3.879994
-17,284,3.871315
-17,285,3.872893
-17,286,3.880783
-18,283,3.889462
-18,284,3.8778900000000003
-18,285,3.8768380000000002
-18,286,3.8768380000000002
-19,283,3.887095
-19,284,3.8768380000000002
-19,285,3.876312
-19,286,3.903927
-20,283,3.8873580000000003
-20,284,3.877101
-20,285,3.8755230000000003
-20,286,3.8718410000000003
-21,283,3.885254
-21,284,3.876049
-21,285,3.874471
-21,286,3.8718410000000003
-22,283,3.88578
-22,284,3.876312
-22,285,3.873419
-22,286,17.022367
-23,283,3.885254
-23,284,3.874997
-23,285,3.874997
-23,286,3.8731560000000003
-24,283,3.8849910000000003
-24,284,3.874734
-24,285,3.87526
-24,286,3.8718410000000003
-25,283,3.8792050000000002
-25,284,3.874471
-25,285,3.8707890000000003
-25,286,3.870263
-26,283,3.8802570000000003
-26,284,3.874997
-26,285,3.873945
-26,286,3.87263
-27,283,3.8839390000000003
-27,284,3.8765750000000003
-27,285,3.87526
-27,286,3.8718410000000003
-28,283,3.884202
-28,284,3.8765750000000003
-28,285,3.874734
-28,286,3.872104
