X,Y,Value
9,99,17.02
8,99,17.02
7,99,3.87263
6,99,3.874997
6,100,17.02
5,99,3.8768380000000002
5,100,4.015439
4,99,3.877364
4,100,3.8707890000000003
4,101,17.02
3,99,3.8778900000000003
3,100,3.976778
3,101,17.02
2,99,4.327094
2,100,17.019737
2,101,5.185526
1,99,17.02
1,100,3.87263
1,101,17.02
0,99,3.878153
0,100,3.875786
0,101,3.877101
-1,99,3.877627
-1,100,3.8765750000000003
-1,101,3.879731
-1,102,17.019211
-2,99,3.877627
-2,100,3.875786
-2,101,3.879731
-2,102,17.02
-3,99,3.877627
-3,100,3.936013
-3,101,17.02
-3,102,17.02
-4,99,3.8768380000000002
-4,100,5.536894
-4,101,17.019211
-4,102,17.02
-5,99,3.8768380000000002
-5,100,3.873419
-5,101,3.879994
-5,102,17.02
-6,99,3.886043
-6,100,3.87263
-6,101,17.02
-6,102,17.02
-7,99,4.249246
-7,100,17.020789
-7,101,3.876312
-7,102,17.02
-8,99,4.042528
-8,100,3.876312
-8,101,3.926545
-8,102,17.019737
-9,99,3.878153
-9,100,3.875786
-9,101,3.87526
-9,102,17.02
-10,99,3.877364
-10,100,3.8742080000000003
-10,101,3.986246
-11,99,3.8765750000000003
-11,100,3.8755230000000003
-11,101,3.876049
-12,99,3.8765750000000003
-12,100,3.874734
-12,101,3.9412730000000002
-13,99,3.8768380000000002
-13,100,3.890777
-13,101,17.017896
-14,99,17.02
-14,100,4.325516
-14,101,17.02
-15,99,17.018947999999998
-15,100,17.019737
-16,99,4.003604
-16,100,17.02
-17,99,17.019737
-17,100,17.02
-18,99,3.883676
-19,99,17.02
-26,95,17.02
-25,95,3.872367
-24,95,3.916814
-24,96,17.02
-23,95,3.876312
-23,96,3.871052
-23,97,17.02
-22,95,17.02
-22,96,17.02263
-22,97,17.02
-21,95,3.877627
-21,96,3.8707890000000003
-21,97,3.8792050000000002
-21,98,17.02
-20,95,17.019737
-20,96,3.876049
-20,97,4.039372
-20,98,3.889199
-19,95,17.019737
-19,96,3.874471
-19,97,4.001763
-19,98,17.02
-18,95,17.019474
-18,96,3.876049
-18,97,3.881835
-18,98,4.031219
-17,95,3.877364
-17,96,17.019211
-17,97,3.88052
-17,98,17.019737
-16,95,3.878416
-16,96,17.019737
-16,97,3.8815720000000002
-16,98,17.019474
-15,95,3.877627
-15,96,17.019474
-15,97,3.881309
-15,98,17.019474
-14,95,3.877364
-14,96,17.02
-14,97,3.88052
-14,98,3.8778900000000003
-13,95,3.8778900000000003
-13,96,3.8742080000000003
-13,97,3.879731
-13,98,17.017107
-12,95,3.877627
-12,96,3.8755230000000003
-12,97,3.879994
-12,98,3.871578
-11,95,3.876049
-11,96,3.875786
