X,Y,Value
0,103,17.021052
-1,103,17.02263
-2,103,17.021314999999998
-3,103,17.021841
-4,103,4.031745
-5,103,4.108278
-6,103,3.904716
-7,103,3.87
-8,103,17.022104
-9,103,17.021578
-10,103,17.020526
-11,103,17.021578
-12,103,17.021841
-20,99,4.40652
-19,99,17.021578
-19,100,17.022367
-18,99,17.022104
-18,100,17.022367
-17,99,3.871578
-17,100,17.02263
-16,99,3.871315
-16,100,3.887621
-15,99,3.8707890000000003
-15,100,3.939169
-14,99,3.872367
-14,100,3.990717
-14,101,3.926282
-13,99,3.872367
-13,100,3.875786
-13,101,3.877101
-13,102,17.026575
-12,99,4.190597
-12,100,3.878679
-12,101,3.8815720000000002
-12,102,17.022367
-11,99,3.8994560000000003
-11,100,3.888147
-11,101,3.876312
-11,102,3.904716
-10,99,3.8731560000000003
-10,100,3.8765750000000003
-10,101,3.870526
-10,102,3.908135
-9,99,3.872367
-9,101,3.877627
-9,102,17.02263
-8,99,3.8768380000000002
-8,100,17.023945
-8,101,3.883676
-8,102,3.902086
-7,99,3.87263
-7,100,3.878416
-7,101,3.878679
-7,102,3.905768
-6,99,3.870526
-6,100,3.877101
-6,101,3.879994
-6,102,3.9052420000000003
-5,99,3.872104
-5,100,3.8768380000000002
-5,101,3.876312
-5,102,3.895511
-4,99,3.870263
-4,100,3.8792050000000002
-4,101,3.8742080000000003
-4,102,3.90156
-3,99,3.8755230000000003
-3,100,3.8792050000000002
-3,101,3.879731
-3,102,17.023156
-2,99,3.873945
-2,100,3.878679
-2,101,3.8768380000000002
-2,102,3.899719
-1,99,3.871578
-1,100,3.878153
-1,101,3.875786
-1,102,3.903927
0,99,3.870526
0,100,3.8755230000000003
0,101,3.880783
0,102,3.907346
1,99,17.02263
1,100,3.878942
1,101,3.876049
1,102,3.902349
2,99,3.8718410000000003
2,100,3.8802570000000003
2,101,17.022104
2,102,17.02263
3,99,3.871315
3,100,3.878416
3,101,3.877101
3,102,17.023418999999997
4,99,3.870526
4,100,3.884202
4,101,3.902612
5,99,3.873682
5,100,3.885254
5,101,17.023418999999997
6,99,3.872367
6,100,3.886569
6,101,17.02263
7,99,17.012899
7,100,17.023418999999997
8,99,3.87263
8,100,17.022104
9,99,17.021578
15,95,17.021578
14,95,3.9972920000000003
13,95,3.872367
13,96,17.020789
12,95,3.870263
12,96,3.878679
12,97,17.021578
11,95,3.8742080000000003
11,96,3.879468
11,97,3.8826240000000003
11,98,17.02263
10,95,3.87263
10,96,3.875786
10,97,3.872893
10,98,3.902612
9,95,4.366807
9,96,3.877627
9,97,3.882361
9,98,17.023156
8,95,3.8718410000000003
8,96,3.877101
8,97,3.878153
8,98,3.903664
7,95,3.878942
7,96,3.88052
7,97,3.879731
7,98,3.910502
6,95,3.871578
6,96,3.8768380000000002
6,97,3.875786
6,98,3.9018230000000003
5,95,3.8815720000000002
5,96,3.879731
5,97,3.88052
5,98,3.904453
4,95,17.021314999999998
4,96,3.887621
4,97,3.877627
4,98,3.903664
3,95,3.873419
3,96,3.898667
3,97,3.882361
3,98,3.906031
2,95,3.8792050000000002
2,96,3.884465
2,97,3.9925580000000003
2,98,3.9018230000000003
1,95,3.8742080000000003
1,96,3.884202
1,97,17.023156
1,98,3.9052420000000003
0,95,3.871578
0,96,3.877627
0,97,3.878416
0,98,17.023682
-1,95,3.8707890000000003
-1,96,3.888936
-1,97,3.874471
-1,98,3.8970890000000002
-2,95,3.871315
-2,96,3.8899880000000002
-2,97,3.8792050000000002
-2,98,3.893144
-3,95,3.871315
-3,96,3.884202
-3,97,17.021578
-3,98,3.8994560000000003
-4,95,3.870263
-4,96,3.8873580000000003
-4,97,3.876312
-4,98,3.898404
-5,95,3.870526
-5,96,3.8755230000000003
-5,97,3.878153
-5,98,3.905768
-6,95,3.87526
-6,96,3.884728
-6,97,3.8886730000000003
-6,98,3.9005080000000003
-7,95,3.871578
-7,96,3.886569
-7,97,3.8765750000000003
-7,98,3.895248
-8,95,3.873419
-8,96,3.8849910000000003
-8,97,17.022104
-8,98,3.899193
-9,95,17.021578
-9,96,3.887884
-9,97,3.875786
-9,98,3.896563
-10,95,3.8742080000000003
-10,96,3.88052
-10,97,3.9052420000000003
-10,98,3.9078720000000002
-11,95,3.871315
-11,96,3.886569
-11,97,3.878942
-11,98,3.8981410000000003
-12,95,3.870526
-12,96,3.885517
-12,97,3.8768380000000002
-12,98,3.898667
-13,95,3.871315
-13,96,3.88841
-13,97,3.966521
-13,98,3.909187
-14,95,3.870263
-14,96,3.8863060000000003
-14,97,3.8742080000000003
-14,98,3.904453
-15,95,3.8815720000000002
-15,96,3.878942
-15,97,3.877101
-15,98,3.904453
-16,95,17.022367
-16,96,3.8765750000000003
-16,97,3.887621
-16,98,3.938643
-17,95,3.871578
-17,96,3.876312
-17,97,3.902086
-17,98,3.902349
-18,95,3.884728
-18,96,3.88052
-18,97,3.876049
-18,98,3.903138
-19,95,3.8755230000000003
-19,96,3.881046
-19,97,3.8792050000000002
-19,98,3.9005080000000003
-20,95,17.020789
-20,96,3.877627
-20,97,3.878679
-20,98,3.9055050000000002
-21,95,3.871315
-21,96,3.878942
-21,97,3.8768380000000002
-21,98,3.893933
-22,95,3.8731560000000003
-22,96,3.8755230000000003
-22,97,3.879468
-22,98,17.023156
-23,95,3.870263
-23,96,17.021841
-23,97,3.9638910000000003
-24,96,17.021578
-25,95,3.879468
-26,95,17.022104
-30,91,17.021314999999998
-29,91,3.871052
-29,92,17.023156
-28,91,3.871052
-28,92,3.882361
-28,93,17.021578
-27,91,3.8718410000000003
-27,92,3.873945
-27,93,3.877364
-27,94,17.02263
-26,91,3.872367
-26,92,3.878942
-26,93,3.877101
-26,94,3.903927
-25,91,3.87263
-25,92,3.877364
-25,93,3.87263
