X,Y,Value
4,55,82.77
3,55,4.24609
2,55,4.25661
1,55,5.06139
0,55,6.3685
-1,55,10.95785
-2,55,10.97363
-3,55,10.97363
-4,55,9.971599999999999
-5,55,4.25398
-6,55,4.26187
-7,55,4.25661
-22,51,4.2487200000000005
-21,51,10.37399
-20,51,10.384509999999999
-19,51,22.79811
-19,52,4.17771
-18,51,35.41422
-18,52,10.46867
-17,51,41.789339999999996
-17,52,10.481819999999999
-17,53,4.18297
-16,51,41.72622
-16,52,10.379249999999999
-16,53,4.17771
-15,51,41.389579999999995
-15,52,10.171479999999999
-15,53,4.18823
-14,51,39.91415
-14,52,10.13729
-14,53,4.21453
-13,51,15.933809999999998
-13,54,4.17771
-12,51,4.26187
-12,54,4.18034
-11,51,10.11888
-10,51,33.09456
-10,52,10.11888
-9,51,40.650549999999996
-9,52,39.60118
-9,53,10.0242
-9,54,4.19086
-8,51,41.34487
-8,52,40.984559999999995
-8,53,28.16594
-8,54,9.86903
-7,51,35.26957
-7,52,41.2423
-7,53,34.85666
-7,54,30.76701
-6,51,41.40799
-6,52,41.2423
-6,53,41.10028
-6,54,34.71727
-5,51,41.405359999999995
-5,52,41.260709999999996
-5,53,41.092389999999995
-5,54,40.83202
-4,51,41.42377
-4,52,41.287009999999995
-4,53,41.13972999999999
-4,54,34.698859999999996
-3,51,29.13904
-3,52,35.119659999999996
-3,53,41.189699999999995
-3,54,40.908289999999994
-2,51,41.47374
-2,52,41.36590999999999
-2,53,41.20810999999999
-2,54,34.81458
-1,51,35.27483
-1,52,41.39220999999999
-1,53,40.92932999999999
-1,54,34.83562
0,51,41.405359999999995
0,52,41.20810999999999
0,53,41.13184
0,54,40.963519999999995
1,51,41.45533
1,52,41.12920999999999
1,53,40.747859999999996
1,54,40.91355
2,51,41.23441
2,52,35.032869999999996
2,53,41.20810999999999
2,54,22.54037
3,51,35.28535
3,52,34.73831
3,53,34.99342
3,54,16.42299
4,51,41.000339999999994
4,52,41.2686
4,53,40.79257
4,54,16.44929
5,51,28.84711
5,52,35.19067
5,53,40.963519999999995
5,54,16.4151
6,51,29.04699
6,52,41.16602999999999
6,53,34.8777
6,54,10.22671
7,51,41.379059999999996
7,52,35.0881
7,53,40.44278
7,54,10.195149999999998
8,51,41.329089999999994
8,52,41.11606
8,53,28.26588
8,54,4.19349
9,51,35.12755
9,52,40.784679999999994
9,53,16.41773
9,54,4.18297
10,51,40.89514
10,52,34.8514
10,53,16.38617
11,51,35.043389999999995
11,52,34.71727
11,53,10.100470000000001
12,51,28.810290000000002
12,52,28.44209
12,53,4.20927
13,51,34.612069999999996
13,52,16.32042
14,51,28.52625
14,52,7.48362
15,51,16.41773
15,52,4.17771
16,51,16.25993
17,51,4.25661
18,51,82.77
24,47,16.494
23,47,16.61761
23,48,4.19086
22,47,40.6111
22,48,16.3362
22,49,82.77
21,47,40.419109999999996
21,48,22.45358
21,49,4.18034
20,47,34.92241
20,48,34.622589999999995
20,49,16.22048
20,50,82.77
19,47,41.02663999999999
19,48,40.8215
19,49,22.34838
19,50,4.18034
18,47,35.00131
18,48,34.81984
18,49,40.498009999999994
18,50,16.241519999999998
17,47,41.163399999999996
17,48,40.31390999999999
17,49,40.69
17,50,28.152790000000003
16,47,35.12228999999999
16,48,40.753119999999996
16,49,40.55060999999999
16,50,40.18241
15,47,35.13807
15,48,35.27483
15,49,34.83036
15,50,34.69096999999999
14,47,35.15648
14,48,40.97667
14,49,34.88296
14,50,28.720869999999998
13,47,29.08118
13,48,34.10711
13,49,35.00131
13,50,41.00823
12,47,41.40799
12,48,35.248529999999995
12,49,41.005599999999994
12,50,35.069689999999994
11,47,35.280089999999994
11,48,35.188039999999994
11,49,35.1407
11,50,41.21337
10,47,41.48952
10,48,40.96615
10,49,41.31068
10,50,41.265969999999996
9,47,35.31165
9,48,35.24064
9,49,35.18015
9,50,35.23538
8,47,41.502669999999995
8,48,41.43429
8,49,35.20908
8,50,41.34224
7,47,41.3475
7,48,35.30113
7,49,35.25116
7,50,34.86192
6,47,41.56052999999999
6,48,41.476369999999996
6,49,41.460589999999996
6,50,35.26168
5,47,41.578939999999996
5,48,35.29587
5,49,41.43955
5,50,35.216969999999996
4,47,41.578939999999996
4,48,41.45269999999999
4,49,41.10554
4,50,41.43692
3,47,35.36425
3,48,29.22057
3,49,35.32217
3,50,41.431659999999994
2,47,41.58157
2,48,41.5053
2,49,41.45795999999999
2,50,41.41850999999999
1,47,35.36688
1,48,35.34321
1,49,41.492149999999995
1,50,35.238009999999996
0,47,35.42473999999999
0,48,41.49477999999999
0,49,41.47374
0,50,41.44743999999999
-1,47,41.605239999999995
-1,48,41.5053
-1,49,35.2459
-1,50,35.29324
-2,47,41.58682999999999
-2,48,41.49477999999999
-2,49,41.476369999999996
-2,50,41.405359999999995
-3,47,41.589459999999995
-3,48,41.5053
-3,49,41.465849999999996
-3,50,41.23967
-4,47,41.58682999999999
-4,48,40.952999999999996
-4,49,41.43429
-4,50,41.41850999999999
-5,47,41.594719999999995
-5,48,35.1407
-5,49,41.465849999999996
-5,50,41.394839999999995
-6,47,41.39747
-6,48,41.49477999999999
-6,49,41.40799
-6,50,41.308049999999994
-7,47,41.481629999999996
-7,48,41.22652
-7,49,35.23538
-7,50,41.39220999999999
-8,47,41.563159999999996
-8,48,41.45269999999999
-8,49,41.43429
-8,50,41.426399999999994
-9,47,41.46847999999999
-9,48,41.215999999999994
-9,49,41.48952
-9,50,41.410619999999994
-10,47,41.58682999999999
-10,48,41.502669999999995
-10,49,41.45007
-10,50,40.995079999999994
-11,47,41.55264
-11,48,41.184439999999995
-11,49,40.61899
-11,50,34.335919999999994
-12,47,41.55527
-12,48,35.398439999999994
