X,Y,Value
3,103,17.02263
2,103,3.871052
1,103,3.871052
0,103,3.871052
-1,103,3.87
-1,104,17.020789
-2,103,17.017633
-2,104,17.022367
-3,103,3.87263
-3,104,3.8899880000000002
-4,103,3.87263
-4,104,3.887095
-5,103,3.873682
-5,104,3.891829
-6,103,3.870526
-6,104,3.888147
-7,103,4.490943
-7,104,17.021314999999998
-8,103,3.870263
-8,104,17.021052
-9,103,3.877101
-9,104,17.020526
-10,103,3.8731560000000003
-10,104,17.021314999999998
-11,103,3.871052
-12,103,17.022104
-21,99,3.87263
-20,99,3.872367
-20,100,17.022104
-19,99,3.874997
-19,100,3.885517
-18,99,3.876049
-18,100,3.874997
-18,101,17.021578
-17,99,3.877364
-17,100,3.880783
-17,101,3.928912
-16,99,3.873945
-16,100,17.021314999999998
-13,99,3.881309
-13,100,3.89893
-13,101,17.022893
-13,102,17.021314999999998
-12,99,3.871052
-12,100,3.870263
-12,101,3.8792050000000002
-12,102,3.874734
-11,99,3.871315
-11,100,3.871578
-11,101,3.894459
-11,102,3.876049
-10,99,3.87263
-10,100,3.8718410000000003
-10,101,3.8768380000000002
-10,102,3.882098
-9,99,3.876312
-9,100,3.87263
-9,101,3.934435
-9,102,3.87263
-8,99,3.877627
-8,100,3.8755230000000003
-8,101,3.885254
-8,102,3.877101
-7,99,3.875786
-7,100,3.874997
-7,101,3.88578
-7,102,3.874997
-6,99,3.87263
-6,100,3.872367
-6,101,3.88315
-6,102,3.87
-5,99,3.873419
-5,100,3.87263
-5,101,3.881309
-5,102,3.870526
-4,99,3.889462
-4,100,3.8707890000000003
-4,101,3.871578
-4,102,3.873419
-3,99,3.9055050000000002
-3,100,3.876049
-3,101,3.878679
-2,99,3.874734
-2,100,3.878679
-2,101,3.88315
-1,99,3.872104
-1,100,3.872367
-1,101,3.882361
-1,102,3.872367
0,99,3.87526
0,100,3.874997
0,101,3.884465
0,102,3.8768380000000002
1,99,3.873945
1,100,3.872367
1,101,3.874734
1,102,3.876312
2,99,3.870263
2,100,3.870526
2,101,3.900771
2,102,3.8765750000000003
3,99,3.871052
3,100,3.8718410000000003
3,101,17.021052
3,102,3.87263
4,99,3.871052
4,100,3.870526
4,101,3.884202
4,102,4.03832
5,99,3.872893
5,100,3.8731560000000003
5,101,3.88315
5,102,3.870526
6,99,3.875786
6,100,3.877364
6,101,3.882098
6,102,17.022104
7,99,3.874734
7,100,3.8742080000000003
7,101,3.871052
8,99,3.873945
8,100,3.873419
8,101,17.020526
9,99,3.870526
9,100,3.8839390000000003
10,99,3.907346
11,99,17.021314999999998
16,95,17.022104
15,95,3.873419
15,96,17.020789
14,95,3.87263
14,96,3.881046
13,95,3.873682
13,96,3.877101
13,97,3.879994
12,95,3.8815720000000002
12,96,3.874471
12,97,3.890251
12,98,3.871315
11,95,3.876312
11,96,3.872893
11,97,3.886832
11,98,3.872367
10,95,3.874471
10,96,3.87263
10,97,3.883676
10,98,3.870526
9,95,3.8718410000000003
9,96,3.870263
9,97,3.881309
9,98,3.877101
8,95,3.872893
8,96,3.87263
8,97,17.021578
8,98,3.870263
7,95,3.873945
7,96,3.876049
7,97,3.9578420000000003
7,98,3.872893
6,95,3.870263
6,96,3.882098
6,97,3.964154
6,98,3.871578
5,95,3.874997
5,96,3.872367
5,97,3.874997
5,98,3.878679
4,95,3.875786
4,96,3.878416
4,97,3.9733590000000003
4,98,3.871315
3,95,3.8731560000000003
3,96,4.743949
3,97,3.88841
3,98,3.87526
2,95,3.870526
2,96,3.88315
2,97,3.8792050000000002
2,98,3.871315
1,95,3.870526
1,96,3.88052
1,97,3.8815720000000002
1,98,3.8718410000000003
0,95,3.87263
0,96,3.873945
0,97,3.8768380000000002
0,98,3.872893
-1,95,3.874997
-1,96,3.877101
-1,97,3.8778900000000003
-1,98,3.872367
-2,95,3.8707890000000003
-2,96,3.881309
-2,97,3.883676
-2,98,3.874734
-3,95,3.87263
-3,96,3.878416
-3,97,3.883676
-3,98,3.870263
-4,95,3.871052
-4,96,3.879731
-4,97,3.8826240000000003
-4,98,3.870526
-5,95,3.87263
-5,96,3.8718410000000003
-5,97,3.880783
-5,98,3.871315
-6,95,3.871578
-6,96,3.8792050000000002
-6,97,3.8826240000000003
-6,98,3.871052
-7,95,3.871052
-7,96,3.878679
-7,97,3.8815720000000002
-7,98,3.870263
-8,95,3.870263
-8,96,3.879994
-8,97,3.88315
-8,98,3.8707890000000003
-9,95,3.871315
-9,96,3.879731
-9,97,3.883676
-9,98,3.871052
-10,95,3.875786
-10,96,3.872104
-10,97,3.875786
-10,98,3.884202
-11,95,3.873945
-11,96,3.874471
-11,97,3.878679
-11,98,3.870526
-12,95,3.87263
-12,96,3.872104
-12,97,3.883676
-12,98,3.8707890000000003
-13,95,3.872104
-13,96,3.87526
-13,97,3.8826240000000003
-13,98,3.873682
-14,95,3.872367
-14,96,3.873682
-14,97,3.88315
-14,98,3.877101
-15,95,3.874471
-15,96,3.871578
-15,97,3.873945
-15,98,17.021841
-16,95,3.870526
-16,96,3.872893
-16,97,3.88315
-16,98,3.871578
-17,95,3.872104
-17,96,3.873419
-17,97,3.882361
-17,98,3.8707890000000003
-18,95,3.871315
-18,96,3.872367
-18,97,3.881309
-18,98,3.871578
-19,95,3.8731560000000003
-19,96,3.873682
-19,97,3.885254
-19,98,3.871052
-20,95,3.876312
-20,96,3.874471
-20,97,3.88578
-20,98,3.8778900000000003
-21,95,3.870263
-21,96,3.872367
-21,97,3.8792050000000002
-21,98,3.8826240000000003
-22,95,3.872104
-22,96,3.8731560000000003
-22,97,3.8826240000000003
-22,98,3.873419
-23,95,3.875786
-23,96,17.021314999999998
-23,97,3.887095
-23,98,17.022893
-24,95,17.022893
-24,96,3.874471
-24,97,17.021052
-25,95,3.881046
-25,96,3.8873580000000003
-26,95,3.8731560000000003
-30,91,3.8768380000000002
-29,91,3.878942
-29,92,3.890514
-28,91,3.87
-28,92,3.877627
-28,93,3.8947220000000002
-27,91,3.873945
-27,92,3.873682
-27,93,3.885517
-27,94,3.8849910000000003
-26,91,3.8742080000000003
-26,92,3.871315
-26,93,3.873682
-26,94,3.874734
-25,91,3.87263
-25,92,3.8742080000000003
-25,93,3.8826240000000003
-25,94,3.872367
-24,91,3.87526
-24,92,3.871315
-24,93,3.874734
-24,94,3.873682
-23,91,3.878153
-23,92,3.878416
-23,93,3.906294
-23,94,3.877101
-22,91,3.8718410000000003
-22,92,3.8765750000000003
-22,93,3.8826240000000003
-22,94,3.878153
-21,91,3.878679
-21,92,3.884202
-21,93,3.8863060000000003
-21,94,3.879468
-20,91,3.8718410000000003
-20,92,3.8718410000000003
-20,93,3.881309
-20,94,3.87263
-19,91,3.870263
-19,92,3.8778900000000003
-19,93,3.882361
-19,94,3.871052
-18,91,3.872893
-18,92,3.88052
-18,93,3.885517
-18,94,3.873419
-17,91,3.87263
-17,92,3.878942
-17,93,3.8826240000000003
-17,94,3.870263
-16,91,3.877364
-16,92,3.88052
-16,93,3.884465
-16,94,3.8718410000000003
-15,91,3.873945
-15,92,3.870526
-15,93,3.8839390000000003
-15,94,3.872367
-14,91,3.871052
-14,92,3.874734
-14,93,3.891829
-14,94,3.871052
-13,91,3.873682
-13,92,17.020263
-13,93,3.879731
-13,94,3.873682
-12,91,3.873945
-12,92,3.8802570000000003
-12,93,3.883413
-12,94,3.8731560000000003
-11,91,3.871052
-11,92,3.878153
-11,93,3.882098
-11,94,3.871315
-10,91,3.873419
-10,92,3.87263
-10,93,3.910502
-10,94,3.870526
-9,91,3.872893
-9,92,3.8802570000000003
-9,93,3.8778900000000003
-9,94,3.871578
-8,91,3.871578
-8,92,3.877364
-8,93,3.881309
-8,94,3.870526
-7,91,3.871578
-7,92,3.877627
-7,93,17.018159
-7,94,3.871578
-6,91,3.870526
-6,92,3.878416
-6,93,3.881835
-6,94,3.870526
-5,91,3.8765750000000003
-5,92,3.873419
-5,93,3.8742080000000003
-5,94,3.88315
-4,91,3.8707890000000003
-4,92,3.878416
-4,93,3.8815720000000002
-4,94,17.021052
-3,91,3.871578
-3,92,3.878942
-3,93,3.88841
-3,94,3.876049
-2,91,3.87263
-2,92,3.878416
-2,93,3.884728
-2,94,3.8718410000000003
-1,91,3.8707890000000003
-1,92,3.8778900000000003
-1,93,3.881309
-1,94,3.87263
0,91,3.877364
0,92,3.872893
0,93,3.872104
0,94,3.870526
1,91,3.870526
1,92,3.879468
1,93,3.883413
1,94,3.870526
2,91,3.871578
2,92,3.878416
2,93,3.882887
2,94,3.870526
3,91,3.874734
3,92,3.88052
3,93,3.877364
3,94,3.872367
4,91,3.8707890000000003
4,92,3.878416
4,93,3.883676
4,94,3.870263
5,91,3.870263
5,92,3.873945
5,93,3.8802570000000003
5,94,3.871052
6,91,3.8718410000000003
6,92,3.878679
6,93,3.8802570000000003
6,94,3.8742080000000003
7,91,3.874734
7,92,3.8768380000000002
7,93,3.878416
7,94,3.874471
8,91,3.871052
8,92,3.8778900000000003
8,93,3.880783
8,94,3.875786
9,91,3.8778900000000003
9,92,3.874471
9,93,3.87263
9,94,3.8792050000000002
10,91,3.8742080000000003
10,92,3.87263
10,93,3.882361
10,94,3.870263
11,91,3.873945
11,92,3.878416
11,93,3.885254
11,94,3.8742080000000003
12,91,3.873682
12,92,3.870263
12,93,3.8768380000000002
12,94,3.876049
13,91,3.874734
13,92,3.874734
13,93,3.8849910000000003
13,94,3.897615
14,91,3.8718410000000003
14,92,3.873419
14,93,3.8826240000000003
14,94,3.8707890000000003
15,91,3.876312
15,92,3.873945
15,93,3.886832
15,94,3.874734
16,91,3.871052
16,92,3.8742080000000003
16,93,3.8718410000000003
16,94,3.8707890000000003
17,91,3.872104
17,92,3.8731560000000003
17,93,17.021314999999998
17,94,17.022104
18,91,3.872104
18,92,3.873682
18,93,17.021314999999998
19,91,3.872367
19,92,17.021052
20,91,17.022893
23,87,3.871578
23,88,17.022893
22,87,3.874734
22,88,3.873419
22,89,17.021314999999998
21,87,3.878942
21,88,3.876049
21,89,3.88578
21,90,17.02
20,87,3.874997
20,88,3.8742080000000003
20,89,3.884728
20,90,3.878942
19,87,3.875786
19,88,17.021314999999998
19,89,3.887621
19,90,3.872104
18,87,3.871052
18,88,3.8707890000000003
18,89,3.878416
18,90,3.8778900000000003
17,87,3.878679
17,88,3.878942
17,89,3.901297
17,90,3.872367
16,87,3.871578
16,88,3.878942
16,89,3.8826240000000003
16,90,3.87526
15,87,3.874734
15,88,3.873945
15,89,3.885517
15,90,3.878153
14,87,3.870526
14,88,3.879731
14,89,3.882361
14,90,3.8707890000000003
13,87,3.871315
13,88,3.879731
13,89,3.878942
13,90,3.870526
12,87,3.8731560000000003
12,88,3.881835
12,89,3.885254
12,90,3.8755230000000003
11,87,3.875786
11,88,3.8815720000000002
11,89,3.887621
11,90,3.8778900000000003
10,87,3.8731560000000003
10,88,3.8742080000000003
10,89,3.8826240000000003
10,90,3.871578
9,87,3.870526
9,88,3.878153
9,89,3.881046
9,90,3.870526
8,87,3.8718410000000003
8,88,3.8815720000000002
8,89,3.879731
8,90,3.8742080000000003
7,87,3.871052
7,88,3.879731
7,89,3.881046
7,90,3.873945
6,87,3.870263
6,88,3.878679
6,89,3.879468
6,90,3.8731560000000003
5,87,3.872104
5,88,3.8731560000000003
5,89,3.88315
5,90,3.870526
4,87,3.873682
4,88,3.875786
4,89,3.878679
4,90,3.874734
3,87,3.872367
3,88,3.8792050000000002
3,89,3.878679
3,90,3.870263
2,87,3.8707890000000003
2,88,3.882098
2,89,3.880783
2,90,3.870263
1,87,3.8707890000000003
1,88,3.878942
1,89,3.879731
1,90,3.870526
0,87,3.8707890000000003
0,88,3.872893
0,89,3.878153
0,90,3.875786
-1,87,3.8731560000000003
-1,88,3.879468
-1,89,3.884465
-1,90,3.873419
-2,87,3.87526
-2,88,3.879731
-2,89,3.886569
-2,90,3.874471
-3,87,3.873945
-3,88,3.879468
-3,89,3.886569
-3,90,3.873682
-4,87,3.870526
-4,88,3.878942
-4,89,3.884202
-4,90,3.8718410000000003
-5,87,3.872893
-5,88,3.8731560000000003
-5,89,3.881309
-5,90,3.870526
-6,87,3.875786
-6,88,3.879994
-6,89,3.882887
-6,90,3.870263
-7,87,3.878942
-7,88,3.8765750000000003
-7,89,3.8718410000000003
-7,90,3.8778900000000003
-8,87,3.873945
-8,88,3.883676
-8,89,3.8863060000000003
-8,90,3.878416
-9,87,3.870263
-9,88,3.8792050000000002
-9,89,3.881835
-9,90,3.8731560000000003
-10,87,3.871578
-10,88,17.021314999999998
-10,89,3.878679
-10,90,3.8765750000000003
-11,87,3.8742080000000003
-11,88,3.8755230000000003
-11,89,3.878416
-11,90,3.876312
-12,87,3.870263
-12,88,3.8802570000000003
-12,89,3.881835
-12,90,3.872104
-13,87,3.870526
-13,88,3.878679
-13,89,3.8815720000000002
-13,90,3.870526
-14,87,3.874471
-14,88,3.878416
-14,89,3.882098
-14,90,3.872104
-15,87,3.878679
-15,88,3.8778900000000003
-15,89,3.886832
-15,90,3.88052
