X,Y,Value
-26,69,17.02
-25,69,3.8778900000000003
-25,70,17.02
-24,69,3.88052
-24,70,3.88315
-23,69,3.88315
-23,70,3.88052
-23,71,17.02
-22,69,3.87263
-22,70,3.88315
-22,71,3.87526
-22,72,17.02
-21,69,3.87526
-21,70,3.87263
-21,71,3.87263
-21,72,3.94101
-20,69,3.87526
-20,70,3.87263
-20,71,3.88578
-20,72,3.88052
-20,73,17.02
-19,69,3.8778900000000003
-19,70,17.02
-19,71,3.8778900000000003
-19,72,3.87526
-19,73,3.93575
-18,69,3.8778900000000003
-18,70,3.87263
-18,71,3.8778900000000003
-18,72,3.9041900000000003
-18,73,17.02
-17,69,3.88052
-17,70,3.93575
-17,71,17.02
-17,72,17.02
-17,73,17.02
-16,69,3.9436400000000003
-16,70,17.02
-16,71,17.02
-15,69,17.02
-15,70,17.02
-15,71,17.02
-14,69,17.02
-14,70,17.02
-14,71,17.02
-13,69,17.02
-13,70,17.02
-13,71,17.02
-12,69,3.88052
-12,70,3.8778900000000003
-12,71,17.02
-12,72,17.02
-11,69,17.02
-11,70,3.87263
-11,71,3.8778900000000003
-11,72,17.02
-11,73,4.01991
-11,74,17.02
-11,75,17.02
-11,76,17.02
-10,69,17.02
-10,70,17.02
-10,71,3.87263
-10,72,17.02
-10,73,3.8778900000000003
-10,74,3.88052
-10,75,4.17245
-10,76,17.02
-9,69,17.02
-9,70,3.8778900000000003
-9,71,3.88052
-9,72,3.87263
-9,73,3.88052
-9,74,3.8778900000000003
-9,75,17.02
-9,76,3.88578
-8,69,3.87526
-8,70,3.87526
-8,71,3.88052
-8,72,3.88315
-8,73,3.8778900000000003
-8,74,3.87526
-8,75,3.8778900000000003
-8,76,3.88052
-7,69,3.87526
-7,70,17.02
-7,71,3.8778900000000003
-7,72,17.02
-7,73,3.87526
-7,74,3.88052
-7,75,3.88052
-7,76,3.88052
-6,69,3.87526
-6,70,3.8778900000000003
-6,71,3.87526
-6,72,3.8778900000000003
-6,73,17.02
-6,74,3.8778900000000003
-6,75,3.87526
-6,76,3.8778900000000003
-5,69,3.8778900000000003
-5,70,3.87263
-5,71,3.8778900000000003
-5,72,3.87263
-5,73,3.8778900000000003
-5,74,3.88052
-5,75,3.87263
-5,76,3.8778900000000003
-4,69,3.88052
-4,70,3.88315
-4,71,3.8778900000000003
-4,72,3.8778900000000003
-4,73,3.87526
-4,74,3.87526
-4,75,3.8778900000000003
-4,76,17.02
-3,69,3.88052
-3,70,3.88315
-3,71,3.87526
-3,72,3.8778900000000003
