X,Y,Value
-11,75,3.9173400000000003
-7,75,9.900590000000001
-7,76,3.92786
-6,75,22.04856
-6,76,15.828609999999998
-6,77,9.803279999999999
-5,75,16.01008
-5,76,21.93547
-5,77,9.81906
-4,75,22.0696
-4,76,21.95125
-4,77,9.83221
-3,75,16.06268
-3,76,21.94336
-3,77,9.84536
-3,78,3.90682
-2,75,22.07223
-2,76,15.96274
-2,77,9.83747
-2,78,3.9041900000000003
-1,75,22.09327
-1,76,16.26256
-1,77,9.863769999999999
-1,78,3.9041900000000003
0,75,16.12317
0,76,21.97229
0,77,9.863769999999999
1,75,22.08012
1,76,21.95125
1,77,9.74279
2,75,22.07486
2,76,15.8891
2,77,3.90682
3,75,22.00911
3,76,9.83747
4,75,15.918030000000002
4,76,3.90945
5,75,9.83747
10,71,3.9226
9,71,22.06434
9,72,3.90682
8,71,22.16428
8,72,16.47033
8,73,3.90682
7,71,22.18795
7,72,22.08012
7,73,15.920659999999998
7,74,3.9041900000000003
6,71,22.21951
6,72,22.18269
6,73,22.05645
6,74,9.88481
5,71,22.26685
5,72,22.23529
5,73,16.09161
5,74,22.01174
4,71,22.28263
4,72,22.258960000000002
4,73,22.20899
4,74,22.10905
3,71,22.26948
3,72,22.25107
3,73,22.227400000000003
3,74,22.16165
2,71,16.149469999999997
2,72,22.23529
2,73,16.11791
2,74,22.16691
1,71,22.23003
1,72,22.22477
1,73,22.21162
1,74,22.172169999999998
0,71,22.21688
0,72,22.19847
0,73,22.19584
0,74,22.16165
-1,71,22.2011
-1,72,16.28097
-1,73,16.254669999999997
-1,74,16.2573
-2,71,22.19847
-2,72,22.1748
-2,73,22.16954
-2,74,16.044269999999997
-3,71,22.19847
-3,72,22.17743
-3,73,22.16691
-3,74,16.052159999999997
-4,71,22.21951
-4,72,22.2011
-4,73,16.08372
-4,74,22.14587
-5,71,22.22477
-5,72,22.18269
-5,73,22.16428
-5,74,16.08898
-6,71,22.21951
-6,72,22.18006
-6,73,22.153760000000002
-6,74,16.131059999999998
-7,71,22.25107
-7,72,22.21951
-7,73,22.16691
-7,74,21.90917
-8,71,22.24318
-8,72,22.00122
-8,73,9.95319
-9,71,9.968969999999999
-9,72,3.9226
-9,73,3.90682
-10,71,16.15999
-10,72,15.85491
-10,73,9.74542
-11,71,22.42728
-11,72,16.29412
-11,73,9.93215
-11,74,9.795390000000001
-12,71,16.2836
-12,72,22.4378
-12,73,22.24318
-12,74,9.81643
-13,71,22.31156
-13,72,16.17051
-13,73,9.94793
-14,71,22.051190000000002
-14,72,9.89533
-15,71,9.87955
-18,67,15.815459999999998
-18,68,9.82695
-17,67,21.99859
-17,68,21.79082
-17,69,9.81117
-16,67,16.13369
-16,68,22.03278
-16,69,21.864459999999998
-16,70,3.9041900000000003
-15,67,22.19584
