X,Y,Value
3,103,17.021841
2,103,3.8742080000000003
1,103,3.891829
0,103,3.875786
-1,103,3.879468
-1,104,17.021841
-2,103,3.886569
-2,104,17.023156
-3,103,3.877101
-3,104,13.565494999999999
-4,103,3.9362760000000003
-4,104,3.89893
-5,103,3.877364
-5,104,3.966521
-6,103,3.874997
-6,104,3.8863060000000003
-7,103,3.873682
-7,104,3.983616
-8,103,3.876049
-8,104,17.022104
-9,103,17.021841
-9,104,17.021578
-10,103,3.871052
-10,104,17.021841
-11,103,3.873682
-11,104,17.022367
-12,103,3.942851
-13,103,17.026838
-22,99,17.021314999999998
-21,99,17.022104
-20,99,3.871578
-20,100,4.626125
-19,99,17.022893
-19,100,17.021841
-14,99,3.8707890000000003
-14,100,3.881046
-14,101,17.022367
-13,99,3.872367
-13,100,3.8765750000000003
-13,101,3.8778900000000003
-13,102,3.903401
-12,99,3.87526
-12,100,3.884465
-12,101,3.880783
-12,102,3.89893
-11,99,3.873945
-11,100,3.879731
-11,101,3.878679
-11,102,17.022367
-10,99,3.872893
-10,100,3.878153
-10,101,3.8839390000000003
-10,102,3.901034
-9,99,17.021841
-9,100,3.877364
-9,101,3.878416
-9,102,3.882098
-8,99,17.02263
-8,100,17.022367
-8,101,3.877101
-8,102,3.900245
-7,99,3.8815720000000002
-7,100,3.8755230000000003
-7,101,3.873682
-7,102,3.9041900000000003
-6,99,3.8718410000000003
-6,100,3.8778900000000003
-6,101,3.8778900000000003
-6,102,3.9052420000000003
-5,99,3.8718410000000003
-5,100,3.876049
-5,101,3.8802570000000003
-5,102,3.904716
-4,99,3.873945
-4,100,3.871578
-4,101,3.871315
-4,102,17.022104
-3,99,3.87263
-3,100,3.877627
-3,101,3.878153
-3,102,3.904716
-2,99,3.871578
-2,100,3.8755230000000003
-2,101,3.876049
-2,102,3.909187
-1,99,3.895511
-1,100,3.887621
-1,101,3.877364
-1,102,3.902612
0,99,3.873945
0,100,3.8792050000000002
0,101,3.8792050000000002
0,102,4.0301670000000005
1,99,3.872893
1,100,3.8778900000000003
1,101,3.873945
1,102,3.904453
2,99,3.87526
2,100,3.8826240000000003
2,101,3.879468
2,102,5.17448
3,99,3.881835
3,100,3.8792050000000002
3,101,3.884465
3,102,3.886832
4,99,3.873419
4,100,3.878416
4,101,3.8802570000000003
4,102,3.897615
5,99,3.874734
5,100,3.877101
5,101,3.877627
5,102,17.023156
6,99,3.871578
6,100,3.875786
6,101,3.886832
6,102,17.023156
7,99,3.872104
7,100,17.021578
7,101,17.021578
8,99,3.871578
8,100,3.8839390000000003
9,99,3.872893
9,100,17.022893
10,99,3.922863
11,99,17.021578
16,95,17.02263
15,95,17.02263
15,96,17.022104
14,95,3.876049
14,96,3.9949250000000003
13,95,3.8765750000000003
13,96,3.894459
13,97,3.899982
12,95,3.871052
12,96,3.874471
12,97,3.8765750000000003
12,98,17.023418999999997
11,95,3.87263
11,96,3.876049
11,97,3.871578
11,98,3.9055050000000002
10,95,3.872104
10,96,3.8765750000000003
10,97,3.877627
10,98,3.9052420000000003
9,95,3.872367
9,96,3.878153
9,97,3.875786
9,98,3.8994560000000003
8,95,3.879731
8,96,3.8778900000000003
8,97,3.8755230000000003
8,98,3.9089240000000003
7,95,3.874471
7,96,3.8934070000000003
7,97,3.8792050000000002
7,98,3.909713
6,95,3.899719
6,96,3.894196
6,97,4.032534
6,98,3.902086
5,95,17.021841
5,96,3.8778900000000003
5,97,3.878153
5,98,3.902086
4,95,3.871578
4,96,3.880783
4,97,3.875786
4,98,3.905768
3,95,3.870263
3,96,3.885517
3,97,3.874471
3,98,3.897878
2,95,3.871315
2,96,17.022367
2,97,3.873945
2,98,3.898404
1,95,3.872104
1,96,3.885517
1,97,3.874997
1,98,3.897878
0,95,3.872893
0,96,3.876312
0,97,3.87263
0,98,3.907346
-1,95,3.87263
-1,96,3.884728
-1,97,3.873682
-1,98,3.898404
-2,95,3.8731560000000003
-2,96,3.88841
-2,97,3.8765750000000003
-2,98,3.896563
-3,95,3.871315
-3,96,3.888936
-3,97,3.875786
-3,98,3.896037
-4,95,3.8742080000000003
-4,96,3.888936
-4,97,3.878942
-4,98,3.893933
-5,95,3.873419
-5,96,3.881835
-5,97,3.876049
-5,98,3.8963
-6,95,3.8707890000000003
-6,96,3.887884
-6,97,3.878942
-6,98,3.898667
-7,95,3.871578
-7,96,3.88578
-7,97,3.874471
-7,98,3.9005080000000003
-8,95,3.873945
-8,96,3.8849910000000003
-8,97,17.022367
-8,98,17.022367
-9,95,3.872104
-9,96,3.8863060000000003
-9,97,3.872893
-9,98,3.897352
-10,95,3.8731560000000003
-10,96,3.8731560000000003
-10,97,3.871315
-10,98,17.02526
-11,95,3.874471
-11,96,3.883413
-11,97,3.887884
-11,98,3.907609
-12,95,17.022104
-12,96,3.8778900000000003
-12,97,3.877101
-12,98,3.9065570000000003
-13,95,3.87263
-13,96,3.8778900000000003
-13,97,3.877101
-13,98,3.9041900000000003
-14,95,3.870526
-14,96,3.879994
-14,97,3.876049
-14,98,3.90682
-15,95,3.872367
-15,96,3.878942
-15,97,3.871315
-15,98,3.904979
-16,95,3.871578
-16,96,3.877627
-16,97,3.881309
-16,98,17.023418999999997
-17,95,3.872104
-17,96,3.883676
-17,97,3.8863060000000003
-18,95,3.87263
-18,96,3.874734
-18,97,3.8718410000000003
-18,98,17.021841
-19,95,3.872367
-19,96,3.8768380000000002
-19,97,3.875786
-19,98,3.9055050000000002
-20,95,3.871578
-20,96,3.878153
-20,97,3.874997
-20,98,3.907346
-21,95,3.8923550000000002
-21,96,3.879994
-21,97,3.878679
-21,98,3.901297
-22,95,3.871315
-22,96,3.878942
-22,97,3.878679
-22,98,3.9052420000000003
-23,95,3.872893
-23,96,3.881046
-23,97,4.044369
-23,98,17.023418999999997
-24,95,3.919181
-24,96,3.885517
-24,97,3.946533
-25,95,3.871052
-25,96,3.959946
-26,95,3.877364
-27,95,17.021578
-31,91,17.022367
-30,91,3.87263
-30,92,17.021841
-29,91,3.874471
-29,92,3.883413
-29,93,17.022104
-28,91,3.872104
-28,92,3.88052
-28,93,17.022367
-28,94,17.023156
-27,91,3.870526
-27,92,3.8778900000000003
-27,93,3.874471
-27,94,17.022893
-26,91,3.8755230000000003
-26,92,3.8826240000000003
-26,93,3.88052
-26,94,3.90156
-25,91,3.871578
-25,92,3.878942
-25,93,3.8755230000000003
-25,94,3.904716
-24,91,3.8731560000000003
-24,92,3.879994
-24,93,3.882361
-24,94,3.906031
-23,91,3.870263
-23,92,3.882098
-23,93,3.931016
-23,94,3.904453
-22,91,3.8707890000000003
-22,92,3.884728
-22,93,3.875786
-22,94,3.899193
-21,91,3.870263
-21,92,3.8863060000000003
-21,93,3.874471
-21,94,3.900771
-20,91,3.872893
-20,92,3.8802570000000003
-20,93,3.879994
-20,94,3.906031
-19,91,3.871052
-19,92,3.884202
-19,93,3.873682
-19,94,3.897352
-18,91,3.878942
-18,92,3.881309
-18,93,4.089868
-18,94,3.91208
-17,91,3.896826
-17,92,3.8792050000000002
-17,93,3.8765750000000003
-17,94,3.904716
-16,91,3.881046
-16,92,3.892092
-16,93,3.979671
-16,94,3.907609
-15,91,3.872104
-15,92,3.8768380000000002
-15,93,3.8768380000000002
-15,94,3.90682
-14,91,3.870526
-14,92,3.887095
-14,93,17.021841
-14,94,3.897352
-13,91,3.874734
-13,92,3.889199
-13,93,3.8765750000000003
-13,94,3.896563
-12,91,3.871578
-12,92,3.884202
-12,93,3.873419
-12,94,3.9005080000000003
-11,91,8.177150999999999
-11,92,3.8873580000000003
-11,93,3.874997
-11,94,3.896563
-10,91,3.87526
-10,92,3.881835
-10,93,3.8792050000000002
-10,94,3.904979
-9,91,3.8731560000000003
-9,92,3.8873580000000003
-9,93,3.874734
-9,94,3.900245
-8,91,3.8707890000000003
-8,92,3.887095
-8,93,3.874997
-8,94,3.896826
-7,91,3.871315
-7,92,3.887884
-7,93,3.873419
-7,94,3.897352
-6,91,3.87263
-6,92,3.886569
-6,93,3.87263
-6,94,3.897878
-5,91,3.8768380000000002
-5,92,3.879731
-5,93,3.877627
-5,94,3.9065570000000003
-4,91,3.8707890000000003
-4,92,3.889199
-4,93,3.873682
-4,94,3.899982
-3,91,3.8718410000000003
-3,92,3.886043
-3,93,3.875786
-3,94,3.8981410000000003
-2,91,3.8707890000000003
-2,92,3.886832
-2,93,3.873945
-2,94,3.897615
-1,91,3.870526
-1,92,3.887621
-1,93,3.873682
-1,94,3.899193
0,91,3.872367
0,92,3.878416
0,93,3.876312
0,94,3.907083
1,91,3.871315
1,92,3.885254
1,93,3.874471
1,94,3.901297
2,91,3.8707890000000003
2,92,3.885517
2,93,3.87263
2,94,3.897615
3,91,3.8707890000000003
3,92,3.886043
3,93,3.8742080000000003
3,94,3.899193
4,91,3.87263
4,92,3.884728
4,93,3.8718410000000003
4,94,3.899982
5,91,3.874997
5,92,3.877101
5,93,3.873419
5,94,3.905768
6,91,3.8755230000000003
6,92,3.887095
6,93,3.878679
6,94,3.895511
7,91,3.870526
7,92,3.886832
7,93,3.87526
7,94,3.901034
8,91,3.871052
8,92,3.88578
8,93,3.8742080000000003
8,94,3.8981410000000003
9,91,3.871578
9,92,6.512361
9,93,3.8742080000000003
9,94,3.898404
10,91,3.870263
10,92,3.8755230000000003
10,93,3.902349
10,94,3.904453
11,91,4.445181
11,92,3.890514
11,93,3.873682
11,94,3.89893
12,91,3.891303
12,92,3.893933
12,93,3.97783
12,94,3.909976
13,91,3.966521
13,92,3.878679
13,93,3.8778900000000003
13,94,3.9041900000000003
14,91,3.873945
14,92,3.8778900000000003
14,93,3.87526
14,94,3.90682
15,91,3.873945
15,92,3.873945
15,93,3.872367
15,94,3.9089240000000003
16,91,3.871315
16,92,3.877101
16,93,3.875786
16,94,3.9041900000000003
17,91,3.872367
17,92,3.879994
17,93,3.891303
17,94,17.023682
18,91,3.873419
18,92,17.021841
18,93,17.020526
19,91,3.881046
19,92,17.022104
20,91,17.021052
23,87,17.022367
22,87,3.871315
22,88,4.032271
21,87,3.8718410000000003
21,88,3.879731
21,89,3.9005080000000003
21,90,17.022367
20,87,3.873682
20,88,3.878942
20,89,3.8768380000000002
20,90,3.903138
19,87,3.871315
19,88,3.878679
19,89,3.8765750000000003
19,90,3.9065570000000003
18,87,3.872367
18,88,3.878153
18,89,3.8778900000000003
18,90,3.9041900000000003
17,87,3.8731560000000003
17,88,3.874997
17,89,3.871578
17,90,17.02263
16,87,3.872367
16,88,3.889199
16,89,3.876049
16,90,3.8970890000000002
15,87,3.8768380000000002
15,88,4.038846
15,89,3.8802570000000003
15,90,3.902349
14,87,3.871052
14,88,3.888936
14,89,3.878679
14,90,3.8963
13,87,3.8718410000000003
13,88,3.884465
13,89,3.87526
13,90,3.899193
12,87,3.87263
12,88,3.886832
12,89,3.877627
12,90,3.896563
11,87,3.872893
11,88,3.887621
11,89,3.871578
11,90,3.898404
10,87,3.871315
10,88,3.878679
10,89,3.877101
10,90,3.9041900000000003
9,87,3.870526
9,88,3.887621
9,89,3.8778900000000003
9,90,3.8981410000000003
8,87,3.870263
8,88,3.88578
8,89,3.875786
8,90,3.9005080000000003
7,87,3.8707890000000003
7,88,3.884202
7,89,3.874471
7,90,3.89893
6,87,3.871578
6,88,3.88578
6,89,3.8765750000000003
6,90,3.9005080000000003
5,87,3.872893
5,88,3.87526
5,89,3.8742080000000003
5,90,3.9089240000000003
4,87,3.870526
4,88,3.901034
4,89,3.8755230000000003
4,90,3.899719
3,87,3.870526
3,88,3.887095
3,89,17.020263
3,90,3.899982
2,87,3.870526
2,88,3.8873580000000003
2,89,3.874471
2,90,3.896826
1,87,3.871578
1,88,3.886569
1,89,3.8755230000000003
1,90,3.896563
0,87,3.875786
0,88,3.8815720000000002
0,89,3.8778900000000003
0,90,3.906031
-1,87,3.873419
-1,88,3.889199
-1,89,3.8792050000000002
-1,90,3.895511
-2,87,3.870526
-2,88,3.887095
-2,89,3.874471
-2,90,3.897878
-3,87,3.870263
-3,88,3.886569
-3,89,3.874471
-3,90,3.898404
-4,87,3.873945
-4,88,3.884202
