X,Y,Value
3,103,17.022104
2,103,17.021841
1,103,3.877364
0,103,4.152462
0,104,17.022893
-1,103,3.872367
-1,104,17.020789
-2,103,3.875786
-2,104,17.021578
-3,103,3.93838
-3,104,3.881046
-4,103,17.022367
-4,104,3.886832
-5,103,3.8731560000000003
-5,104,17.023418999999997
-6,103,17.020789
-6,104,3.8873580000000003
-7,103,17.02
-7,104,3.995451
-8,103,17.021578
-8,104,17.022367
-9,103,3.873945
-10,103,17.021841
-11,103,17.022367
-21,99,17.018421999999997
-20,99,17.021841
-20,100,17.021314999999998
-19,99,3.878153
-19,100,3.896037
-18,99,3.874997
-18,100,3.943903
-17,99,17.020263
-13,99,17.022104
-12,99,3.872104
-12,100,3.898404
-12,101,17.021578
-11,99,3.872367
-11,100,3.8765750000000003
-11,101,3.8778900000000003
-11,102,3.888936
-10,99,3.8707890000000003
-10,100,3.882887
-10,101,3.870263
-9,99,3.8742080000000003
-9,100,3.8802570000000003
-9,101,3.8755230000000003
-9,102,3.902612
-8,99,3.903664
-8,100,17.022104
-8,101,3.8768380000000002
-8,102,3.9055050000000002
-7,99,3.874734
-7,100,3.882098
-7,101,17.022367
-7,102,3.900245
-6,99,3.871052
-6,100,3.877627
-6,101,17.022104
-6,102,17.023418999999997
-5,99,3.8718410000000003
-5,100,3.934961
-5,101,3.8778900000000003
-5,102,3.904453
-4,99,3.871578
-4,100,3.877101
-4,101,3.940221
-4,102,4.184022000000001
-3,99,3.872893
-3,100,3.8934070000000003
-3,101,3.879994
-2,99,3.874734
-2,100,3.883676
-2,101,17.02263
-1,99,3.881309
-1,100,3.877364
-1,101,3.876312
-1,102,3.9028750000000003
0,99,3.8707890000000003
0,100,3.87526
0,101,3.874997
0,102,3.9112910000000003
1,99,3.870526
1,100,3.8792050000000002
1,101,3.8886730000000003
1,102,3.877627
2,99,3.8707890000000003
2,100,3.8765750000000003
2,101,3.872367
2,102,17.02263
3,99,3.874471
3,100,3.88052
3,101,3.878942
3,102,3.90156
4,99,17.021578
4,100,17.020789
4,101,17.021841
4,102,17.022367
5,99,17.022104
5,100,17.022104
5,101,17.023945
5,102,17.023682
6,99,3.871578
6,100,3.874471
6,101,3.881309
6,102,17.023156
7,99,3.8742080000000003
7,100,3.8839390000000003
7,101,3.932594
8,99,3.875786
8,100,3.874997
8,101,17.021578
9,99,3.8718410000000003
9,100,17.02263
10,99,3.871315
11,99,17.022367
16,95,17.022104
15,95,3.876049
15,96,17.021578
14,95,3.871315
14,96,3.908135
14,97,17.021841
13,95,17.021578
13,96,3.884202
13,97,3.8765750000000003
12,95,3.872893
12,96,3.8742080000000003
12,97,3.8768380000000002
12,98,17.023945
11,95,3.8707890000000003
11,96,3.878416
11,97,3.876049
11,98,17.022893
10,95,3.871315
10,96,3.878679
10,97,3.8765750000000003
10,98,3.904979
9,95,3.873419
9,96,3.8778900000000003
9,97,3.874471
9,98,3.906031
8,95,3.8707890000000003
8,96,3.874734
8,97,3.875786
8,98,3.9078720000000002
7,95,3.8731560000000003
7,96,3.8792050000000002
7,97,3.878153
7,98,3.900771
6,95,3.873682
6,96,3.876049
6,97,17.021841
6,98,3.907083
5,95,3.8742080000000003
5,96,3.87263
5,97,3.871578
5,98,17.022367
4,95,3.870526
4,96,3.8802570000000003
4,97,3.878942
4,98,3.91208
3,95,3.870263
3,96,3.885254
3,97,17.021052
3,98,3.8981410000000003
2,95,3.874734
2,96,3.8815720000000002
2,97,4.763148
2,98,3.8994560000000003
1,95,3.877627
1,96,3.880783
1,97,4.318415
1,98,3.902612
0,95,3.871578
0,96,3.8718410000000003
0,97,3.873419
0,98,3.904716
-1,95,3.871315
-1,96,3.885254
-1,97,3.878942
-1,98,3.899193
-2,95,3.87263
-2,96,3.889199
-2,97,3.877364
-2,98,3.897615
-3,95,3.87263
-3,96,3.88841
-3,97,3.8778900000000003
-3,98,3.8957740000000003
-4,95,3.872893
-4,96,3.887884
-4,97,3.874997
-4,98,3.893933
-5,95,3.871052
-5,96,3.878416
-5,97,3.874734
-5,98,3.906031
-6,95,3.870263
-6,96,3.8849910000000003
-6,97,3.874471
-6,98,3.899193
-7,95,3.870526
-7,96,3.88578
-7,97,3.873945
-7,98,3.899719
-8,95,3.870263
-8,96,3.887621
-8,97,3.877101
-8,98,3.8994560000000003
-9,95,3.871315
-9,96,3.90945
-9,97,3.873419
-9,98,3.899193
-10,95,3.872367
-10,96,3.877364
-10,97,3.874997
-10,98,3.903664
-11,95,3.872367
-11,96,3.8792050000000002
-11,97,3.986772
-11,98,3.905768
-12,95,3.871315
-12,96,3.877364
-12,97,3.876049
-12,98,3.905768
-13,95,3.8731560000000003
-13,96,3.8768380000000002
-13,97,3.879994
-13,98,3.945481
-14,95,3.8742080000000003
-14,96,3.874471
-14,97,17.021841
-14,98,17.022104
-15,95,3.8718410000000003
-15,96,3.879994
-15,97,17.022104
-16,95,3.874471
-16,96,17.021578
-16,97,17.022367
-17,95,3.871315
-17,96,3.877627
-17,97,3.881046
-17,98,3.8981410000000003
-18,95,3.8731560000000003
-18,96,3.8768380000000002
-18,97,4.263711
-18,98,3.9018230000000003
-19,95,17.021314999999998
-19,96,3.8768380000000002
-19,97,3.877627
-19,98,3.9065570000000003
-20,95,3.871315
-20,96,3.877101
-20,97,3.956264
-20,98,3.9065570000000003
-21,95,3.871315
-21,96,3.8886730000000003
-21,97,3.8768380000000002
-21,98,3.903664
-22,95,3.872104
-22,96,3.877627
-22,97,3.8994560000000003
-22,98,3.9065570000000003
-23,95,3.871315
-23,96,3.8742080000000003
-23,97,3.8994560000000003
-23,98,17.023156
-24,95,3.922863
-24,96,3.8873580000000003
-24,97,17.02263
-25,95,17.020789
-25,96,17.021841
-26,95,17.021578
-30,91,3.870526
-29,91,3.871578
-29,92,3.886569
-28,91,3.871052
-28,92,3.8802570000000003
-28,93,17.022893
-27,91,3.8718410000000003
-27,92,3.8765750000000003
-27,93,3.875786
-27,94,3.8792050000000002
-26,91,3.871578
-26,92,3.878679
-26,93,3.8755230000000003
-26,94,3.897352
-25,91,3.872367
-25,92,3.877364
-25,93,3.874997
-25,94,3.8981410000000003
-24,91,3.870263
-24,92,3.875786
-24,93,3.882098
-24,94,3.908398
-23,91,3.88841
-23,92,3.882098
-23,93,3.903401
-23,94,3.905768
-22,91,3.878416
