X,Y,Value
1,103,17.022104
0,103,17.023418999999997
-1,103,17.024207999999998
-2,103,3.8731560000000003
-3,103,3.8768380000000002
-4,103,3.890514
-5,103,4.793393
-6,103,3.894459
-7,103,3.892618
-8,103,17.023418999999997
-9,103,17.021841
-21,99,17.022893
-20,99,3.942588
-13,99,4.0564670000000005
-13,100,17.021578
-12,99,3.877101
-12,100,3.882887
-12,101,3.881309
-12,102,17.02263
-11,99,3.87526
-11,100,3.881835
-11,101,3.870263
-11,102,3.8755230000000003
-10,99,3.881046
-10,100,3.887095
-10,101,3.877101
-10,102,3.876049
-9,100,3.882887
-9,101,17.019737
-9,102,3.87263
-8,99,3.881835
-8,100,3.884465
-8,101,3.8957740000000003
-8,102,3.979934
-7,99,3.874734
-7,100,17.02
-7,101,3.8707890000000003
-7,102,3.874471
-6,99,3.872104
-6,100,3.877364
-6,101,3.870526
-6,102,3.871578
-5,99,3.881309
-5,100,3.890514
-5,101,3.876049
-5,102,3.87526
-4,99,3.877627
-4,100,3.886043
-4,101,3.87526
-4,102,3.871052
-3,99,3.872104
-3,100,3.878153
-3,101,3.870263
-3,102,3.873682
-2,99,3.883413
-2,100,3.888936
-2,101,3.876049
-2,102,3.870263
-1,99,3.877101
-1,100,3.881835
-1,101,3.871052
-1,102,3.8707890000000003
0,99,3.875786
0,100,3.883676
0,101,3.873682
0,102,3.871315
1,99,3.8742080000000003
1,100,3.882098
1,101,3.871315
1,102,3.870526
2,99,3.8718410000000003
2,100,3.8778900000000003
2,101,3.8765750000000003
2,102,3.873419
3,99,3.874471
3,100,3.881309
3,101,3.924704
3,102,3.88578
4,99,3.871578
4,100,3.876049
4,101,3.876049
4,102,17.023682
5,99,3.876312
5,100,3.88315
5,101,3.87
6,99,17.021841
6,100,3.882098
6,101,17.020263
7,99,3.877364
7,100,17.012636
7,101,17.020789
8,99,17.02263
8,100,3.879994
9,99,3.874997
9,100,17.02
10,99,3.874734
11,99,17.022367
17,95,4.0922350000000005
16,95,3.873419
16,96,17.020789
15,95,3.874734
15,96,3.896037
15,97,17.020526
14,95,3.873945
14,96,3.8815720000000002
14,97,3.872367
13,95,3.874471
13,96,3.8802570000000003
13,97,3.870263
13,98,17.022104
12,95,3.8742080000000003
12,96,17.020526
12,97,3.958894
12,98,3.8707890000000003
11,95,3.871052
11,96,3.878153
11,97,3.871315
11,98,3.87263
10,95,3.877101
10,96,3.8815720000000002
10,97,3.8731560000000003
10,98,3.870263
9,95,3.874471
9,96,3.8826240000000003
9,97,3.899982
9,98,3.87
8,95,3.87526
8,96,3.882098
8,97,3.87
8,98,3.870526
7,95,3.878679
7,96,3.884728
7,97,3.871315
7,98,3.874997
6,95,3.873945
6,96,3.881835
6,97,3.945218
6,98,3.871052
5,95,3.873419
5,96,3.8802570000000003
5,97,3.87
5,98,3.8718410000000003
4,95,3.8768380000000002
4,96,3.883676
4,97,3.871052
4,98,3.870263
3,95,3.87526
3,96,3.881835
3,97,3.8707890000000003
3,98,3.8707890000000003
2,95,3.87526
2,96,3.884728
2,97,3.927071
2,98,3.871578
1,95,3.883413
1,96,3.889199
1,97,3.882887
1,98,3.870526
0,95,3.8755230000000003
0,96,3.8826240000000003
0,97,3.922863
0,98,3.870526
-1,95,3.874734
-1,96,3.880783
-1,97,3.8873580000000003
-1,98,3.979934
-2,95,3.870263
-2,96,3.8778900000000003
-2,97,3.874734
-2,98,3.8718410000000003
-3,95,3.8742080000000003
-3,97,3.9018230000000003
-3,98,3.871578
-4,95,3.875786
-4,96,3.881309
-4,97,3.870526
-4,98,3.870263
-5,95,3.880783
-5,96,3.888147
-5,97,3.876312
-5,98,3.875786
-6,95,3.8755230000000003
-6,96,3.8849910000000003
-6,97,3.9780930000000003
-6,98,3.872104
-7,95,3.878679
-7,96,3.8826240000000003
-7,97,3.881835
-7,98,3.872893
-8,95,3.881309
-8,96,3.886832
-8,97,3.8755230000000003
-8,98,3.87263
-9,95,3.8755230000000003
-9,96,3.8802570000000003
-9,97,3.878679
-9,98,17.022104
-10,95,3.878153
-10,96,3.88315
-10,97,3.872104
-10,98,3.87
-11,95,3.8765750000000003
-11,96,3.8826240000000003
-11,97,3.870526
-11,98,3.873945
-12,95,3.8755230000000003
-12,96,3.8815720000000002
