X,Y,Value
3,103,17.022893
2,103,3.907083
1,103,3.870263
0,103,3.8765750000000003
-1,103,3.8718410000000003
-1,104,17.02263
-2,104,3.872893
-3,103,3.878679
-3,104,3.886043
-4,103,3.871578
-4,104,3.900245
-5,103,3.8731560000000003
-5,104,3.88052
-6,103,17.02263
-6,104,17.023156
-7,103,3.870263
-7,104,3.9126060000000003
-8,103,3.871315
-8,104,3.943114
-9,104,3.8957740000000003
-10,103,3.871578
-10,104,17.021841
-12,103,17.02263
-21,99,17.022367
-20,99,3.872893
-20,100,17.02263
-19,99,3.871052
-19,100,17.02263
-18,99,3.870263
-18,100,17.021841
-18,101,17.026311999999997
-17,99,17.021314999999998
-13,99,3.872367
-13,100,17.022367
-12,99,3.871052
-12,100,3.8718410000000003
-12,101,17.025786
-11,99,3.87
-11,100,17.021841
-11,101,3.870263
-11,102,3.876312
-10,99,17.022367
-10,100,3.875786
-10,101,3.873682
-10,102,3.8778900000000003
-9,99,3.870263
-9,100,3.874997
-9,101,17.024207999999998
-9,102,17.021052
-8,99,3.8718410000000003
-8,100,3.871052
-8,101,3.8707890000000003
-8,102,3.874471
-7,99,3.8718410000000003
-7,100,3.8707890000000003
-7,101,3.871315
-7,102,3.8849910000000003
-6,99,3.8707890000000003
-6,100,3.872104
-6,101,3.870526
-6,102,3.876049
-5,99,3.871315
-5,100,3.871315
-5,101,3.87
-5,102,3.8755230000000003
-4,99,3.873682
-4,100,3.87263
-4,101,3.872367
-4,102,3.8768380000000002
-3,99,17.021314999999998
-3,100,3.870263
-2,99,3.87263
-2,100,3.870263
-1,99,3.87263
-1,100,3.874471
-1,101,3.870526
0,99,3.871315
0,100,3.8768380000000002
0,101,3.871315
0,102,17.021314999999998
1,99,3.8718410000000003
1,100,3.87263
1,101,17.024471
1,102,3.886569
2,99,3.871052
2,100,3.871315
2,101,3.871578
2,102,3.878416
3,99,3.872104
3,100,3.871315
3,101,3.8718410000000003
3,102,4.0099160000000005
4,99,17.021578
4,100,3.8742080000000003
4,101,3.8742080000000003
4,102,3.884202
5,99,3.871578
5,100,3.874734
5,101,3.87526
5,102,3.877101
6,99,3.870263
6,100,3.874471
6,101,3.872367
6,102,17.020789
7,99,3.873682
7,100,3.879468
7,101,3.871578
8,99,3.88315
8,100,3.875786
8,101,17.023682
9,99,17.021841
9,100,3.8731560000000003
10,99,3.870526
11,99,17.021578
16,95,17.02263
15,95,3.872104
15,96,17.02263
14,95,3.8742080000000003
14,96,3.875786
14,97,17.024997
13,95,3.871052
13,96,17.02263
13,97,17.023682
12,95,3.875786
12,96,4.795497
12,97,3.8707890000000003
12,98,17.020789
11,95,3.8718410000000003
11,96,3.87263
11,97,3.870526
11,98,3.876312
10,95,3.876312
10,96,3.8718410000000003
10,97,3.8768380000000002
10,98,3.877364
9,95,3.872104
9,96,3.8731560000000003
9,97,3.870526
9,98,3.876312
8,95,3.87263
8,96,3.872893
8,97,3.873682
8,98,3.877627
7,95,3.871315
7,96,3.8707890000000003
7,97,3.871578
7,98,3.875786
6,95,3.8768380000000002
6,96,3.870526
6,97,3.8718410000000003
6,98,3.8742080000000003
5,95,3.870263
5,96,3.87263
5,97,3.8718410000000003
5,98,3.877364
4,95,3.871052
4,96,3.870526
4,97,3.871578
4,98,3.877364
3,95,3.871052
3,96,3.8768380000000002
3,97,3.870526
3,98,3.874734
2,95,3.872104
2,96,3.882887
2,97,3.870526
2,98,3.874734
