X,Y,Value
6,101,17.02
5,101,3.8778900000000003
4,101,3.87526
3,101,17.02
2,101,3.8778900000000003
2,102,3.8910400000000003
1,101,3.88052
1,102,17.02
0,101,3.8778900000000003
0,102,3.87526
-1,101,3.8778900000000003
-1,102,17.02
-2,101,3.8778900000000003
-2,102,3.87526
-3,101,3.90156
-3,102,17.02
-4,101,3.8778900000000003
-4,102,3.8778900000000003
-5,101,3.8778900000000003
-5,102,3.88052
-6,101,3.88052
-6,102,17.02
-7,101,3.87263
-7,102,3.8778900000000003
-8,101,3.8778900000000003
-8,102,3.8778900000000003
-9,101,3.87526
-9,102,3.87263
-10,101,3.87526
-10,102,3.8778900000000003
-11,101,3.8778900000000003
-11,102,4.42493
-12,101,3.88315
-12,102,17.02
-13,101,17.02
-29,93,3.8778900000000003
-28,93,3.87526
-28,94,17.02
-27,93,3.88315
-27,94,3.8778900000000003
-27,95,17.02
-26,93,3.8778900000000003
-26,94,3.88052
-26,95,3.88315
-25,93,3.87526
-25,94,3.87263
-25,95,3.88315
-25,96,3.96205
-24,93,3.88315
-24,94,3.88052
-24,95,3.87263
-24,96,3.87526
-24,97,17.02
-23,93,3.87526
-23,94,3.87526
-23,95,3.8778900000000003
-23,96,3.88052
-23,97,3.88841
-22,93,3.8778900000000003
-22,94,3.87526
-22,95,3.87263
-22,96,3.8778900000000003
-22,97,3.88052
-22,98,17.02
-21,93,3.88315
-21,94,3.87526
-21,95,3.88052
-21,96,3.88052
-21,97,3.8778900000000003
-21,98,3.88052
-20,93,3.8778900000000003
-20,94,3.88315
-20,95,3.8778900000000003
-20,96,3.8778900000000003
-20,97,3.8778900000000003
-20,98,3.88052
-20,99,17.02
-19,93,3.87526
-19,94,3.87263
-19,95,3.8778900000000003
-19,96,3.88052
-19,97,3.88052
-19,98,17.02
-19,99,17.02
-18,93,3.87526
-18,94,3.87526
-18,95,3.8778900000000003
-18,96,3.88052
-18,97,3.8778900000000003
-18,98,17.02
-17,93,3.87526
-17,94,3.8778900000000003
-17,95,3.87263
-17,96,3.87526
-17,97,17.02
-16,93,3.8778900000000003
-16,94,3.87526
-16,95,3.87263
-16,96,3.87526
-16,97,3.8778900000000003
-16,98,17.02
-15,93,3.87526
-15,94,3.87526
-15,95,3.88052
-15,96,3.87263
-15,97,3.88052
-15,98,3.96205
-14,93,3.87526
-14,94,3.88052
-14,95,3.87263
-14,96,3.88315
-14,97,3.87526
-14,98,3.88315
-14,99,3.9936100000000003
-13,93,3.87263
-13,94,3.88052
-13,95,3.88052
-13,96,3.87526
-13,97,3.87263
-13,98,3.88052
-13,99,3.87526
-13,100,3.87526
-12,93,3.87526
-12,94,3.8778900000000003
-12,95,3.87526
-12,96,3.87526
-12,97,3.88052
-12,98,3.88315
-12,99,3.88315
-12,100,3.87526
-11,93,3.88052
-11,94,3.87526
-11,95,3.87526
-11,96,3.87526
-11,97,3.88052
-11,98,3.87526
-11,99,3.88052
-11,100,3.8778900000000003
-10,93,3.8778900000000003
-10,94,3.8778900000000003
-10,95,3.8778900000000003
-10,96,3.88052
-10,97,3.87526
-10,98,3.87263
-10,99,3.88315
-10,100,3.87526
-9,93,3.8778900000000003
-9,94,3.87263
-9,95,3.88052
-9,96,3.88052
-9,97,3.8778900000000003
-9,98,3.87263
-9,99,3.8778900000000003
-9,100,3.88052
-8,93,3.87526
-8,94,3.87526
-8,95,3.87526
-8,96,3.87263
-8,97,3.8778900000000003
-8,98,3.88052
-8,99,3.87526
-8,100,3.88052
-7,93,3.87526
-7,94,3.88578
-7,95,3.87526
-7,96,3.87526
