X,Y,Value
-2,103,17.020526
-3,103,17.020263
-4,103,17.020263
-5,103,17.02
-6,103,17.020263
-7,103,17.020526
-8,103,17.020263
-20,99,17.020263
-19,99,17.02
-18,99,3.894459
-18,100,17.02263
-17,99,17.019737
-17,100,4.1508840000000005
-16,99,3.9220740000000003
-16,100,3.979934
-15,99,4.039372
-15,100,17.022893
-15,101,17.021841
-14,99,17.020526
-14,100,17.023418999999997
-14,101,17.021578
-13,99,17.020263
-13,100,17.022893
-13,101,17.02263
-13,102,17.02263
-12,99,17.02
-12,100,17.023418999999997
-12,101,17.02263
-12,102,17.022893
-11,99,17.020263
-11,100,17.021578
-11,101,17.021578
-11,102,17.022104
-10,99,17.020526
-10,100,17.022893
-10,101,17.02263
-10,102,17.022893
-9,99,17.021052
-9,100,17.02263
-9,101,17.022104
-9,102,17.022893
-8,99,17.020526
-8,100,17.022104
-8,101,17.022367
-8,102,17.02263
-7,99,17.020263
-7,100,17.021841
-7,101,17.022367
-7,102,17.022367
-6,99,5.777013
-6,100,17.023156
-6,101,4.2547690000000005
-6,102,17.022367
-5,99,3.942588
-5,100,3.946533
-5,101,3.9436400000000003
-5,102,17.022893
-4,99,3.9578420000000003
-4,100,3.9423250000000003
-4,101,3.9483740000000003
-4,102,3.9089240000000003
-3,99,3.907346
-3,100,3.8981410000000003
-3,101,17.022104
-3,102,3.9126060000000003
-2,99,3.877101
-2,100,3.877627
-2,101,3.882361
-2,102,3.8970890000000002
-1,99,3.87263
-1,100,3.8731560000000003
-1,101,3.92523
-1,102,3.8765750000000003
0,99,3.871052
0,100,3.874997
0,101,3.873945
0,102,3.8826240000000003
1,99,3.87263
1,100,3.8731560000000003
1,101,3.873419
1,102,17.02263
2,99,17.020526
2,100,17.022367
2,101,3.877627
2,102,17.022893
3,99,3.8765750000000003
3,100,3.875786
3,101,3.871578
4,99,3.893933
4,100,3.8707890000000003
4,101,17.021841
5,99,3.8707890000000003
5,100,3.87
5,101,17.021841
6,99,3.878942
6,100,17.022367
7,99,3.872893
7,100,17.022893
8,99,17.020526
9,99,17.02
14,95,17.020263
13,95,3.871315
13,96,17.022893
12,95,3.8707890000000003
12,96,17.023418999999997
12,97,17.02263
11,95,3.873945
11,96,3.872367
11,97,3.9210220000000002
10,95,3.87
10,96,3.870526
10,97,3.870263
10,98,17.022893
9,95,3.8718410000000003
9,96,3.873945
9,97,3.8778900000000003
9,98,3.871052
8,95,3.874471
8,96,17.02263
8,97,3.873419
8,98,3.871052
7,95,3.874997
7,96,3.8707890000000003
7,97,3.871578
7,98,3.871052
6,95,3.871578
6,96,3.87263
6,97,3.896826
6,98,3.8718410000000003
5,95,3.876049
5,96,3.8731560000000003
5,97,3.8768380000000002
5,98,3.872104
4,95,3.879468
4,96,3.882098
4,97,3.873945
4,98,17.022893
3,95,3.878679
3,96,3.871052
3,97,17.02263
3,98,3.872367
2,95,3.875786
2,96,3.878942
2,97,3.974937
2,98,3.870263
1,95,3.8802570000000003
1,96,3.871578
1,97,3.926282
1,98,3.87
0,95,3.8718410000000003
0,96,3.8731560000000003
0,97,3.871578
0,98,3.87
-1,95,3.898667
-1,96,3.88578
-1,97,3.926545
-1,98,3.872367
-2,95,3.884202
-2,96,5.866696
-2,97,3.878153
-2,98,3.877101
-3,95,3.908135
-3,96,3.889462
-3,97,17.021578
-3,98,3.903138
-4,95,3.966784
-4,96,17.022893
-4,97,3.929701
-4,98,3.937854
-5,95,17.020263
-5,96,17.02263
-5,97,17.022104
-5,98,3.957053
-6,95,8.866737
-6,96,8.611364
-6,97,7.897319
-6,98,6.818493
-7,95,17.021052
-7,96,17.021578
-7,97,17.023156
-7,98,17.022367
-8,95,17.02
-8,96,17.022367
-8,97,17.022367
-8,98,17.02263
-9,95,17.021314999999998
-9,96,17.022367
-9,97,17.023945
-9,98,17.023156
-10,95,17.020263
-10,96,17.023418999999997
-10,97,17.022893
-10,98,17.022367
-11,95,17.020526
-11,96,17.022104
-11,97,17.023156
-11,98,17.02263
-12,95,17.020789
-12,96,17.022893
-12,97,17.021841
-12,98,17.022104
-13,95,17.020263
-13,96,11.232685
-13,97,17.02
-13,98,17.022893
-14,95,3.928649
-14,96,3.955738
-14,97,17.021578
-14,98,17.022104
-15,95,3.909976
-15,96,3.90682
-15,97,3.923126
-15,98,3.951004
-16,95,3.8742080000000003
-16,96,3.892092
-16,97,3.874997
-16,98,3.891566
-17,95,3.881309
-17,96,3.8707890000000003
-17,97,3.87263
-17,98,3.8765750000000003
-18,95,3.876049
-18,96,3.8742080000000003
-18,97,3.872893
-18,98,3.8755230000000003
-19,95,3.871578
-19,96,3.872367
-19,97,3.872893
-19,98,3.873419
-20,95,3.871578
-20,96,3.873682
-20,97,3.874997
-20,98,3.876312
-21,95,3.8731560000000003
-21,96,3.87263
-21,97,17.02263
-21,98,17.022104
-22,95,3.877101
-22,96,3.8731560000000003
-22,97,17.022104
-23,95,3.872367
-23,96,3.870526
-23,97,17.02263
-24,95,3.9328570000000003
-24,96,17.022367
-25,95,17.02
-26,95,17.020526
-29,91,5.156859
-28,91,3.873419
-28,92,3.958631
-27,91,3.87263
-27,92,3.872104
-27,93,17.021841
-27,94,17.022104
-26,91,3.873419
-26,92,3.870263
-26,93,3.873682
-26,94,17.022104
-25,91,3.872893
-25,92,3.8707890000000003
-25,93,3.873945
-25,94,3.87263
-24,91,3.876312
-24,92,3.87
-24,93,3.871578
-24,94,3.871052
-23,91,3.871052
-23,92,3.8718410000000003
-23,93,3.871315
-23,94,3.870263
-22,91,3.907609
-22,92,3.881835
-22,93,3.981512
-22,94,3.871052
-21,91,3.873945
-21,92,3.892092
-21,93,3.994399
-21,94,3.8731560000000003
-20,91,3.877101
-20,92,3.878942
-20,93,3.8778900000000003
-20,94,3.87
-19,91,3.870263
-19,92,3.871578
-19,93,3.872367
-19,94,3.875786
-18,91,3.872104
-18,92,3.871052
-18,93,3.87263
-18,94,3.87263
-17,91,3.872104
-17,92,3.871052
