X,Y,Value
8,99,17.026575
7,99,17.022367
6,99,3.878942
5,99,17.023945
5,100,17.029467999999998
4,99,3.885254
4,100,17.027101
3,99,3.8792050000000002
3,100,4.173765
2,99,3.874734
2,100,3.881835
2,101,17.025523
1,99,3.878416
1,100,3.882098
1,101,17.025523
0,99,3.882098
0,100,3.8778900000000003
0,101,17.023156
-1,99,3.87526
-1,100,3.879994
-1,101,5.808047
-2,99,3.8755230000000003
-2,100,3.879731
-2,101,17.023945
-3,99,3.876312
-3,100,3.8815720000000002
-3,101,3.911554
-4,99,3.870263
-4,100,3.8707890000000003
-4,101,3.876312
-5,99,17.015792
-5,100,3.879468
-5,101,3.883413
-6,99,3.87526
-6,100,3.877364
-6,101,3.879731
-7,99,3.873419
-7,100,3.877627
-7,101,3.884202
-8,99,3.8778900000000003
-8,100,3.8765750000000003
-8,101,3.887095
-9,99,3.875786
-9,100,3.877627
-9,101,17.010268999999997
-10,99,3.874471
-10,100,3.879994
-10,101,17.020526
-11,99,3.876312
-11,100,3.8765750000000003
-11,101,17.023945
-12,99,3.879994
-12,100,3.876049
-12,101,17.026575
-13,99,3.8755230000000003
-13,100,3.875786
-14,99,3.8768380000000002
-14,100,17.024997
-15,99,3.8778900000000003
-15,100,17.031572
-16,99,3.878679
-16,100,17.029467999999998
-17,99,17.03841
-18,99,17.026049
-26,95,17.025523
-25,95,17.019737
-24,95,3.877101
-24,96,17.030257
-23,95,3.877101
-23,96,4.426245
-22,95,3.874734
-22,96,3.878679
-21,95,3.878679
-21,96,3.879731
-21,97,3.883413
-21,98,17.027364
-20,95,3.87263
-20,96,3.8731560000000003
-20,97,3.8742080000000003
-20,98,17.019474
-19,95,3.8778900000000003
-19,96,3.8778900000000003
-19,97,3.879468
-19,98,3.904979
-18,95,3.8765750000000003
-18,96,3.8778900000000003
-18,97,3.878679
-18,98,3.872893
-17,95,3.872893
-17,96,3.874471
-17,97,3.872104
-17,98,3.871315
-16,95,3.874471
-16,96,3.874997
-16,97,3.8765750000000003
-16,98,3.871578
-15,95,3.875786
-15,96,3.8755230000000003
-15,97,3.878153
-15,98,3.871578
-14,95,3.873945
-14,96,3.873682
-14,97,3.8765750000000003
-14,98,3.871315
-13,95,3.871578
-13,96,3.870263
-13,97,3.996766
-13,98,3.873419
-12,95,3.873945
-12,96,3.873419
-12,97,3.8778900000000003
-12,98,3.874734
-11,95,3.878679
-11,96,3.871578
-11,97,3.8742080000000003
-11,98,3.876049
-10,95,3.878942
-10,96,3.875786
-10,97,3.918129
-10,98,3.870526
-9,95,3.871052
-9,96,3.872367
-9,97,3.87
-9,98,3.871315
-8,95,3.874471
-8,96,3.876312
-8,97,3.877364
-8,98,3.870263
-7,95,3.87263
-7,96,3.874997
-7,97,3.8707890000000003
-7,98,3.8778900000000003
