X,Y,Value
2,55,82.91991
1,55,82.91991
0,55,17.709059999999997
-1,55,4.02254
-2,55,4.02254
-3,55,4.02254
-4,55,4.02254
-5,55,4.02254
-21,51,10.302980000000002
-20,51,14.550429999999999
-19,51,29.08381
-19,52,4.01728
-18,51,41.51055999999999
-18,52,10.18989
-17,51,28.960199999999997
-17,52,28.463130000000003
-16,51,41.22652
-16,52,16.4677
-15,51,35.161739999999995
-15,52,4.03832
-14,51,28.83396
-14,52,4.01728
-13,51,10.28194
-12,51,10.2346
-11,51,35.043389999999995
-11,52,10.24775
-10,51,35.04865
-10,52,28.794510000000002
-10,53,4.0146500000000005
-9,51,35.07758
-9,52,28.876039999999996
-9,53,10.22408
-9,54,10.110990000000001
-8,51,35.06706
-8,52,22.65609
-8,53,4.0409500000000005
-7,51,41.352759999999996
-7,52,41.35012999999999
-7,53,16.457179999999997
-6,51,41.358019999999996
-6,52,41.352759999999996
-6,53,35.08284
-6,54,41.0582
-5,51,41.30542
-5,52,41.2949
-5,53,41.265969999999996
-5,54,34.811949999999996
-4,51,41.2949
-4,52,35.07495
-4,53,41.25282
-4,54,41.0845
-3,51,41.28438
-3,52,41.2686
-3,53,41.24493
-3,54,41.09502
-2,51,41.281749999999995
-2,52,41.276489999999995
-2,53,41.23703999999999
-2,54,41.097649999999994
-1,51,41.3212
-1,52,41.31068
-1,53,41.255449999999996
-1,54,34.97501
0,51,41.31594
0,52,41.297529999999995
0,53,41.2686
0,54,28.74191
1,51,41.265969999999996
1,52,41.260709999999996
1,53,35.006569999999996
1,54,28.65249
2,51,28.85237
2,52,28.83922
2,53,28.79977
2,54,22.535110000000003
3,51,41.255449999999996
3,52,41.2423
3,53,41.189699999999995
3,54,34.725159999999995
4,51,41.25282
4,52,41.23703999999999
4,53,41.17128999999999
4,54,40.800459999999994
5,51,41.28964
5,52,41.25807999999999
5,53,41.152879999999996
5,54,16.231
6,51,41.292269999999995
6,52,41.2423
6,53,41.13447
6,54,16.16788
7,51,41.24755999999999
7,52,41.194959999999995
7,53,41.02927
7,54,3.98835
8,51,41.21863
8,52,41.19233
8,53,40.97667
8,54,3.98835
9,51,35.011829999999996
9,52,41.168659999999996
9,53,40.76627
10,51,41.24755999999999
10,52,41.147619999999996
10,53,16.236259999999998
11,51,34.977639999999994
11,52,41.00823
11,53,4.01728
12,51,41.13972999999999
12,52,28.62356
13,51,41.097649999999994
13,52,12.485879999999998
14,51,41.066089999999996
14,52,4.05147
15,51,40.850429999999996
16,51,16.233629999999998
17,51,4.02254
25,47,4.02254
24,47,10.715890000000002
23,47,28.56833
23,48,4.01991
22,47,28.6709
22,48,16.31516
21,47,41.071349999999995
21,48,34.75935
21,49,4.01728
20,47,41.173919999999995
20,48,41.092389999999995
20,49,22.3852
19,47,41.17128999999999
19,48,34.94608
19,49,40.963519999999995
19,50,3.99098
18,47,41.189699999999995
18,48,41.14498999999999
18,49,41.03715999999999
18,50,16.20733
17,47,41.19759
17,48,41.18707
17,49,41.12920999999999
17,50,40.91092
16,47,41.205479999999994
16,48,41.184439999999995
16,49,41.152879999999996
16,50,34.843509999999995
15,47,41.26333999999999
15,48,41.25282
15,49,41.215999999999994
15,50,41.13972999999999
14,47,41.22389
14,48,41.22389
14,49,41.19759
14,50,41.1371
13,47,41.23441
13,48,41.22389
13,49,41.22652
13,50,40.8215
12,47,41.28438
12,48,41.271229999999996
12,49,41.271229999999996
12,50,41.22915
11,47,41.23703999999999
11,48,41.24755999999999
11,49,41.23703999999999
11,50,41.20022
10,47,41.25807999999999
10,48,41.25282
10,49,41.23967
10,50,41.21863
9,47,41.2423
9,48,41.26333999999999
9,49,41.25807999999999
9,50,41.22389
8,47,41.265969999999996
8,48,41.265969999999996
8,49,41.25807999999999
8,50,35.027609999999996
7,47,41.265969999999996
7,48,35.06443
7,49,41.271229999999996
7,50,41.22915
6,47,41.26333999999999
6,48,41.27385999999999
6,49,41.27385999999999
6,50,41.23441
5,47,41.26333999999999
5,48,41.276489999999995
5,49,41.281749999999995
5,50,41.2423
4,47,41.281749999999995
4,48,41.271229999999996
4,49,35.07758
4,50,35.04076
3,47,41.27912
3,48,41.27385999999999
3,49,41.28438
3,50,41.24755999999999
2,47,41.21863
2,48,22.72447
2,49,28.90497
2,50,28.86552
1,47,41.26333999999999
1,48,35.059169999999995
1,49,41.2686
